Company Name,Company Website URL,BrightonSEO Event Sponsored,Contact Full Name,Accurate Job Title,LinkedIn Profile URL of the Contact
Semrush,https://www.semrush.com,April 2024,Andrew Warden,Chief Marketing Officer,https://www.linkedin.com/in/apwarden/
SEOMG!,https://www.seomg.co.uk,April 2024,Dan Gardiner-Adam,Co-Founder,https://www.linkedin.com/in/dan-gardiner-adam-2a023843/
seoClarity,https://www.seoclarity.net,April 2024,Tania German,VP of Marketing,https://www.linkedin.com/in/taniagerman/
Shout About Us,https://www.shoutaboutus.com,April 2024,Griff Emery,Founder & CEO,https://www.linkedin.com/in/griff-emery-b0b27011/
Similarweb,https://www.similarweb.com,April 2024,Guy Gomberg,Chief Marketing Officer,https://www.linkedin.com/in/guygomberg/
Sistrix,https://www.sistrix.com,April 2024,Steve Paine,Marketing Manager,https://www.linkedin.com/in/stevechippy/
Sitebulb,https://sitebulb.com,April 2024,Jojo Furnival,Marketing Manager,https://www.linkedin.com/in/jo-furnival-65613325/
Siteimprove,https://www.siteimprove.com,April 2024,Christy Marble,Chief Marketing Officer,https://www.linkedin.com/in/christymarble/
Storyblok,https://www.storyblok.com,April 2024,Mark Wheeler,Chief Marketing Officer,https://www.linkedin.com/in/markwheeler/
Surfer SEO,https://surferseo.com,April 2024,Tomasz Niezgoda,CMO & Co-Founder,https://www.linkedin.com/in/niezgoda-tomasz/
Trapeze Media,https://www.trapezemedia.co.uk,April 2024,Kitty Newman,Founder & Director,https://www.linkedin.com/in/kittynewman/
TrueClicks,https://trueclicks.com,April 2024,Wijnand Meijer,Co-Founder & CEO,https://www.linkedin.com/in/wijnandmeijer/
Tug,https://www.tugagency.com,April 2024,Nick Beck,Founder & CEO,https://www.linkedin.com/in/nick-beck-058a242/
Uberall,https://www.uberall.com,April 2024,Stéphanie Génin,Chief Marketing Officer,https://www.linkedin.com/in/stephaniegenin/
Varn,https://varn.co.uk,April 2024,Vicky Walker,Head of Marketing,https://www.linkedin.com/in/vickylouisewalker/
Velstar,https://www.velstar.co.uk,April 2024,Peter Birks,CEO,https://www.linkedin.com/in/peter-birks-76485716/
Weglot,https://www.weglot.com,April 2024,Eugène Ernoult,Chief Marketing Officer,https://www.linkedin.com/in/eernoult/
WhitePress,https://www.whitepress.com,April 2024,Tomasz Biegun,Head of Content Marketing & SEO,https://www.linkedin.com/in/tomasz-biegun-77607a97/
Williams Commerce,https://www.williamscommerce.com,April 2024,Rob Williams,Founder & CEO,https://www.linkedin.com/in/rwilliams3000/
Wix,https://www.wix.com,April 2024,Omer Shai,Chief Marketing Officer,https://www.linkedin.com/in/omer-shai-4a18049/
World Reach SEO,https://worldreachseo.com,April 2024,Rodgers Bestgen Jr.,CEO,https://www.linkedin.com/in/rodgersbestgen1/
Writesonic,https://writesonic.com,April 2024,Samanyou Garg,Founder & CEO,https://www.linkedin.com/in/samanyougarg/
Yoast,https://yoast.com,April 2024,Chaya Oosterbroek,Chief Operating Officer,https://www.linkedin.com/in/chaya-oosterbroek-33759b15/
Zupyak,https://www.zupyak.com,April 2024,Erik Wikander,CEO & Co-Founder,https://www.linkedin.com/in/erikwikander/
Ahrefs,https://ahrefs.com,October 2024,Tim Soulo,Chief Marketing Officer,https://www.linkedin.com/in/timsoulo/
Wix,https://www.wix.com,October 2024,Omer Shai,Chief Marketing Officer,https://www.linkedin.com/in/omer-shai-4a18049/
Dragon Metrics,https://www.dragonmetrics.com,October 2024,Sarah Pokorná,Digital Marketing Director,https://www.linkedin.com/in/sarah-pokorna/
Uberall,https://uberall.com,October 2024,Stéphanie Génin,Chief Marketing Officer,https://www.linkedin.com/in/stephaniegenin/
Reflect Digital,https://www.reflectdigital.co.uk,October 2024,Chantel Jordan,Marketing Director,https://www.linkedin.com/in/chantelpiper/
Screaming Frog,https://www.screamingfrog.co.uk,October 2024,Mark Porter,Head of Marketing,https://www.linkedin.com/in/mcporter/
Tug,https://www.tugagency.com,October 2024,Neil Baker,Head of Media,https://www.linkedin.com/in/neil-baker-542079134/
Varn,https://varn.co.uk,October 2024,Vicky Walker,Head of Marketing,https://www.linkedin.com/in/vickylouisewalker/
Kantar,https://www.kantar.com,October 2024,Jane Ostler,"EVP, Global Thought Leadership",https://www.linkedin.com/in/janeostler/
Croud,https://croud.com,October 2024,Dani Jordan,Chief Marketing & Integration Officer,https://www.linkedin.com/in/dani-jordan-0b95811a/
Conductor,https://www.conductor.com,October 2024,Lindsay Boyajian Hagan,"VP, Global Marketing",https://www.linkedin.com/in/lindsayboyajian/
SISTRIX,https://www.sistrix.com,October 2024,Steve Paine,Marketing Manager,https://www.linkedin.com/in/stevechippy/
AutoSEM,https://autosem.ai,October 2024,N/A,N/A,N/A
Impression,https://www.impressiondigital.com,October 2024,Polly Astill,Head of Marketing,https://www.linkedin.com/in/polly-astill/
The Evergreen Agency,https://www.theevergreenagency.co.uk,October 2024,Aaron Rudman-Hawkins,Founder & Managing Director,https://www.linkedin.com/in/aaronrudmanhawkins/
Bazoom,https://bazoom.com,October 2024,Nicolai Klausen,Founder / President,https://www.linkedin.com/in/nicolaiklausen88/
Acolad,https://www.acolad.com,October 2024,Maria Sousa,"Director, Global Marketing & Communications",https://www.linkedin.com/in/mariabsousa/
InLinks,https://inlinks.com,October 2024,Dixon Jones,CEO & Co-founder,https://www.linkedin.com/in/dixonjones/
Surfer,https://surferseo.com,October 2024,Tomasz Niezgoda,Co-founder & Chief Marketing Officer,https://www.linkedin.com/in/niezgoda-tomasz/
Majestic,https://majestic.com,October 2024,Alex Chudnovsky,Managing Director,N/A
Semrush,https://semrush.com,October 2024,Andrew Warden,Chief Marketing Officer,https://www.linkedin.com/in/apwarden/
Women in Tech SEO,https://www.womenintechseo.com,October 2024,Areej AbuAli,Founder,https://www.linkedin.com/in/areejabuali/
Linkhouse,https://linkhouse.pl,October 2024,Damian Kozłowski,Chief Marketing Officer,https://www.linkedin.com/in/damian-kozlowski-pl/
Lunio,https://lunio.ai,October 2024,Neil Andrew,Co-Founder & CEO,https://www.linkedin.com/in/nmandrew/
Oncrawl,https://www.oncrawl.com,October 2024,François Goube,Founder & CEO,https://www.linkedin.com/in/francoisgoube/
Weglot,https://weglot.com,October 2024,Eugène Ernoult,Chief Marketing Officer,https://www.linkedin.com/in/eernoult/
RE:SIGNAL,https://resignal.com,October 2024,Kevin Gibbons,Founder & CEO,https://www.linkedin.com/in/kevingibbons
Kaizen,https://kaizen.co.uk,October 2024,Marina Plummer,Head of PR,https://www.linkedin.com/in/marina-plummer-a0133895/
Greenpark Digital,https://greenpark.digital,October 2024,Sven Lung,CEO & Founder,https://www.linkedin.com/in/svenlung/
Analytics (GMBapi),https://gmbapi.com,October 2024,Michel van Luijtelaar,Co-founder,https://www.linkedin.com/in/michelvanluijtelaar/
Mediahawk,https://www.mediahawk.co.uk,October 2024,Faye Thomassen,Head of Marketing,https://www.linkedin.com/in/fayethomassen/
Superlinks,https://superlinks.com,October 2024,Faton Sopa,Co-Founder & CEO,https://www.linkedin.com/in/fatonsopa/
Passion Digital,https://passion.digital,October 2024,Cecilia de la Viesca,"Managing Director, New Business & Marketing",https://www.linkedin.com/in/chily-de-la-viesca-54949a27/
Incubeta,https://www.incubeta.com,October 2024,Lisa Morton,Group Marketing Director,https://www.linkedin.com/in/lisa-morton/
Similarweb,https://www.similarweb.com,October 2024,Guy Gomberg,Chief Marketing Officer,https://www.linkedin.com/in/guygomberg/
Yoast,https://yoast.com,October 2024,Chaya Oosterbroek,Chief Operating Officer,https://www.linkedin.com/in/chaya-oosterbroek-33759b15/
SEOmonitor,https://www.seomonitor.com,October 2024,Cosmin Negrescu,Founder & CEO,https://www.linkedin.com/in/ncosmin/
GA Agency,https://ga.agency,October 2024,Guido Ampollini,Founder & CEO,https://www.linkedin.com/in/guidoampollini/
House of Performance,https://houseofperformance.co.uk,October 2024,Kat Sale,Co-Founder,https://www.linkedin.com/in/kat-sale/
Rise at Seven,https://riseatseven.com,October 2024,Ray Saddiq,Global Head of Marketing,https://www.linkedin.com/in/ray-saddiq/
Swydo,https://www.swydo.com,October 2024,Jeroen Maljers,CEO & Co-founder,https://www.linkedin.com/in/internetstrategy/
Sticky Content,https://www.stickycontent.co.uk,October 2024,Darren Burroughs,Managing Director,https://www.linkedin.com/in/darrenburroughs/
Pi Datametrics,https://pi-datametrics.com,October 2024,Holly Lloyd,Marketing Manager,https://www.linkedin.com/in/holly-lloyd-1a79625b/
Builtvisible,https://builtvisible.com,October 2024,Alison Parcell (Barnwell),Head of Sales & Marketing,https://www.linkedin.com/in/alison-barnwell-n%C3%A9e-parcell-a776121b/
Mersudin Forbes Digital,https://mersudinforbes.com,October 2024,Mersudin Forbes,Founder (SEO & AI Search Consultant),https://www.linkedin.com/in/mersudinforbes/
Key Content,https://keycontent.com,October 2024,Pablo Navascués,Managing Director,https://www.linkedin.com/in/pablo-navascues/
Journey Further,https://www.journeyfurther.com,October 2024,Robin Skidmore,Founder & CEO,https://www.linkedin.com/in/robinskidmore/
Performics (UK),https://www.performics.com,October 2024,Paul Kasamias,CEO,https://www.linkedin.com/in/paulkasamias/
Rhetoric Studios,https://wearerhetoric.com,October 2024,Sebastian Dziubek,Founder & Fractional SEO Director,https://www.linkedin.com/in/sdziubek/
Search Intelligence,https://www.search-intelligence.co.uk,October 2024,Fery Kaszoni,CEO & Founder,https://www.linkedin.com/in/ferenczkaszoni/
SiteBeacon,https://sitebeacon.io,October 2024,Stuart Tofts,Director / Founder,https://www.linkedin.com/in/stuarttofts/
AccuRanker,https://www.accuranker.com,April 2025,Henrik S. Jørgensen,Chief Executive Officer,https://www.linkedin.com/in/henriksjorgensen/
Ahrefs,https://ahrefs.com,April 2025,Tim Soulo,Chief Marketing Officer,https://www.linkedin.com/in/timsoulo/
Alli AI,https://www.alliai.com,April 2025,Kyle Duck,Founder & CEO,https://www.linkedin.com/in/kyleduck/
AlsoAsked,https://alsoasked.com,April 2025,Mark Williams-Cook,Founder,https://www.linkedin.com/in/markseo/
Bazoom,https://bazoom.com,April 2025,Nicolai Klausen,Founder / President,https://www.linkedin.com/in/nicolaiklausen88/
Brave Bison,https://bravebison.com,April 2025,Hannah Baker,Chief Marketing Officer,https://www.linkedin.com/in/hannahmbaker/
Bubblegum Search,https://www.bubblegumsearch.com,April 2025,Matt Cayless,Founder & Director,https://www.linkedin.com/in/mattcayless/
Cedarwood Digital,https://cedarwood.digital,April 2025,Amanda Walls,Founder & Director,https://www.linkedin.com/in/amandajwalls/
Conductor,https://www.conductor.com,April 2025,Lindsay Boyajian Hagan,VP Global Marketing,https://www.linkedin.com/in/lindsayboyajian/
Connective3,https://connective3.com,April 2025,Charlie Harris,Chief Marketing Officer,https://www.linkedin.com/in/charlie-harris-a8100160/
Croud,https://croud.com,April 2025,Dani Jordan,Chief Marketing & Integration Officer,https://www.linkedin.com/in/dani-jordan-0b95811a/
DemandSphere,https://www.demandsphere.com,April 2025,Ray Grieselhuber,Founder & CEO,https://www.linkedin.com/in/raygrieselhuber/
Dragon Metrics,https://www.dragonmetrics.com,April 2025,Sarah Pokorná,Digital Marketing Director,https://www.linkedin.com/in/sarah-pokorna/
Ecommerce Bridge,https://www.ecommercebridge.com,April 2025,Štefan Polgári,Managing Director,https://www.linkedin.com/in/polgari/
Entail AI,https://entail.ai,April 2025,Tom Amitay,Co-Founder & CEO,https://www.linkedin.com/in/tom-amitay-65330654/
Growth Bite,https://growth-bite.com,April 2025,Rasa Sosnovskytė,Co-Founder,https://www.linkedin.com/in/rasa-seo-strategist/
Lead Forensics,https://www.leadforensics.com,April 2025,Lilah Waite,Group Chief Marketing Officer,https://www.linkedin.com/in/lilahwaite/
Link Publishers,https://linkpublishers.com,April 2025,Het Balar,Founder & CEO,https://www.linkedin.com/in/het-balar/
Linkuma,https://www.linkuma.com/,April 2025,Mohamed El Gnani,Co-Founder & CEO,https://www.linkedin.com/in/mohamed-el-gnani-1a1756177/
Motherlink,https://motherlink.io,April 2025,Aleksandr Lilik,Founder & CEO,https://www.linkedin.com/in/aleksandrlilik/
SEOcrawl,https://seocrawl.com,April 2025,David Kaufmann,CEO & Co-Founder,https://www.linkedin.com/in/david-kaufmann-79a5b72b/
STAT Search Analytics (Moz),https://getstat.com,April 2025,Inge Boubez,Director of Enterprise Marketing (STAT focus),https://www.linkedin.com/in/inge-boubez/details/experience/
Sonder Digital,https://www.sonderdigital.co.uk,April 2025,Rob Fellingham,Marketing Director,https://www.linkedin.com/in/rob-fellingham-a1673334/
Take Some Risk,https://www.takesomerisk.com,April 2025,Duane Brown,Founder & Head of Strategy,https://www.linkedin.com/in/duanebrown/
The Freelance Coalition for Developing Countries (FCDC),https://freelancecoalition.org,April 2025,Chima Mmeje,Founder,https://www.linkedin.com/in/chima-mmmeje/
Women in Marketing (Bulgaria),https://www.womeninmarketing.bg,April 2025,Lazarina Stoy,Founder,https://www.linkedin.com/in/lazarinastoy/
Whatagraph,https://www.whatagraph.com,April 2025,Gintautas Miliauskas,CEO,https://www.linkedin.com/in/gintasm/
Yoast,https://yoast.com,April 2025,Chaya Oosterbroek,Chief Operating Officer,https://www.linkedin.com/in/chaya-oosterbroek-33759b15/
Writesonic,https://writesonic.com,April 2025,Samanyou Garg,Founder & CEO,https://www.linkedin.com/in/samanyougarg/
WhitePress,https://www.whitepress.com,April 2025,Tomasz Biegun,Head of Content Marketing & SEO,https://www.linkedin.com/in/tomasz-biegun-77607a97/
