Source_Website,Category,Product_Name,Brand,Model_SKU,Price,Rating,Reviews,Availability,Condition
Bunnings,Basin,Caroma Above Counter Basin,Caroma,,510.83,4.5,200,,
Bunnings,Basin,Toto Vanity Basin Classic,Toto,,214.23,4.3,8,,
Bunnings,Basin,Dux Above Counter Basin,Dux,,237.65,4.2,159,,
Bunnings,Basin,Dux Pedestal Basin Elite,Dux,,187.19,3.6,65,,
Bunnings,Basin,Toto Top Mount Basin,Toto,,1092.47,3.8,186,,
Bunnings,Basin,Dux Pedestal Basin Standard,Dux,,776.45,3.8,118,,
Bunnings,Basin,Roca Undermount Basin,Roca,,367.2,3.9,103,,
Bunnings,Basin,Dorf Undermount Basin Classic,Dorf,,368.5,3.9,189,,
Bunnings,Basin,Clark Corner Basin,Clark,,303.86,3.6,51,,
Bunnings,Basin,Dorf Corner Basin Modern,Dorf,,893.2,3.8,95,,
Bunnings,Basin,Dorf Top Mount Basin Standard Chrome,Dorf,,986.83,3.6,165,,
Bunnings,Basin,Toto Undermount Basin Premium,Toto,,528.1,4.9,61,,
Bunnings,Basin,Dorf Above Counter Basin Pro,Dorf,,552.64,4.4,132,,
Bunnings,Basin,Roca Corner Basin,Roca,,516.96,4.0,148,,
Bunnings,Basin,Dux Undermount Basin White,Dux,,1121.43,4.6,114,,
Bunnings,Basin,Dux Undermount Basin Elite,Dux,,900.36,4.3,58,,
Bunnings,Basin,Dorf Wall Hung Basin Classic,Dorf,,590.45,4.8,98,,
Bunnings,Basin,Toto Pedestal Basin Premium Brushed Nickel,Toto,,676.84,4.4,138,,
Bunnings,Basin,Mizu Wall Hung Basin Modern,Mizu,,956.53,4.8,91,,
Bunnings,Basin,Caroma Pedestal Basin,Caroma,,310.43,3.5,30,,
Bunnings,Basin,Dorf Corner Basin,Dorf,,873.92,4.5,102,,
Bunnings,Basin,Caroma Top Mount Basin Pro,Caroma,,481.07,3.7,179,,
Bunnings,Basin,Mizu Pedestal Basin,Mizu,,590.2,4.2,34,,
Bunnings,Basin,Dorf Pedestal Basin,Dorf,,101.91,3.6,54,,
Bunnings,Basin,Geberit Vanity Basin,Geberit,,784.93,3.8,192,,
Bunnings,Basin,Caroma Above Counter Basin Classic,Caroma,,1064.18,3.8,147,,
Bunnings,Basin,Dux Vanity Basin,Dux,,1098.05,4.5,50,,
Bunnings,Basin,Clark Vanity Basin Modern,Clark,,1198.77,3.7,116,,
Bunnings,Basin,Dux Above Counter Basin Elite Chrome,Dux,,235.88,4.9,193,,
Bunnings,Basin,Roca Corner Basin Premium,Roca,,326.84,3.7,145,,
Bunnings,Basin,Dorf Top Mount Basin,Dorf,,234.82,4.5,187,,
Bunnings,Basin,Dux Pedestal Basin,Dux,,1173.82,5.0,126,,
Bunnings,Basin,Caroma Top Mount Basin Gold,Caroma,,841.99,3.7,199,,
Bunnings,Basin,Dorf Wall Hung Basin,Dorf,,831.13,3.6,72,,
Bunnings,Basin,Roca Pedestal Basin Standard,Roca,,1120.67,4.9,29,,
Bunnings,Basin,Mizu Above Counter Basin,Mizu,,488.85,4.2,155,,
Bunnings,Basin,Dux Corner Basin,Dux,,308.43,4.9,196,,
Bunnings,Basin,Dorf Vanity Basin,Dorf,,129.16,4.3,43,,
Bunnings,Bathtub,Dux Bath Panel,Dux,,2367.18,4.3,47,,
Bunnings,Bathtub,Dorf Drop In Bath Standard Brushed Nickel,Dorf,,2304.44,3.6,45,,
Bunnings,Bathtub,Clark Bath Panel,Clark,,4218.01,4.0,39,,
Bunnings,Bathtub,Toto Steel Bath,Toto,,2207.02,3.8,187,,
Bunnings,Bathtub,Dorf Corner Bath,Dorf,,4396.1,4.2,60,,
Bunnings,Bathtub,Dux Steel Bath Matte Black,Dux,,495.7,4.1,79,,
Bunnings,Bathtub,Caroma Bath Panel Standard,Caroma,,4986.21,3.8,10,,
Bunnings,Bathtub,Mizu Spa Bath,Mizu,,4327.38,3.5,5,,
Bunnings,Bathtub,Mizu Freestanding Bath,Mizu,,3644.91,4.9,143,,
Bunnings,Bathtub,Dux Steel Bath,Dux,,615.77,3.7,195,,
Bunnings,Bathtub,Dorf Drop In Bath,Dorf,,479.85,4.3,113,,
Bunnings,Bathtub,Roca Steel Bath,Roca,,1772.49,4.8,79,,
Bunnings,Bathtub,Caroma Cast Iron Bath,Caroma,,1793.73,4.5,78,,
Bunnings,Bathtub,Mizu Bath Panel,Mizu,,568.82,4.3,192,,
Bunnings,Bathtub,Toto Bath Panel Standard,Toto,,1076.12,4.3,153,,
Bunnings,Bathtub,Toto Acrylic Bath Brushed Nickel,Toto,,2945.1,4.2,21,,
Bunnings,Bathtub,Dorf Acrylic Bath Pro,Dorf,,4918.89,4.5,83,,
Bunnings,Bathtub,Dorf Bath Panel,Dorf,,2956.48,4.6,112,,
Bunnings,Bathtub,Roca Drop In Bath Pro Gold,Roca,,1321.27,4.1,37,,
Bunnings,Bathtub,Dux Spa Bath,Dux,,3780.46,4.3,145,,
Bunnings,Bathtub,Dux Cast Iron Bath,Dux,,4649.82,3.9,83,,
Bunnings,Bathtub,Dux Steel Bath Modern,Dux,,3928.0,4.4,30,,
Bunnings,Bathtub,Dux Cast Iron Bath Black,Dux,,431.37,4.8,165,,
Bunnings,Bathtub,Caroma Freestanding Bath Standard,Caroma,,1365.91,4.9,181,,
Bunnings,Bathtub,Mizu Drop In Bath Elite,Mizu,,2419.54,3.5,9,,
Bunnings,Bathtub,Clark Drop In Bath Chrome,Clark,,3360.55,4.3,183,,
Bunnings,Bathtub,Mizu Corner Bath,Mizu,,1147.05,4.3,126,,
Bunnings,Bathtub,Clark Corner Bath Classic,Clark,,3470.16,4.2,143,,
Bunnings,Bathtub,Dorf Freestanding Bath Pro,Dorf,,932.83,4.5,23,,
Bunnings,Bathtub,Mizu Steel Bath,Mizu,,589.3,4.5,158,,
Bunnings,Bathtub,Toto Drop In Bath Black,Toto,,4302.64,3.8,69,,
Bunnings,Bathtub,Roca Freestanding Bath,Roca,,4843.42,4.1,117,,
Bunnings,Bathtub,Caroma Corner Bath,Caroma,,3428.37,4.6,9,,
Bunnings,Bathtub,Dorf Freestanding Bath,Dorf,,2494.54,3.8,110,,
Bunnings,Bathtub,Dux Steel Bath Gold,Dux,,2595.56,4.5,118,,
Bunnings,Bathtub,Roca Corner Bath Premium,Roca,,1179.89,4.7,172,,
Bunnings,Bathtub,Dorf Freestanding Bath Classic,Dorf,,647.5,4.2,117,,
Bunnings,Bathtub,Dorf Bath Panel Standard Black,Dorf,,2780.48,4.5,32,,
Bunnings,Bathtub,Mizu Freestanding Bath White,Mizu,,1006.92,4.8,139,,
Bunnings,Bathtub,Roca Drop In Bath Elite,Roca,,2661.91,3.9,51,,
Bunnings,Bathtub,Toto Drop In Bath,Toto,,2982.37,4.1,167,,
Bunnings,Bathtub,Caroma Freestanding Bath Classic,Caroma,,1906.79,3.6,186,,
Bunnings,Bathtub,Caroma Steel Bath Standard Chrome,Caroma,,329.19,3.8,117,,
Bunnings,Bathtub,Roca Corner Bath,Roca,,3590.79,3.8,133,,
Bunnings,Bathtub,Roca Bath Panel,Roca,,2725.81,4.6,36,,
Bunnings,Bathtub,Caroma Steel Bath Modern,Caroma,,711.38,4.3,136,,
Bunnings,Vanity,Geberit Corner Vanity Unit Classic,Geberit,,588.28,4.5,131,,
Bunnings,Vanity,Mizu Medicine Cabinet,Mizu,,2625.74,4.1,151,,
Bunnings,Vanity,Caroma Medicine Cabinet Modern,Caroma,,1967.22,3.5,178,,
Bunnings,Vanity,Caroma Corner Vanity Unit Matte Black,Caroma,,2958.7,4.9,22,,
Bunnings,Vanity,Roca Floor Standing Vanity Standard Gold,Roca,,211.89,4.7,102,,
Bunnings,Vanity,Caroma Bathroom Storage Unit,Caroma,,1801.95,4.9,15,,
Bunnings,Vanity,Dorf Double Basin Vanity,Dorf,,2654.02,3.8,65,,
Bunnings,Vanity,Roca Corner Vanity Unit,Roca,,2202.87,3.7,63,,
Bunnings,Vanity,Dux Vanity Cabinet,Dux,,295.42,3.9,9,,
Bunnings,Vanity,Geberit Wall Hung Vanity,Geberit,,2002.37,4.4,114,,
Bunnings,Vanity,Toto Vanity Cabinet,Toto,,1887.3,4.5,116,,
Bunnings,Vanity,Toto Wall Hung Vanity Elite,Toto,,1920.18,4.0,73,,
Bunnings,Vanity,Clark Floor Standing Vanity,Clark,,1573.71,3.8,197,,
Bunnings,Vanity,Toto Mirror Cabinet Chrome,Toto,,2557.61,4.0,49,,
Bunnings,Vanity,Toto Vanity Cabinet Elite,Toto,,904.7,3.6,41,,
Bunnings,Vanity,Toto Floor Standing Vanity Standard,Toto,,2827.03,4.4,105,,
Bunnings,Vanity,Clark Vanity Cabinet,Clark,,819.13,4.5,58,,
Bunnings,Vanity,Geberit Vanity Cabinet,Geberit,,1071.38,4.0,119,,
Bunnings,Vanity,Mizu Corner Vanity Unit Standard,Mizu,,634.83,3.9,83,,
Bunnings,Vanity,Dorf Double Basin Vanity Pro,Dorf,,1312.48,4.6,159,,
Bunnings,Vanity,Clark Vanity Cabinet Pro,Clark,,1772.5,4.2,37,,
Bunnings,Vanity,Dorf Floor Standing Vanity,Dorf,,611.4,4.6,168,,
Bunnings,Vanity,Dux Double Basin Vanity,Dux,,542.95,4.3,66,,
Bunnings,Vanity,Roca Vanity Cabinet,Roca,,2594.89,3.7,87,,
Bunnings,Vanity,Roca Vanity Cabinet Black,Roca,,2306.99,5.0,47,,
Bunnings,Vanity,Caroma Medicine Cabinet,Caroma,,828.86,4.8,55,,
Bunnings,Vanity,Dux Corner Vanity Unit Modern,Dux,,1124.11,4.7,190,,
Bunnings,Vanity,Dux Medicine Cabinet Premium,Dux,,2241.47,3.9,9,,
Bunnings,Vanity,Roca Mirror Cabinet Premium,Roca,,2236.54,4.4,85,,
Bunnings,Vanity,Caroma Corner Vanity Unit,Caroma,,2411.8,4.6,116,,
Bunnings,Vanity,Roca Floor Standing Vanity Modern,Roca,,2038.81,4.8,171,,
Bunnings,Vanity,Dux Bathroom Storage Unit,Dux,,399.81,4.0,106,,
Bunnings,Vanity,Dux Corner Vanity Unit,Dux,,705.78,4.3,43,,
Bunnings,Vanity,Mizu Bathroom Storage Unit,Mizu,,1651.57,3.7,140,,
Bunnings,Vanity,Clark Vanity Cabinet Elite,Clark,,298.67,4.1,19,,
Bunnings,Vanity,Geberit Corner Vanity Unit,Geberit,,618.03,4.0,85,,
Bunnings,Vanity,Toto Floor Standing Vanity,Toto,,689.25,3.7,104,,
Bunnings,Vanity,Clark Medicine Cabinet Modern,Clark,,938.53,3.9,48,,
Bunnings,Vanity,Dux Wall Hung Vanity Classic,Dux,,2454.46,4.4,134,,
Bunnings,Vanity,Clark Bathroom Storage Unit,Clark,,2893.07,3.7,84,,
Bunnings,Vanity,Dorf Vanity Cabinet,Dorf,,2581.51,4.8,174,,
Bunnings,Vanity,Mizu Floor Standing Vanity Premium,Mizu,,1753.67,4.9,187,,
Bunnings,Vanity,Toto Corner Vanity Unit,Toto,,2428.64,3.9,152,,
Bunnings,Vanity,Geberit Double Basin Vanity Classic Brushed Nickel,Geberit,,1430.47,4.3,149,,
Bunnings,Drainage,Toto Bathroom Drain Cover,Toto,,218.82,4.3,196,,
Bunnings,Drainage,Dorf Linear Drain,Dorf,,158.85,3.9,88,,
Bunnings,Drainage,Roca Floor Drain,Roca,,102.38,3.9,75,,
Bunnings,Drainage,Toto Floor Drain Premium Matte Black,Toto,,44.83,4.2,95,,
Bunnings,Drainage,Geberit Floor Waste Cover,Geberit,,251.76,4.7,97,,
Bunnings,Drainage,Caroma Shower Drain,Caroma,,76.28,3.6,132,,
Bunnings,Drainage,Geberit Click Clack Waste,Geberit,,221.36,4.6,134,,
Bunnings,Drainage,Dux Shower Drain,Dux,,286.23,4.8,157,,
Bunnings,Drainage,Roca Linear Drain Standard,Roca,,242.37,4.1,87,,
Bunnings,Drainage,Clark Linear Drain,Clark,,283.9,4.6,71,,
Bunnings,Drainage,Dux Shower Drain Classic,Dux,,103.91,3.5,128,,
Bunnings,Drainage,Dux Bathroom Waste,Dux,,87.09,4.8,127,,
Bunnings,Drainage,Caroma Linear Drain Gold,Caroma,,277.93,3.7,134,,
Bunnings,Drainage,Geberit Linear Drain,Geberit,,180.65,4.9,25,,
Bunnings,Drainage,Toto Shower Drain Matte Black,Toto,,129.69,3.9,43,,
Bunnings,Drainage,Toto Floor Drain,Toto,,201.75,3.5,57,,
Bunnings,Drainage,Dorf Floor Waste Cover,Dorf,,131.76,4.7,149,,
Bunnings,Drainage,Clark Bathroom Waste,Clark,,44.5,4.1,151,,
Bunnings,Drainage,Toto Pop Up Waste Elite,Toto,,149.34,4.5,105,,
Bunnings,Drainage,Geberit Bathroom Waste Standard,Geberit,,253.66,3.9,168,,
Bunnings,Drainage,Caroma Click Clack Waste White,Caroma,,205.73,3.6,128,,
Bunnings,Drainage,Toto Shower Drain,Toto,,225.7,3.9,79,,
Bunnings,Drainage,Roca Linear Drain Gold,Roca,,153.91,3.8,18,,
Bunnings,Drainage,Dorf Bathroom Waste Gold,Dorf,,153.02,4.7,118,,
Bunnings,Drainage,Clark Pop Up Waste,Clark,,130.24,4.2,168,,
Bunnings,Drainage,Dorf Pop Up Waste,Dorf,,156.29,4.0,44,,
Bunnings,Drainage,Mizu Shower Drain Premium,Mizu,,284.11,4.2,174,,
Bunnings,Drainage,Caroma Floor Drain,Caroma,,198.02,3.6,47,,
Bunnings,Drainage,Toto Click Clack Waste,Toto,,37.86,3.6,63,,
Bunnings,Drainage,Dux Bathroom Drain Cover Classic,Dux,,220.15,3.5,89,,
Bunnings,Drainage,Clark Shower Drain Standard,Clark,,296.52,4.7,142,,
Bunnings,Drainage,Geberit Pop Up Waste,Geberit,,264.88,4.7,39,,
Bunnings,Drainage,Dorf Bathroom Drain Cover Brushed Nickel,Dorf,,195.35,4.1,161,,
Bunnings,Drainage,Geberit Floor Drain,Geberit,,293.34,4.8,66,,
Bunnings,Drainage,Roca Bathroom Drain Cover Standard,Roca,,118.21,4.0,78,,
Bunnings,Drainage,Clark Linear Drain Standard,Clark,,97.67,4.5,98,,
Bunnings,Drainage,Dorf Shower Drain,Dorf,,209.47,4.7,81,,
Bunnings,Drainage,Dux Bathroom Drain Cover Pro,Dux,,109.23,4.7,53,,
Bunnings,Drainage,Clark Bathroom Drain Cover,Clark,,219.39,4.2,147,,
Bunnings,Drainage,Toto Pop Up Waste,Toto,,103.71,3.7,112,,
Bunnings,Drainage,Clark Shower Drain Premium,Clark,,222.45,4.0,100,,
Bunnings,Drainage,Geberit Floor Waste Cover Premium,Geberit,,262.42,4.3,80,,
Reece,Toilet,Roca Close Coupled Toilet Suite,,RA7440X,2093.16,4.2,53,,
Reece,Toilet,Dorf Soft Close Toilet Seat Chrome,,DF6621,859.1,4.4,46,,
Reece,Toilet,Geberit Smart Toilet Suite,,GI4328,1262.81,3.9,25,,
Reece,Toilet,Paris Wall Hung Toilet Suite,,PA5422,437.36,4.1,37,,
Reece,Toilet,Caroma Soft Close Toilet Seat,,CM5815,2434.53,4.0,119,,
Reece,Toilet,Caroma Rimless Toilet Suite Plus,,CA3013C,2467.8,4.3,126,,
Reece,Toilet,Geberit Wall Hung Toilet Suite,,GI2875X,388.48,4.4,150,,
Reece,Toilet,Paris Dual Flush Toilet Suite Brass,,PR9890C,1235.69,4.2,103,,
Reece,Toilet,Clark Wall Faced Toilet Suite Black,,CR6858A,296.66,4.2,42,,
Reece,Toilet,Reece Back to Wall Toilet Suite,,RE5707ELITE,1611.59,4.0,61,,
Reece,Toilet,Paris Toilet Seat and Cover Gold,,PA3609A,284.95,3.9,114,,
Reece,Toilet,Dux Back to Wall Toilet Suite,,DW2957ELITE,1456.08,4.7,115,,
Reece,Toilet,Geberit Back to Wall Toilet Suite Pro Brass,,GE7482C,2906.05,3.9,107,,
Reece,Toilet,Clark Smart Toilet Suite Plus Brass,,CL8457ELITE,2201.45,5.0,61,,
Reece,Toilet,Roca Rimless Toilet Suite Premium,,RO4927,2896.64,4.9,85,,
Reece,Toilet,Geberit Dual Flush Toilet Suite Standard,,GE8718X,1265.62,4.3,104,,
Reece,Toilet,Clark Smart Toilet Suite Modern,,CR2789ELITE,952.98,4.6,25,,
Reece,Toilet,Paris Toilet Seat and Cover Pro Brushed Nickel,,PA2372C,2952.58,3.8,87,,
Reece,Toilet,Toto Smart Toilet Suite,,TT4208X,2285.72,4.1,56,,
Reece,Toilet,Toto Soft Close Toilet Seat Black,,TA2515,1547.34,4.5,88,,
Reece,Toilet,Paris Soft Close Toilet Seat Plus Chrome,,PI235A,1424.87,4.0,139,,
Reece,Toilet,Dorf In-Wall Toilet Suite,,DO7984PRO,882.65,4.0,53,,
Reece,Toilet,Caroma In-Wall Toilet Suite,,CA9873,2233.11,4.5,135,,
Reece,Toilet,Geberit Wall Hung Toilet Suite Classic Gold,,GB3692B,1132.89,4.2,148,,
Reece,Tapware,Caroma Bath Mixer Tap Classic,,CM5916C,171.41,4.7,44,,
Reece,Tapware,Reece Bathroom Tapware Set Standard,,RC9581B,315.82,4.9,64,,
Reece,Tapware,Clark Basin Mixer Tap Matte Black,,CL9128B,1061.6,4.8,140,,
Reece,Tapware,Dux Basin Mixer Tap Elite Gold,,DW1536ELITE,720.43,4.8,24,,
Reece,Tapware,Reece Shower Mixer,,RI3940X,1022.59,4.8,54,,
Reece,Tapware,Geberit Single Lever Mixer Premium,,GE7111C,1077.57,4.4,32,,
Reece,Tapware,Paris Wall Mounted Mixer Plus Matte Black,,PI9613X,571.53,4.7,150,,
Reece,Tapware,Paris Waterfall Tap Black,,PA2470ELITE,179.09,4.4,63,,
Reece,Tapware,Dux Basin Mixer Tap Pro Matte Black,,DX8297ELITE,631.81,4.9,110,,
Reece,Tapware,Paris Bathroom Tapware Set White,,PR762A,111.58,4.7,62,,
Reece,Tapware,Clark Waterfall Tap White,,CK2157C,223.67,4.0,4,,
Reece,Tapware,Dorf Bathroom Tapware Set Chrome,,DO7154ELITE,504.82,3.8,64,,
Reece,Tapware,Geberit Bath Mixer Tap Pro,,GB8774PRO,726.95,5.0,117,,
Reece,Tapware,Caroma Sensor Tap Classic,,CM9711B,624.01,4.7,92,,
Reece,Tapware,Geberit Waterfall Tap Premium,,GE1216A,1000.65,3.9,141,,
Reece,Tapware,Geberit Single Lever Mixer Classic Chrome,,GE5915X,216.08,4.5,68,,
Reece,Tapware,Roca Commercial Tapware Brushed Nickel,,RA9081PRO,373.07,4.3,117,,
Reece,Tapware,Clark Basin Mixer Tap,,CL5665B,1099.5,4.9,135,,
Reece,Tapware,Reece Mixer Tap,,RC2229ELITE,647.95,4.0,150,,
Reece,Tapware,Caroma Bathroom Tapware Set,,CA7501A,661.81,4.4,8,,
Reece,Tapware,Dorf Bath Mixer Tap Premium Chrome,,DF6043ELITE,261.67,3.9,26,,
