Product title,Product URL,Number of “Related Video Shorts”,Number of reviews,Price,Meets Optional Criteria? (Y/N)
Shark | Upright Vacuum Cleaner | Navigator Lift-Away | Swivel Steering | HEPA Filter | Vacuum for Pet Hair | Crevice Tool & Dusting Brush Included | For Carpets & Hard Floors | White/Silver | NV356E,https://www.amazon.com/Shark-Navigator-Lift-Away-Professional-NV356E/dp/B005KMDV9A,5,"1,18,193",$199.99,Y
Sonos One SL (2019) - White,https://www.amazon.com/Sonos-One-SL-Microphone-Free-Speaker/dp/B07W6RYRZM,0,"5,816",$256.93,Y
"Vitamix 5200 Blender, Professional-Grade Blender for Smoothies, Soups, Ice Cream and More, Stainless-Steel Blades, Self-Cleaning Kitchen Appliance, 64 Oz Container, Black",https://www.amazon.com/Vitamix-Blender-Professional-Grade-Container-Black/dp/B008H4SLV6,5,"7,936",$449.95,Y
"iRobot Roomba i7+ (7550) Robot Vacuum with Automatic Dirt Disposal - Empties Itself for up to 60 Days, Wi-Fi Connected, Smart Mapping, Works with Alexa, Ideal for Pet Hair, Carpets, Hard Floors",https://www.amazon.com/iRobot-Roomba-7550-Wi-Fi-Connecte/dp/B07GNPDMRP,5,"13,150",$599.95,Y
"Anker 521 Portable Power Station Upgraded with LiFePO4 Battery, 256Wh 6-Port PowerHouse, 300W (Peak 600W) Solar Generator (Solar Panel Optional), 2 AC Outlets, 60W USB-C PD Output, Outdoor Generator",https://www.amazon.com/Anker-Portable-Upgraded-PowerHouse-Generator/dp/B0D4DS77K3,5,"2,880",$199.99,Y
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Yellow",https://www.amazon.com/Apple-2022-10-9-inch-iPad-Wi-Fi/dp/B0BJLCL22Y,0,"34,117",$401.28,Y
Canon EOS Rebel T7 DSLR Camera with 18-55mm Lens | Built-in Wi-Fi | 24.1 MP CMOS Sensor | DIGIC 4+ Image Processor and Full HD Videos,https://www.amazon.com/Canon-Rebel-T7-18-55mm-II/dp/B07C2Z21X5,0,"8,121",$529.99,Y
"GoPro Hero12 Black E-Commerce Package - Waterproof Action Camera with 5.3K60 Ultra HD Video, 27MP Photos, HDR, 1/1.9"" Image Sensor, Live Streaming, Webcam, Stabilization",https://www.amazon.com/GoPro-Hero12-Black-Commerce-Package/dp/B0DD5G9QGJ,0,499,$289.99,N
"SAMSUNG Galaxy Watch 6 Classic 47mm Stainless-Steel Smartwatch w/Fitness Tracker, Heart Monitor, BIA Sensor, Bluetooth – Black",https://www.amazon.com/Samsung-Classic-Stainless-Steel-Smartwatch-Bluetooth/dp/B0CCW95RBD,0,518,$209.99,N
"Bose QuietComfort Ultra Bluetooth Headphones, Wireless Headphones with Spatial Audio, Over Ear Noise Cancelling with Mic, Up to 24 Hours of Playtime, Black",https://www.amazon.com/Bose-QuietComfort-Wireless-Cancelling-Headphones/dp/B0CCZ1L489,5,"8,029",$429.00,Y
"Amazon Kindle Scribe (16GB) - Your notes, documents and books, all in one place. With built-in AI notebook summarization. Includes Premium Pen - Tungsten",https://www.amazon.com/Amazon-Kindle-Scribe/dp/B0CZ9VFQ2P,0,"2,417",$399.99,Y
