
Business Name,Industry,Address,Phone,Email,Website,Notes
Plumbing Parts Company,Plumbing supply,"5015 Bond St, Las Vegas, NV 89118",702-365-5665,,http://www.plumbingpartscompany.com,Supplier of plumbing parts and accessories
Consumers Pipe & Supply Co.,Industrial supply,"6025 Hauck St, Las Vegas, NV 89118",702-362-7473,,http://www.consumerspipe.com,"Distributor of piping products, valves and fittings"
Harrington Industrial Plastics,Industrial / Plastic piping,"5530 South Arville Street, Suite E, Las Vegas, NV 89118",702-566-5690,LasVegas@hipco.com,https://www.hipco.com,Distributor of plastic piping and industrial products
Additive Manufacturing LLC,Additive manufacturing / 3D printing,"5988 Edmond St, Las Vegas, NV 89118",877-238-7907,,https://additivemanufacturingllc.com,Provides 3D printing and manufacturing services
Universal Engineering Sciences (UES),Geotechnical & materials testing,"4480 W Hacienda Ave Suite 104, Las Vegas, NV 89118",702-873-3478,info@teamues.com,https://www.teamues.com,Engineering services including testing and inspection
Albertsons Distribution Center,Grocery distribution,"6065 Polaris Ave, Las Vegas, NV 89118",702-895-7661,,https://www.albertsons.com,Distribution center supporting grocery stores
JS Products Inc,Tool manufacturing & supply,"5440 S Procyon Ave, Las Vegas, NV 89118",702-362-7011,,,Manufacturer and distributor of tools and equipment
DeSoto Sales Inc.,Floor covering supplies,"5530 South Arville Street Suite H, Las Vegas, NV 89118",702-221-4259,LasVegas@Desotosales.com,https://www.desotosales.com,Wholesale floor covering supply distributor
ACCO Engineered Systems,Mechanical contractor / HVAC,"6678 W. Sunset Road Ste. 160, Las Vegas, NV 89118",702-405-1811,,https://www.accoes.com,Provides HVAC and mechanical contracting services
Subaru of Las Vegas (Findlay Subaru),Automotive dealership (parts distribution),"6455 Roy Horn Way, Las Vegas, NV 89118",702-495-2197,,https://www.subaruoflasvegas.com,Car dealership with parts and service centre; may need warehouse space
