symbol,date,opening_price,closing_price,volume,market_cap_rank
LTC,2021-06-16,175.24,166.54,70518443.71,12
MATIC,2021-06-16,1.63,1.478,90006992.0,11
SOL,2021-06-16,39.55,39.63,51535900.37,10
TON,2021-06-16,0.0,0.0,0.0,15
TRX,2021-06-16,0.07183,0.06884,4039317.41,13
USDC,2021-06-16,1.0,1.0,48111.38,8
USDT,2021-06-16,1.0,0.9999,48103.76,3
XRP,2021-06-16,0.8668,0.8315,60127542.33,7
ADA,2021-06-17,1.484,1.482,44145311.69,5
AVAX,2021-06-17,14.07,14.85,8581572.65,14
BNB,2021-06-17,347.26,352.83,59641452.53,4
BTC,2021-06-17,38345.41,38082.3,1599770630.8,1
DOGE,2021-06-17,0.3077,0.306,39582198.01,7
DOT,2021-06-17,23.02,22.48,19407898.73,9
ETH,2021-06-17,2367.7,2372.31,866421709.08,2
LTC,2021-06-17,166.54,167.1,56846883.67,12
MATIC,2021-06-17,1.478,1.504,60386831.51,11
SOL,2021-06-17,39.63,39.22,41116302.63,10
TON,2021-06-17,0.0,0.0,0.0,15
TRX,2021-06-17,0.06884,0.07381,3160706.3,13
USDC,2021-06-17,1.0,1.001,41618.64,8
USDT,2021-06-17,0.9999,1.0,41595.79,3
XRP,2021-06-17,0.8315,0.8414,48011899.73,6
ADA,2021-06-18,1.482,1.415,61044771.63,5
AVAX,2021-06-18,14.85,13.64,6919522.37,14
BNB,2021-06-18,352.83,337.38,68662619.43,4
BTC,2021-06-18,38082.3,35830.29,2207651943.63,1
DOGE,2021-06-18,0.306,0.2931,89451425.0,7
DOT,2021-06-18,22.48,21.38,20508222.2,9
ETH,2021-06-18,2372.31,2233.57,1193362399.58,2
LTC,2021-06-18,167.1,156.34,74691207.26,12
MATIC,2021-06-18,1.504,1.379,77562607.61,11
SOL,2021-06-18,39.22,36.79,38146954.39,10
TON,2021-06-18,0.0,0.0,0.0,15
TRX,2021-06-18,0.07381,0.06955,5274829.17,13
USDC,2021-06-18,1.001,1.001,60307.39,8
USDT,2021-06-18,1.0,1.001,60274.41,3
XRP,2021-06-18,0.8414,0.797,55238283.32,6
ADA,2021-06-19,1.415,1.385,43756712.75,5
AVAX,2021-06-19,13.64,13.38,3593192.88,14
BNB,2021-06-19,337.38,334.24,45165759.63,4
BTC,2021-06-19,35830.29,35515.38,1601193146.33,1
DOGE,2021-06-19,0.2931,0.286,39832132.99,6
DOT,2021-06-19,21.38,20.25,16886324.4,9
ETH,2021-06-19,2233.57,2166.61,715881808.7,2
LTC,2021-06-19,156.34,152.77,40477986.21,12
MATIC,2021-06-19,1.379,1.36,63593652.15,11
SOL,2021-06-19,36.79,35.19,23775489.43,10
TON,2021-06-19,0.0,0.0,0.0,15
TRX,2021-06-19,0.06955,0.06863,2081075.54,13
USDC,2021-06-19,1.001,0.9999,44779.3,8
USDT,2021-06-19,1.001,1.001,44814.84,3
XRP,2021-06-19,0.797,0.7603,36536091.95,7
ADA,2021-06-20,1.385,1.426,86425758.38,5
AVAX,2021-06-20,13.38,13.93,3995239.21,14
BNB,2021-06-20,334.24,339.11,62782975.76,4
BTC,2021-06-20,35515.38,35602.26,1964614466.35,1
DOGE,2021-06-20,0.286,0.2802,89857019.13,7
DOT,2021-06-20,20.25,20.63,24158909.81,9
ETH,2021-06-20,2166.61,2243.6,1057105893.49,2
LTC,2021-06-20,152.77,154.86,59263087.04,12
MATIC,2021-06-20,1.36,1.397,60291912.03,10
SOL,2021-06-20,35.19,35.25,48797283.37,11
TON,2021-06-20,0.0,0.0,0.0,15
TRX,2021-06-20,0.06863,0.06778,2927444.29,13
USDC,2021-06-20,0.9999,1.0,56541.43,8
USDT,2021-06-20,1.001,1.0,56530.01,3
XRP,2021-06-20,0.7603,0.7744,60944707.46,6
ADA,2021-06-21,1.426,1.176,151459034.1,5
AVAX,2021-06-21,13.93,11.21,7166335.46,14
BNB,2021-06-21,338.99,271.11,55807486.75,4
BTC,2021-06-21,35602.26,31652.62,3650731161.39,1
DOGE,2021-06-21,0.2802,0.1783,324102737.4,8
DOT,2021-06-21,20.63,15.74,61073976.66,9
ETH,2021-06-21,2243.6,1887.89,2759117557.28,2
LTC,2021-06-21,154.86,124.64,138024627.34,12
MATIC,2021-06-21,1.397,1.101,103494953.55,10
SOL,2021-06-21,35.25,26.65,96081633.41,11
TON,2021-06-21,0.0,0.0,0.0,15
TRX,2021-06-21,0.06778,0.05398,6260347.09,13
USDC,2021-06-21,1.0,1.001,111104.76,7
USDT,2021-06-21,1.0,1.001,111142.95,3
XRP,2021-06-21,0.7744,0.6076,134368824.86,6
ADA,2021-06-22,1.176,1.155,210021036.69,5
AVAX,2021-06-22,11.21,10.55,8890380.84,14
BNB,2021-06-22,271.11,261.92,83881012.6,4
BTC,2021-06-22,31652.62,32537.58,4060734244.07,1
DOGE,2021-06-22,0.1783,0.1905,267269872.96,8
DOT,2021-06-22,15.74,14.65,64363190.36,9
ETH,2021-06-22,1887.89,1880.83,3161540297.98,2
LTC,2021-06-22,124.64,119.75,178671008.57,12
MATIC,2021-06-22,1.101,1.074,159755134.44,10
SOL,2021-06-22,26.65,26.98,133615779.74,11
TON,2021-06-22,0.0,0.0,0.0,15
TRX,2021-06-22,0.05398,0.0509,9248848.88,13
USDC,2021-06-22,1.001,1.001,130091.54,6
USDT,2021-06-22,1.001,1.001,130086.42,3
XRP,2021-06-22,0.6076,0.5465,197415172.45,7
ADA,2021-06-23,1.155,1.251,124766882.83,5
AVAX,2021-06-23,10.55,11.46,5794694.37,14
BNB,2021-06-23,262.12,296.24,127319750.75,4
BTC,2021-06-23,32537.58,33678.64,2037061709.14,1
DOGE,2021-06-23,0.1905,0.235,243138293.09,7
DOT,2021-06-23,14.65,15.8,30429173.52,9
ETH,2021-06-23,1880.83,1968.56,1416402416.38,2
LTC,2021-06-23,119.75,129.06,94675987.55,12
MATIC,2021-06-23,1.074,1.177,93108904.78,11
SOL,2021-06-23,26.98,30.84,97593693.54,10
TON,2021-06-23,0.0,0.0,0.0,15
TRX,2021-06-23,0.0509,0.05774,5325430.93,13
USDC,2021-06-23,1.001,1.0,60350.84,8
USDT,2021-06-23,1.001,1.0,60359.61,3
XRP,2021-06-23,0.5465,0.6385,135952034.45,6
ADA,2021-06-24,1.251,1.358,85325605.15,5
AVAX,2021-06-24,11.46,11.49,4951993.5,14
BNB,2021-06-24,296.24,308.38,99169410.61,4
BTC,2021-06-24,33678.64,34649.84,1311147481.02,1
DOGE,2021-06-24,0.235,0.2634,156995077.85,6
DOT,2021-06-24,15.8,16.22,18246500.78,9
ETH,2021-06-24,1968.56,1989.01,882504031.49,2
LTC,2021-06-24,129.06,134.51,60928878.69,12
MATIC,2021-06-24,1.177,1.204,49159098.47,11
SOL,2021-06-24,30.84,31.18,57246549.21,10
TON,2021-06-24,0.0,0.0,0.0,15
TRX,2021-06-24,0.05774,0.06608,13643215.09,13
USDC,2021-06-24,1.0,1.0,38755.74,8
USDT,2021-06-24,1.0,0.9997,38745.19,3
XRP,2021-06-24,0.6385,0.6719,89216273.95,7
ADA,2021-06-25,1.358,1.255,46735357.68,5
AVAX,2021-06-25,11.49,10.25,3929220.03,14
BNB,2021-06-25,308.42,280.94,54041535.71,4
BTC,2021-06-25,34649.84,31593.86,3027434524.39,1
DOGE,2021-06-25,0.2634,0.238,226861388.01,6
DOT,2021-06-25,16.22,14.44,18166802.14,9
ETH,2021-06-25,1989.01,1810.27,1653237866.52,2
LTC,2021-06-25,134.51,125.2,64220527.88,12
MATIC,2021-06-25,1.204,1.042,27424725.38,11
SOL,2021-06-25,31.18,28.63,65442820.83,10
TON,2021-06-25,0.0,0.0,0.0,15
TRX,2021-06-25,0.06608,0.06158,8318399.19,13
USDC,2021-06-25,1.0,0.9992,91563.73,8
USDT,2021-06-25,0.9997,1.0,91663.34,3
XRP,2021-06-25,0.6719,0.6123,92055859.23,7
ADA,2021-06-26,1.255,1.251,29606234.94,5
AVAX,2021-06-26,10.25,10.33,2525796.34,14
BNB,2021-06-26,280.94,279.57,31837863.37,4
BTC,2021-06-26,31593.86,32307.35,1826363014.48,1
DOGE,2021-06-26,0.238,0.2453,82608167.5,6
DOT,2021-06-26,14.44,14.52,15531025.6,9
ETH,2021-06-26,1810.27,1830.94,1021387751.81,2
LTC,2021-06-26,125.2,126.75,52448054.98,12
MATIC,2021-06-26,1.042,1.076,31330713.83,11
SOL,2021-06-26,28.63,29.67,40513771.43,10
TON,2021-06-26,0.0,0.0,0.0,15
TRX,2021-06-26,0.06158,0.06255,4015166.25,13
USDC,2021-06-26,0.9992,1.002,58440.76,8
USDT,2021-06-26,1.0,1.001,58373.83,3
XRP,2021-06-26,0.6123,0.6158,64903649.61,7
ADA,2021-06-27,1.251,1.337,23229043.91,5
AVAX,2021-06-27,10.33,10.95,3355702.52,14
BNB,2021-06-27,280.1,291.21,68330736.18,4
BTC,2021-06-27,32307.35,34713.81,2002954688.79,1
DOGE,2021-06-27,0.2453,0.2648,65448880.28,6
DOT,2021-06-27,14.52,15.0,15272557.88,9
ETH,2021-06-27,1830.94,1983.33,1092710033.78,2
LTC,2021-06-27,126.75,132.63,48524423.87,12
MATIC,2021-06-27,1.076,1.113,20989072.26,11
SOL,2021-06-27,29.67,31.87,29092922.23,10
TON,2021-06-27,0.0,0.0,0.0,15
TRX,2021-06-27,0.06255,0.06471,2564410.37,13
USDC,2021-06-27,1.002,1.001,60474.43,8
USDT,2021-06-27,1.001,1.001,60436.2,3
XRP,2021-06-27,0.6158,0.6485,49222552.55,7
ADA,2021-06-28,1.337,1.326,26582760.61,5
AVAX,2021-06-28,10.95,11.32,3232736.85,14
BNB,2021-06-28,291.21,290.0,75728177.96,4
BTC,2021-06-28,34713.81,34487.11,1424168416.33,1
DOGE,2021-06-28,0.2648,0.257,58025448.74,6
DOT,2021-06-28,15.0,15.77,16419700.61,9
ETH,2021-06-28,1983.33,2083.8,1308344183.96,2
LTC,2021-06-28,132.63,137.55,55727801.63,12
MATIC,2021-06-28,1.113,1.12,13936772.17,11
SOL,2021-06-28,31.87,33.0,31192686.66,10
TON,2021-06-28,0.0,0.0,0.0,15
TRX,2021-06-28,0.06471,0.06529,3759043.61,13
USDC,2021-06-28,1.001,1.0,41272.79,8
USDT,2021-06-28,1.001,1.0,41259.25,3
XRP,2021-06-28,0.6485,0.644,49641400.91,7
ADA,2021-06-29,1.326,1.371,35934284.11,5
AVAX,2021-06-29,11.32,11.92,4151669.53,14
BNB,2021-06-29,290.0,300.78,83844844.95,4
BTC,2021-06-29,34487.11,35901.41,1578253520.29,1
DOGE,2021-06-29,0.257,0.2631,72835851.94,6
DOT,2021-06-29,15.77,16.26,21276369.96,9
ETH,2021-06-29,2083.8,2165.61,990499298.9,2
LTC,2021-06-29,137.55,144.09,79044442.68,12
MATIC,2021-06-29,1.12,1.171,22081526.33,11
SOL,2021-06-29,33.0,33.94,42437610.12,10
TON,2021-06-29,0.0,0.0,0.0,15
TRX,2021-06-29,0.06529,0.0677,6144632.13,13
USDC,2021-06-29,1.0,1.0,44234.87,8
USDT,2021-06-29,1.0,0.9997,44201.72,3
XRP,2021-06-29,0.644,0.7056,86066216.02,7
ADA,2021-06-30,1.371,1.384,41253112.24,5
AVAX,2021-06-30,11.92,11.96,4758863.66,14
BNB,2021-06-30,301.03,303.57,39808846.79,4
BTC,2021-06-30,35901.41,35056.39,1388243727.19,1
DOGE,2021-06-30,0.2631,0.2541,49449281.49,7
DOT,2021-06-30,16.26,16.38,15810584.38,9
ETH,2021-06-30,2165.61,2276.14,1128164730.61,2
LTC,2021-06-30,144.09,144.3,58001462.91,12
MATIC,2021-06-30,1.171,1.166,16897015.37,11
SOL,2021-06-30,33.94,35.53,44244758.74,10
TON,2021-06-30,0.0,0.0,0.0,15
TRX,2021-06-30,0.0677,0.06811,3810139.18,13
USDC,2021-06-30,1.0,1.001,39824.43,8
USDT,2021-06-30,0.9997,1.0,39814.19,3
XRP,2021-06-30,0.7056,0.7059,65019006.89,6
ADA,2021-07-01,1.384,1.336,25647402.09,5
AVAX,2021-07-01,11.96,11.2,2334666.4,14
BNB,2021-07-01,303.57,287.62,26204683.39,4
BTC,2021-07-01,35056.39,33543.11,1238732543.23,1
DOGE,2021-07-01,0.2541,0.2443,67184655.34,6
DOT,2021-07-01,16.38,15.21,9721434.44,9
ETH,2021-07-01,2276.14,2109.29,1069055464.26,2
LTC,2021-07-01,144.3,137.28,54210961.31,12
MATIC,2021-07-01,1.166,1.074,36117583.7,11
SOL,2021-07-01,35.53,33.32,42689121.73,10
TON,2021-07-01,0.0,0.0,0.0,15
TRX,2021-07-01,0.06811,0.06487,2728601.14,13
USDC,2021-07-01,1.001,1.0,36901.84,8
USDT,2021-07-01,1.0,1.001,36913.41,3
XRP,2021-07-01,0.7059,0.6601,51416772.62,7
ADA,2021-07-02,1.336,1.395,28875675.07,4
AVAX,2021-07-02,11.2,11.13,3404032.38,14
BNB,2021-07-02,287.62,287.22,25820492.75,5
BTC,2021-07-02,33543.11,33804.54,1102040372.36,1
DOGE,2021-07-02,0.2443,0.2452,30430571.55,6
DOT,2021-07-02,15.21,15.31,10169924.93,9
ETH,2021-07-02,2109.29,2155.65,855546242.98,2
LTC,2021-07-02,137.28,136.92,38207988.19,12
MATIC,2021-07-02,1.074,1.103,29149085.58,11
SOL,2021-07-02,33.32,34.0,35575070.82,10
TON,2021-07-02,0.0,0.0,0.0,15
TRX,2021-07-02,0.06487,0.06655,2371914.02,13
USDC,2021-07-02,1.0,0.9997,33072.55,8
USDT,2021-07-02,1.001,1.001,33100.44,3
XRP,2021-07-02,0.6601,0.6569,41082154.38,7
ADA,2021-07-03,1.395,1.405,22294048.93,5
AVAX,2021-07-03,11.13,11.51,3173622.15,14
BNB,2021-07-03,287.22,298.26,25313982.77,4
BTC,2021-07-03,33804.54,34682.84,595117204.83,1
DOGE,2021-07-03,0.2452,0.2464,24773084.83,7
DOT,2021-07-03,15.31,15.52,7647823.6,9
ETH,2021-07-03,2155.65,2227.18,511756918.09,2
LTC,2021-07-03,136.92,140.17,25412365.01,12
MATIC,2021-07-03,1.103,1.118,18095631.49,11
SOL,2021-07-03,34.0,34.5,23005140.76,10
TON,2021-07-03,0.0,0.0,0.0,15
TRX,2021-07-03,0.06655,0.06679,1876175.56,13
USDC,2021-07-03,0.9997,1.0,17319.79,8
USDT,2021-07-03,1.001,1.0,17324.58,3
XRP,2021-07-03,0.6569,0.6732,34734291.73,6
ADA,2021-07-04,1.405,1.46,18953697.63,5
AVAX,2021-07-04,11.51,12.35,5793724.23,14
BNB,2021-07-04,298.26,307.82,28679085.05,4
BTC,2021-07-04,34682.84,35287.97,563891553.21,1
DOGE,2021-07-04,0.2464,0.2466,23755010.06,7
DOT,2021-07-04,15.52,15.99,8990493.3,9
ETH,2021-07-04,2227.18,2323.27,690333030.43,2
LTC,2021-07-04,140.17,144.92,34275080.73,12
MATIC,2021-07-04,1.118,1.148,23678426.58,11
