retailer,category,rank,product_name,product_url,current_price,original_price,review_count,badges,category_url,product_code,retailer_score,search_score,combined_score,final_rank
Reece,basins,10,Base Vanity Basin with Front Overflow 1 Taphole 540 x 445mm White,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/base-vanity-basin-with-front-overflow-1-taphole-9503280,$110.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.1,0.0,0.1,10.0
Highgrove Bathrooms,basins,10,BYRON Bench Mount Basin Matte Black,https://www.highgrovebathrooms.com.au/product/byron-bench-mount-basin-matte-black/,$269.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC142-MB,0.1,0.0,0.1,10.0
Bunnings,basins,10,CIBO 1200mm White Lume Wall Hung Bathroom Vanity with White Basin,https://www.bunnings.com.au/cibo-1200mm-white-lume-wall-hung-bathroom-vanity-with-white-basin_p0937351,$1399,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,937351.0,0.1,0.0,0.1,10.0
MyHomeware,basins,10,Infinity 580x400x150mm Oval Porcelain Above Counter Basin,https://www.myhomeware.com.au/products/bathroom-basin-above-counter-oval-porcelain,$351.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA017,0.1,0.0,0.1,10.0
The Blue Space,basins,11,ADP Patty 450 x 280 Ensuite Above Counter Basin White,https://www.thebluespace.com.au/collections/bathroom-basins/products/adp-patty-ensuite-sized-above-counter-basin-white,$169,$199,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.09090909090909091,0.0,0.09090909090909091,11.0
Reece,basins,11,Roca Inspira Light Round Above Counter Basin 370mm White,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/roca-inspira-light-round-above-counter-basin-9510256,$299.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.09090909090909091,0.0,0.09090909090909091,11.0
Highgrove Bathrooms,basins,11,BYRON Bench Mount Basin Gloss White,https://www.highgrovebathrooms.com.au/product/byron-bench-mount-basin-gloss-white/,$135.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC142-W,0.09090909090909091,0.0,0.09090909090909091,11.0
Bunnings,basins,11,CIBO 900mm White Lume Full Height Bathroom Vanity with Black Basin,https://www.bunnings.com.au/cibo-900mm-white-lume-full-height-bathroom-vanity-with-black-basin_p0937347,$1335,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,937347.0,0.09090909090909091,0.0,0.09090909090909091,11.0
MyHomeware,basins,11,Infinity 360x360x120mm Above Counter Basin Bathroom Round Ceramic Wash Basin Lattice P...,https://www.myhomeware.com.au/products/round-above-counter-basin-lattice-ceramic-variant-colour,$181.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA004,0.09090909090909091,0.0,0.09090909090909091,11.0
The Blue Space,basins,12,Caroma Luna Inset Basin (Without Tap Landing),https://www.thebluespace.com.au/collections/bathroom-basins/products/caroma-luna-inset-basin-without-tap-landing,$258,$462,,In Stock,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.08333333333333333,0.0,0.08333333333333333,12.0
Reece,basins,12,Mizu Drift Pull Out Pop Up Waste 40mm Non-Overflow Gloss White,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-pull-out-pop-up-waste-40mm-2263449,$72.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.08333333333333333,0.0,0.08333333333333333,12.0
Highgrove Bathrooms,basins,12,CHARLOTTE Bench Mount Basin Matte White,https://www.highgrovebathrooms.com.au/product/charlotte-bench-mount-basin-matte-white/,$349.00,,,,https://www.highgrovebathrooms.com.au/basins/,UCL103-M,0.08333333333333333,0.0,0.08333333333333333,12.0
Bunnings,basins,12,CIBO 1200mm White Lume Full Height Bathroom Vanity with White Basin,https://www.bunnings.com.au/cibo-1200mm-white-lume-full-height-bathroom-vanity-with-white-basin_p0937348,$1499,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,937348.0,0.08333333333333333,0.0,0.08333333333333333,12.0
MyHomeware,basins,12,Infinity 500x320x120mm Oval Above Counter Ceramic Basin In Various Colour,https://www.myhomeware.com.au/products/500mm-oval-above-counter-ceramic-basin-various-colour,$219.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA078,0.08333333333333333,0.0,0.08333333333333333,12.0
The Blue Space,baths,1,Caroma Urbane II Back to Wall Freestanding Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-urbane-ii-back-to-wall-freestanding-bath,"$1,895","$3,175",,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,1.0,0.0,1.0,1.0
Reece,baths,1,Bounty Brassware Bath Pop Down Plug & Waste 40mm Chrome,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/bounty-brassware-bath-pop-down-plug-waste-248930,$73.04,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,1.0,0.0,1.0,1.0
Highgrove Bathrooms,baths,1,PROVENCE Solid Surface Freestanding Bath with Overflow Matte White 1700mm,https://www.highgrovebathrooms.com.au/product/provence-solid-surface-freestanding-bath-with-overflow-matte-white-1700mm/,$3199.00,,,NEW,https://www.highgrovebathrooms.com.au/baths/,PR1700-M,1.0,0.0,1.0,1.0
Bunnings,baths,1,Estilo 1650mm White Gloss Bold Freestanding Oval Bathtub,https://www.bunnings.com.au/estilo-1650mm-white-gloss-bold-freestanding-oval-bathtub_p0237363,$888.28,,(1),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,237363.0,1.0,0.0,1.0,1.0
MyHomeware,baths,1,Macho&ABS 1400/1490/1600/1690mm Hanabi Bathtub Back to Wall Gloss White NO Overflow,https://www.myhomeware.com.au/products/gloss-white-bathtub-back-to-wall-mh-han,$918.00,,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,MH-HAN1400,1.0,0.0,1.0,1.0
The Blue Space,baths,2,Caroma Luna Back To Wall Bath 1400mm,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-contemporary-luna-back-to-wall-bath,"$1,328","$2,617",,"In Stock, In Stock QLD",https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.5,0.0,0.5,2.0
Reece,baths,2,Base Acrylic Bath 1500 x 750 x 400mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/base-acrylic-bath-1500-x-750-x-400mm-white-9504386,$235.00,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.5,0.0,0.5,2.0
Highgrove Bathrooms,baths,2,CORAL Freestanding Bath Matte White 1700mm,https://www.highgrovebathrooms.com.au/product/coral-freestanding-bath-matte-white-1700mm/,$1799.00,,,,https://www.highgrovebathrooms.com.au/baths/,COR1700-M,0.5,0.0,0.5,2.0
Bunnings,baths,2,Estilo 1500mm White Gloss Bold Freestanding Oval Bathtub,https://www.bunnings.com.au/estilo-1500mm-white-gloss-bold-freestanding-oval-bathtub_p0237361,$772.74,,(6),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,237361.0,0.5,0.0,0.5,2.0
MyHomeware,baths,2,Macho&Infinity 1400/1530/1690mm Moah Oval Freestanding Bathtub Acrylic NO Overflow Variant C...,https://www.myhomeware.com.au/products/oval-bathtub-freestanding-1400-1530-1690mm-variant-color,$938.00,,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,IF-NOA-1400,0.5,0.0,0.5,2.0
The Blue Space,baths,3,Caroma Liano Freestanding Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-liano-freestanding-bath,"$1,579","$2,740",,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.3333333333333333,0.0,0.3333333333333333,3.0
Reece,baths,3,Base Acrylic Bath 1700 x 750 x 400mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/base-acrylic-bath-1700-x-750-x-400mm-white-9504387,$261.00,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.3333333333333333,0.0,0.3333333333333333,3.0
Highgrove Bathrooms,baths,3,EVOKE Solid Surface Freestanding Bath Matte White 1500mm,https://www.highgrovebathrooms.com.au/product/evoke-solid-surface-freestanding-bath-matte-white-1500mm/,$1900.00,$2790.00,,SALE,https://www.highgrovebathrooms.com.au/baths/,EVK1500-M,0.3333333333333333,0.0,0.3333333333333333,3.0
Bunnings,baths,3,Estilo 1650mm White Gloss Edge Freestanding Rectangle Bathtub,https://www.bunnings.com.au/estilo-1650mm-white-gloss-edge-freestanding-rectangle-bathtub_p0237366,$846.94,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,237366.0,0.3333333333333333,0.0,0.3333333333333333,3.0
MyHomeware,baths,3,ABS 1200/1300/1400/1500/1600/1700mm Rectangular Bathtub Multi fit Corner Back to ...,https://www.myhomeware.com.au/products/bathtub-multi-fit-corner-back-freestanding-gloss-white,$910.00,"$1,011.00",,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,ABS-Lotus-120-70-SV4,0.3333333333333333,0.0,0.3333333333333333,3.0
The Blue Space,baths,4,Caroma Urbane II Freestanding Bath White,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-aura-freestanding-bath,"$1,746","$3,072",,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.25,0.0,0.25,4.0
Reece,baths,4,Bounty Brassware Bath Pop Down Plug & Waste 40mm Matte Black,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/bounty-brassware-bath-pop-down-plug-waste-248945,$158.63,,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.25,0.0,0.25,4.0
Highgrove Bathrooms,baths,4,ACACIA Freestanding Bath with Overflow Gloss White 1700mm,https://www.highgrovebathrooms.com.au/product/acacia-freestanding-bath-with-overflow-gloss-white-1700mm/,$1490.00,,,,https://www.highgrovebathrooms.com.au/baths/,ACA1700-W,0.25,0.0,0.25,4.0
Bunnings,baths,4,Estilo 1505 x 710 x 394mm Bath,https://www.bunnings.com.au/estilo-1505-x-710-x-394mm-bath_p0328254,$172,,(0),,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,328254.0,0.25,0.0,0.25,4.0
MyHomeware,baths,4,Macho&Infinity 1200/1500/1680mm Eudora Oval Bathtub Freestanding Acrylic Gloss White NO Over...,https://www.myhomeware.com.au/products/bathtub-freestanding-1200-1500-1700mm-oval-gloss-white,$918.00,,,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,MH-EUD1200,0.25,0.0,0.25,4.0
The Blue Space,baths,5,Caroma Urbane 1675mm Island Bath,https://www.thebluespace.com.au/collections/bathtubs/products/caroma-urbane-1675-island-bath,$528,$800,,,https://www.thebluespace.com.au/collections/bathtubs?sort_by=best-selling,,0.2,0.0,0.2,5.0
Reece,baths,5,Posh Domaine Back to Wall Freestanding Bath 1500 x 720mm White,https://www.reece.com.au/product/bathroom-c544063/baths-spas-c543851/posh-domaine-back-to-wall-freestanding-bath-1500-9508056,"$1,970.00",,,,https://www.reece.com.au/search/bathroom-c544063/baths-spas-c543851?sortBy=POPULARITY&sortDirection=DESCENDING,,0.2,0.0,0.2,5.0
Highgrove Bathrooms,baths,5,OMEGA Drop In Bath with Overflow RHS Gloss White 1650mm,https://www.highgrovebathrooms.com.au/product/omega-drop-in-bath-with-overflow-rhs-gloss-white-1650mm/,$399.00,,,,https://www.highgrovebathrooms.com.au/baths/,OME1650R-W,0.2,0.0,0.2,5.0
Bunnings,baths,5,"Equipmed Bath Transfer Bench Chair, Bathtubs or Shower, 125kg Capacity, for Seniors Elderly, White",https://www.bunnings.com.au/equipmed-bath-transfer-bench-chair-bathtubs-or-shower-125kg-capacity-for-seniors-elderly-white_p0867966,$89,,(0),Marketplace,https://www.bunnings.com.au/search/products?q=bathtub&sort=BoostOrder&page=1,867966.0,0.2,0.0,0.2,5.0
MyHomeware,baths,5,Macho&Infinity 1300/1400/1485/1680mm Left / Right Corner Bathtub Acrylic Gloss / Matt White ...,https://www.myhomeware.com.au/products/corner-back-to-wall-bathtub-left-right-mhcec-various-colour,$817.00,"$1,017.00",,,https://www.myhomeware.com.au/collections/bathtubs?sort_by=best-selling,IF-NER-1300-L,0.2,0.0,0.2,5.0
