Season,Date,Opponent,Record
2010-2011,2/27/11,Indiana,W 82-61
2010-2011,3/1/11,Penn State,W 82-61
2010-2011,3/6/11,Wisconsin,W 93-65
2010-2011,3/11/11,Northwestern ,W 67-61 OT
2010-2011,3/12/11,Michigan ,W 68-61
2010-2011,3/13/11,Penn State ,W 71-60
2010-2011,3/18/11,UTSA ,W 75-46
2010-2011,3/20/11,George Mason ,W 98-66
2010-2011,3/25/11,Kentucky ,L 60-62
2011-2012,11/6/11,Walsh ,W 95-49
2011-2012,11/11/11,Wright State,W 73-42
2011-2012,11/15/11,Florida,W 81-74
2011-2012,11/18/11,Jackson State,W 85-41
2011-2012,11/21/11,North Florida,W 85-50
2011-2012,11/23/11,VMI,W 107-74
2011-2012,11/25/11,Valparaiso,W 80-47
2011-2012,11/29/11,Duke,W 85-63
2011-2012,12/3/11,Texas–Pan American,W 64-35
2011-2012,12/10/11,Kansas,L 67-78
2011-2012,12/14/11,USC Upstate,W 82-58
2011-2012,12/17/11,South Carolina,W 74-66
2011-2012,12/20/11,Lamar,W 70-50
2011-2012,12/22/11,Miami (Ohio),W 69-40
2011-2012,12/28/11,Northwestern,W 87-54
2011-2012,12/31/11,Indiana,L 70-74
2011-2012,1/3/12,Nebraska,W 71-40
2011-2012,1/7/12,Iowa,W 76-47
2011-2012,1/10/12,Illinois,L 74-79
2011-2012,1/15/12,Indiana,W 80-63
2011-2012,1/21/12,Nebraska,W 79-45
2011-2012,1/25/12,Penn State,W 78-54
2011-2012,1/29/12,Michigan,W 64-49
2011-2012,2/4/12,Wisconsin,W 58-52
2011-2012,2/7/12,Purdue,W 87-84
2011-2012,2/11/12,Michigan State,L 48-58
2011-2012,2/14/12,Minnesota,W 78-68
2011-2012,2/18/12,Michigan,L 51-56
2011-2012,2/21/12,Illinois,W 83-67
2011-2012,2/26/12,Wisconsin,L 60-63
2011-2012,2/29/12,Northwestern,W 75-73
2011-2012,3/4/12,Michigan State,W 72-70
2011-2012,3/9/12,Purdue ,W 88-71
2011-2012,3/10/12,Michigan ,W 77-55
2011-2012,3/11/12,Michigan State ,L 64-68
2011-2012,3/15/12,Loyola (MD) ,W 78-59
2011-2012,3/17/12,Gonzaga ,W 73-66
2011-2012,3/22/12,Cincinnati ,W 81-66
2011-2012,3/24/12,Syracuse ,W 77-70
2011-2012,3/31/12,Kansas ,L 62-64
2012-2013,10/30/12,Walsh ,W 83-71
2012-2013,11/11/12,Albany,W 82-60
2012-2013,11/17/12,Rhode Island,W 69-58
2012-2013,11/18/12,Washington,W 77-66
2012-2013,11/23/12,UMKC,W 91-45
2012-2013,11/28/12,Duke,L 68-73
2012-2013,12/1/12,Northern Kentucky,W 70-43
2012-2013,12/8/12,Long Beach State,W 89-55
2012-2013,12/12/12,Savannah State,W 85-45
2012-2013,12/15/12,UNC Asheville,W 90-72
2012-2013,12/18/12,Winthrop,W 65-55
2012-2013,12/22/12,Kansas,L 66-74
2012-2013,12/29/12,Chicago State,W 87-44
2012-2013,1/2/13,Nebraska,W 70-44
2012-2013,1/5/13,Illinois,L 55-74
2012-2013,1/8/13,Purdue,W 74-64
2012-2013,1/13/13,Michigan,W 56-53
2012-2013,1/19/13,Michigan State,L 56-59
2012-2013,1/22/13,Iowa,W 72-63
2012-2013,1/26/13,Penn State,W 65-51
2012-2013,1/29/13,Wisconsin,W 58-49
2012-2013,2/2/13,Nebraska,W 63-56
2012-2013,2/5/13,Michigan,L 74-76 OT
2012-2013,2/10/13,Indiana,L 68-81
2012-2013,2/14/13,Northwestern,W 69-59
2012-2013,2/17/13,Wisconsin,L 49-71
2012-2013,2/20/13,Minnesota,W 71-45
2012-2013,2/24/13,Michigan State,W 68-60
2012-2013,2/28/13,Northwestern,W 63-53
2012-2013,3/5/13,Indiana,W 67-58
2012-2013,3/10/13,Illinois,W 68-55
2012-2013,3/15/13,Nebraska ,W 71-50
2012-2013,3/16/13,Michigan State ,W 61-58
2012-2013,3/17/13,Wisconsin ,W 50-43
2012-2013,3/22/13,Iona ,W 95-70
2012-2013,3/24/13,Iowa State ,W 78-75
2012-2013,3/28/13,Arizona ,W 73-70
2012-2013,3/30/13,Wichita State ,L 66-70
2013-2014,11/3/13,Walsh ,W 93-63
2013-2014,11/9/13,Morgan State,W 89-50
2013-2014,11/12/13,Ohio,W 79-69
2013-2014,11/16/13,Marquette,W 52-35
2013-2014,11/20/13,American,W 63-52
2013-2014,11/25/13,Wyoming,W 65-50
2013-2014,11/29/13,North Florida,W 99-64
2013-2014,12/4/13,Maryland,W 76-60
2013-2014,12/7/13,Central Connecticut,W 74-56
2013-2014,12/11/13,Bryant,W 86-48
2013-2014,12/14/13,North Dakota,W 79-62
2013-2014,12/18/13,Delaware,W 76-64
2013-2014,12/21/13,Notre Dame,W 64-61
2013-2014,12/27/13,Louisiana-Monroe,W 71-31
2013-2014,12/31/13,Purdue,W 78-69
2013-2014,1/4/14,Nebraska,W 84-53
2013-2014,1/7/14,Michigan State,L 68-72 OT
2013-2014,1/12/14,Iowa,L 74-84
2013-2014,1/16/14,Minnesota,L 53-63
2013-2014,1/20/14,Nebraska,L 62-68
2013-2014,1/23/14,Illinois,W 62-55
2013-2014,1/29/14,Penn State,L 70-71
2013-2014,2/1/14,Wisconsin,W 59-58
2013-2014,2/4/14,Iowa,W 76-69
2013-2014,2/8/14,Purdue,W 67-49
2013-2014,2/11/14,Michigan,L 60-70
2013-2014,2/15/14,Illinois,W 48-39
2013-2014,2/19/14,Northwestern,W 76-60
2013-2014,2/22/14,Minnesota,W 64-46
2013-2014,2/27/14,Penn State,L 63-65
2013-2014,3/2/14,Indiana,L 64-72
2013-2014,3/9/14,Michigan State,W 69-67
2013-2014,3/13/14,Purdue ,W 63-61
2013-2014,3/14/14,Nebraska ,W 71-67
2013-2014,3/15/14,Michigan ,L 69-72
2013-2014,3/20/14,Dayton ,L 59-60
2014-2015,11/9/14,Walsh ,W 77-37
2014-2015,11/14/14,UMass Lowell,W 92-55
2014-2015,11/18/14,Marquette,W 74-63
2014-2015,11/23/14,Sacred Heart,W 106-48
2014-2015,11/26/14,Campbell,W 91-64
2014-2015,11/28/14,James Madison,W 73-56
2014-2015,12/2/14,Louisville,L 55-64
2014-2015,12/6/14,Colgate,W 70-50
2014-2015,12/10/14,High Point,W 97-43
2014-2015,12/13/14,Morehead State,W 87-71
2014-2015,12/17/14,North Carolina,W 97-55
2014-2015,12/20/14,North Carolina,L 74-82
2014-2015,12/22/14,Miami (OH),W 93-55
2014-2015,12/27/14,Wright State,W 100-55
2014-2015,12/30/14,Iowa,L 65-71
2014-2015,1/3/15,Illinois,W 77-61
2014-2015,1/6/15,Minnesota,W 74-72 OT
2014-2015,1/10/15,Indiana,L 66-69
2014-2015,1/13/15,Michigan,W 71-52
2014-2015,1/17/15,Iowa,L 67-76
2014-2015,1/22/15,Northwestern,W 69-67
2014-2015,1/25/15,Indiana,W 82-70
2014-2015,1/29/15,Maryland,W 80-56
2014-2015,2/4/15,Purdue,L 58-60
2014-2015,2/8/15,Rutgers,W 79-60
2014-2015,2/11/15,Penn State,W 75-55
2014-2015,2/14/15,Michigan State,L 56-59
2014-2015,2/22/15,Michigan,L 57-64
2014-2015,2/26/15,Nebraska,W 81-57
2014-2015,3/1/15,Purdue,W 65-61
2014-2015,3/4/15,Penn State,W 77-67
2014-2015,3/8/15,Wisconsin,L 48-72
2014-2015,3/12/15,Minnesota ,W 79-73
2014-2015,3/13/15,Michigan State ,L 67-76
2014-2015,3/19/15,VCU ,W 75-72 OT
2014-2015,3/21/15,Arizona ,L 58-73
2015-2016,11/8/15,Walsh ,W 92-82
2015-2016,11/15/15,Mount St. Mary's,W 76-54
2015-2016,11/17/15,Grambling State,W 82-55
2015-2016,11/20/15,Texas–Arlington,L 68-73
2015-2016,11/24/15,Louisiana Tech,L 74-82
2015-2016,11/27/15,Memphis,L 76-81 OT
2015-2016,12/1/15,Virginia,L 58-64
2015-2016,12/5/15,VMI,W 89-62
2015-2016,12/8/15,Air Force,W 74-50
2015-2016,12/12/15,UConn,L 55-75
2015-2016,12/16/15,Northern Illinois,W 67-54
2015-2016,12/19/15,Kentucky,W 74-67
2015-2016,12/22/15,Mercer,W 64-44
2015-2016,12/27/15,South Carolina State,W 73-57
2015-2016,12/30/15,Minnesota,W 78-63
2015-2016,1/3/16,Illinois,W 75-73
2015-2016,1/6/16,Northwestern,W 65-56
2015-2016,1/10/16,Indiana,L 60-85
2015-2016,1/13/16,Rutgers,W 94-68
2015-2016,1/16/16,Maryland,L 65-100
2015-2016,1/21/16,Purdue,L 64-75
2015-2016,1/25/16,Penn State,W 66-46
2015-2016,1/28/16,Illinois,W 68-63 OT
2015-2016,1/31/16,Maryland,L 61-66
2015-2016,2/4/16,Wisconsin,L 68-79
2015-2016,2/9/16,Northwestern,W 71-63
2015-2016,2/13/16,Rutgers,W 79-69
2015-2016,2/16/16,Michigan,W 76-66
2015-2016,2/20/16,Nebraska,W 65-62 OT
2015-2016,2/23/16,Michigan State,L 62-81
2015-2016,2/28/16,Iowa,W 68-64
2015-2016,3/5/16,Michigan State,L 76-91
2015-2016,3/10/16,Penn State ,W 79-75
2015-2016,3/11/16,Michigan State ,L 54-81
2015-2016,3/15/16,Akron,W 72-63 OT
2015-2016,3/20/16,Florida,L 66-74
2016-2017,11/6/16,Walsh ,W 85-67
2016-2017,11/11/16,Navy,W 78-68
2016-2017,11/14/16,North Carolina,W 69-63
2016-2017,11/17/16,Providence,W 72-67
2016-2017,11/21/16,Western Carolina,W 66-38
2016-2017,11/23/16,Jackson State,W 78-47
2016-2017,11/25/16,Marshall,W 111-70
2016-2017,11/30/16,Virginia,L 61-63
2016-2017,12/3/16,Fairleigh Dickinson,W 70-62
2016-2017,12/6/16,Florida Atlantic,L 77-79 OT
2016-2017,12/10/16,UConn,W 64-60
2016-2017,12/17/16,UCLA,L 73-86
2016-2017,12/20/16,Youngstown State,W 77-40
2016-2017,12/22/16,UNC Asheville,W 79-77
2016-2017,1/1/17,Illinois,L 70-75
2016-2017,1/5/17,Purdue,L 75-76
2016-2017,1/8/17,Minnesota,L 68-78
2016-2017,1/12/17,Wisconsin,L 66-89
2016-2017,1/15/17,Michigan State,W 72-67
2016-2017,1/18/17,Nebraska,W 67-66
2016-2017,1/22/17,Northwestern,L 72-74
2016-2017,1/25/17,Minnesota,W 78-72
2016-2017,1/28/17,Iowa,L 72-85
2016-2017,1/31/17,Maryland,L 71-77
2016-2017,2/4/17,Michigan,W 70-66
2016-2017,2/8/17,Rutgers,W 70-64
2016-2017,2/11/17,Maryland,L 77-86
2016-2017,2/14/17,Michigan State,L 66-74
2016-2017,2/18/17,Nebraska,L 57-58
2016-2017,2/23/17,Wisconsin,W 83-73
2016-2017,2/28/17,Penn State,W 71-70
2016-2017,3/4/17,Indiana,L 92-96
2016-2017,3/8/17,Rutgers ,L 57-66
2017-2018,11/5/17,Wooster ,W 88-63
2017-2018,11/10/17,Robert Morris,W 95-64
2017-2018,11/12/17,Radford,W 82-72
2017-2018,11/16/17,Texas Southern,W 82-64
2017-2018,11/19/17,Northeastern,W 80-55
2017-2018,11/24/17,Gonzaga,L 59-86
2017-2018,11/24/17,Stanford,W 79-71
2017-2018,11/26/17,Butler,L 66-67 OT
2017-2018,11/29/17,Clemson,L 65-79
2017-2018,12/2/17,Wisconsin,W 83-58
2017-2018,12/4/17,Michigan,W 71-62
2017-2018,12/9/17,William & Mary,W 97-62
2017-2018,12/16/17,Appalachian State,W 80-67
2017-2018,12/19/17,The Citadel,W 94-65
2017-2018,12/23/17,North Carolina,L 72-86
2017-2018,12/30/17,Miami (OH),W 72-59
2017-2018,1/4/18,Iowa,W 92-81
2017-2018,1/7/18,Michigan State,W 80-64
2017-2018,1/11/18,Maryland,W 91-69
2017-2018,1/14/18,Rutgers,W 68-46
2017-2018,1/17/18,Northwestern,W 71-65
2017-2018,1/20/18,Minnesota,W 67-49
2017-2018,1/22/18,Nebraska,W 64-59
2017-2018,1/25/18,Penn State,L 79-82
2017-2018,1/30/18,Indiana,W 71-56
2017-2018,2/4/18,Illinois,W 75-67
2017-2018,2/7/18,Purdue,W 64-63
2017-2018,2/10/18,Iowa,W 82-64
2017-2018,2/15/18,Penn State,L 56-79
2017-2018,2/18/18,Michigan,L 62-74
2017-2018,2/20/18,Rutgers,W 79-52
2017-2018,2/23/18,Indiana,W 80-78 2OT
2017-2018,3/2/18,Penn State ,L 68-69
2017-2018,3/15/18,South Dakota State ,W 81-73
2017-2018,3/17/18,Gonzaga ,L 84-90
2018-2019,11/1/18,UNC Pembroke ,W 81-63
2018-2019,11/7/18,Cincinnati,W 64-56
2018-2019,11/11/18,Purdue Fort Wayne,W 107-61
2018-2019,11/15/18,Creighton,W 69-60
2018-2019,11/18/18,South Carolina State,W 89-61
2018-2019,11/20/18,Samford,W 68-50
2018-2019,11/23/18,Cleveland State,W 89-62
2018-2019,11/28/18,Syracuse,L 62-72
2018-2019,12/2/18,Minnesota,W 79-59
2018-2019,12/5/18,Illinois,W 77-67
2018-2019,12/15/18,Bucknell,W 73-71
2018-2019,12/18/18,Youngstown State,W 75-56
2018-2019,12/22/18,UCLA,W 80-66
2018-2019,12/29/18,High Point,W 82-64
2018-2019,1/5/19,Michigan State,L 77-86
2018-2019,1/9/19,Rutgers,L 61-64
2018-2019,1/12/19,Iowa,L 62-72
2018-2019,1/18/19,Maryland,L 61-75
2018-2019,1/23/19,Purdue,L 67-79
2018-2019,1/26/19,Nebraska,W 70-60
2018-2019,1/29/19,Michigan,L 49-65
2018-2019,2/2/19,Rutgers,W 76-62
2018-2019,2/7/19,Penn State,W 74-70
2018-2019,2/10/19,Indiana,W 55-52
2018-2019,2/14/19,Illinois,L 56-63
2018-2019,2/17/19,Michigan State,L 44-62
2018-2019,2/20/19,Northwestern,W 63-49
2018-2019,2/23/19,Maryland,L 62-72
2018-2019,2/26/19,Iowa,W 90-70
2018-2019,3/2/19,Purdue,L 51-86
2018-2019,3/6/19,Northwestern,L 50-68
2018-2019,3/10/19,Wisconsin,L 67-73 OT
2018-2019,3/14/19,Indiana ,W 79-75
2018-2019,3/15/19,Michigan State ,L 70-77
2018-2019,3/22/19,Iowa State ,W 62-59
2018-2019,3/24/19,Houston ,L 59-74
2019-2020,10/30/19,Cedarville ,W 95-52
2019-2020,11/6/19,Cincinnati,W 64-56
2019-2020,11/10/19,UMass Lowell,W 76-56
2019-2020,11/13/19,Villanova,W 76-51
2019-2020,11/18/19,Stetson,W 86-51
2019-2020,11/22/19,Purdue Fort Wayne,W 85-46
2019-2020,11/25/19,Kent State,W 71-52
2019-2020,11/29/19,Morgan State,W 90-57
2019-2020,12/4/19,North Carolina,W 74-49
2019-2020,12/7/19,Penn State,W 106-74
2019-2020,12/15/19,Minnesota,L 71-84
2019-2020,12/17/19,Southeast Missouri State,W 80-48
2019-2020,12/21/19,Kentucky,W 71-65
2019-2020,12/29/19,West Virginia,L 59-67
2019-2020,1/3/20,Wisconsin,L 57-61
2019-2020,1/7/20,Maryland,L 55-67
2019-2020,1/11/20,Indiana,L 54-66
2019-2020,1/14/20,Nebraska,W 80-68
2019-2020,1/18/20,Penn State,L 76-90
2019-2020,1/23/20,Minnesota,L 59-62
2019-2020,1/26/20,Northwestern,W 71-59
2019-2020,2/1/20,Indiana,W 68-59
2019-2020,2/4/20,Michigan,W 61-58
2019-2020,2/9/20,Wisconsin,L 57-70
2019-2020,2/12/20,Rutgers,W 72-66
2019-2020,2/15/20,Purdue,W 68-52
2019-2020,2/20/20,Iowa,L 76-85
2019-2020,2/23/20,Maryland,W 79-72
2019-2020,2/27/20,Nebraska,W 75-54
2019-2020,3/1/20,Michigan,W 77-63
2019-2020,3/5/20,Illinois,W 71-63
2019-2020,3/8/20,Michigan State,L 69-80
2019-2020,3/12/20,Purdue ,Canceled
2020-2021,11/25/20,Illinois State,W 94-67
2020-2021,11/29/20,UMass Lowell,W 74-64
2020-2021,12/2/20,Morehead State,W 77-44
2020-2021,12/5/20,Alabama A&M,Canceled
2020-2021,12/8/20,Notre Dame,W 90-85
2020-2021,12/13/20,Cleveland State,W 67-61
2020-2021,12/16/20,Purdue,L 60-67
2020-2021,12/19/20,UCLA,W 77-70
2020-2021,12/23/20,Rutgers,W 80-68
2020-2021,12/26/20,Northwestern,L 70-71
2020-2021,12/30/20,Nebraska,W 90-54
2020-2021,1/3/21,Minnesota,L 60-77
2020-2021,1/9/21,Rutgers,W 79-68
2020-2021,1/13/21,Northwestern,W 81-71
2020-2021,1/16/21,Illinois,W 87-81
2020-2021,1/19/21,Purdue,L 65-67
2020-2021,1/23/21,Wisconsin,W 74-62
2020-2021,1/27/21,Penn State,W 83-79
2020-2021,1/31/21,Michigan State,W 79-62
2020-2021,2/4/21,Iowa,W 89-85
2020-2021,2/8/21,Maryland,W 73-65
2020-2021,2/13/21,Indiana,W 78-59
2020-2021,2/18/21,Penn State,W 92-82
2020-2021,2/21/21,Michigan,L 87-92
2020-2021,2/25/21,Michigan State,L 67-71
2020-2021,2/28/21,Iowa,L 57-73
2020-2021,3/6/21,Illinois,L 68-73
2020-2021,3/11/21,Minnesota ,W 79-75
2020-2021,3/12/21,Purdue ,W 87-78 OT
2020-2021,3/13/21,Michigan ,W 68-67
2020-2021,3/14/21,Illinois ,L 88-91 OT
2020-2021,3/19/21,Oral Roberts ,L 72-75 OT
2021-2022,11/1/21,Indianapolis ,W 82-46
2021-2022,11/9/21,Akron,W 67-66
2021-2022,11/12/21,Niagara,W 84-74
2021-2022,11/15/21,Bowling Green,W 89-58
2021-2022,11/18/21,Xavier,L 65-71
2021-2022,11/22/21,Seton Hall,W 79-76
2021-2022,11/24/21,Florida,L 68-71
2021-2022,11/30/21,Duke,W 71-67
2021-2022,12/5/21,Penn State,W 76-64
2021-2022,12/8/21,Towson,W 85-74
2021-2022,12/11/21,Wisconsin,W 73-55
2021-2022,12/18/21,Kentucky,Canceled
2021-2022,12/21/21,UT Martin,Canceled
2021-2022,12/28/21,New Orleans,Canceled
2021-2022,1/2/22,Nebraska,W 87-79 OT
2021-2022,1/6/22,Indiana,L 51-67
2021-2022,1/9/22,Northwestern,W 95-87
2021-2022,1/13/22,Wisconsin,L 68-78
2021-2022,1/16/22,Penn State,W 61-56
2021-2022,1/18/22,IUPUI,W 83-37
2021-2022,1/27/22,Minnesota,W 75-64
2021-2022,1/30/22,Purdue,L 78-81
2021-2022,2/6/22,Maryland,W 82-67
2021-2022,2/9/22,Rutgers,L 64-66
2021-2022,2/12/22,Michigan,W 68-57
2021-2022,2/15/22,Minnesota,W 70-45
2021-2022,2/19/22,Iowa,L 62-75
2021-2022,2/21/22,Indiana,W 80-69 OT
2021-2022,2/24/22,Illinois,W 86-83
2021-2022,2/27/22,Maryland,L 60-75
2021-2022,3/1/22,Nebraska,L 70-78
2021-2022,3/3/22,Michigan State,W 80-69
2021-2022,3/6/22,Michigan,L 69-75
2021-2022,3/10/22,Penn State ,L 68-71
2021-2022,3/18/22,Loyola–Chicago ,W 54-41
2021-2022,3/20/22,Villanova ,L 61-71
2022-2023,11/1/22,Chaminade ,W 101-57
2022-2023,11/7/22,Robert Morris,W 91-53
2022-2023,11/10/22,Charleston Southern,W 82-56
2022-2023,11/16/22,Eastern Illinois,W 65-43
2022-2023,11/21/22,San Diego State,L 77-88
2022-2023,11/22/22,Cincinnati,W 81-53
2022-2023,11/23/22,Texas Tech,W 80-73
2022-2023,11/30/22,Duke,L 72-81
2022-2023,12/3/22,Saint Francis (PA),W 96-59
2022-2023,12/8/22,Rutgers,W 67-66
2022-2023,12/17/22,North Carolina,L 84-89 OT
2022-2023,12/21/22,Maine,W 95-61
2022-2023,12/29/22,Alabama A&M,W 90-59
2022-2023,1/1/23,Northwestern,W 73-57
2022-2023,1/5/23,Purdue,L 69-71
2022-2023,1/8/23,Maryland,L 73-80
2022-2023,1/12/23,Minnesota,L 67-70
2022-2023,1/15/23,Rutgers,L 64-68 OT
2022-2023,1/18/23,Nebraska,L 60-63
2022-2023,1/21/23,Iowa,W 93-77
2022-2023,1/24/23,Illinois,L 60-69
2022-2023,1/28/23,Indiana,L 70-86
2022-2023,2/2/23,Wisconsin,L 60-65
2022-2023,2/5/23,Michigan,L 69-77
2022-2023,2/9/23,Northwestern,L 63-69
2022-2023,2/12/23,Michigan State,L 41-62
2022-2023,2/16/23,Iowa,L 75-92
2022-2023,2/19/23,Purdue,L 55-82
2022-2023,2/23/23,Penn State,L 71-75
2022-2023,2/26/23,Illinois,W 72-60
2022-2023,3/1/23,Maryland,W 73-62
2022-2023,3/4/23,Michigan State,L 78-84
2022-2023,3/8/23,Wisconsin ,W 65-57
2022-2023,3/9/23,Iowa ,W 73-69
2022-2023,3/10/23,Michigan State ,W 68-58
2022-2023,3/11/23,Purdue ,L 66-80
2023-2024,10/22/23,Dayton ,W 78-70
2023-2024,11/6/23,Oakland,W 79-73
2023-2024,11/10/23,Texas A&M,L 66-73
2023-2024,11/15/23,Merrimack,W 76-52
2023-2024,11/19/23,Western Michigan,W 73-56
2023-2024,11/24/23,Alabama,W 92-81
2023-2024,11/25/23,Santa Clara,W 86-56
2023-2024,11/29/23,Central Michigan,W 88-61
2023-2024,12/3/23,Minnesota,W 84-74
2023-2024,12/6/23,Miami (OH),W 84-64
2023-2024,12/9/23,Penn State,L 80-83
2023-2024,12/16/23,UCLA,W 67-60
2023-2024,12/21/23,New Orleans,W 78-36
2023-2024,12/30/23,West Virginia,W 78-75 OT
2023-2024,1/3/24,Rutgers,W 76-72
2023-2024,1/6/24,Indiana,L 65-71
2023-2024,1/10/24,Wisconsin,L 60-71
2023-2024,1/15/24,Michigan,L 65-73
2023-2024,1/20/24,Penn State,W 79-67
2023-2024,1/23/24,Nebraska,L 69-83
2023-2024,1/27/24,Northwestern,L 58-83
2023-2024,1/30/24,Illinois,L 75-87
2023-2024,2/2/24,Iowa,L 77-79
2023-2024,2/6/24,Indiana,L 73-76
2023-2024,2/10/24,Maryland,W 79-75 2OT
2023-2024,2/13/24,Wisconsin,L 54-62
2023-2024,2/18/24,Purdue,W 73-69
2023-2024,2/22/24,Minnesota,L 79-88
2023-2024,2/25/24,Michigan State,W 60-57
2023-2024,2/29/24,Nebraska,W 78-69
2023-2024,3/3/24,Michigan,W 84-61
2023-2024,3/10/24,Rutgers,W 73-51
2023-2024,3/14/24,Iowa ,W 90-78
2023-2024,3/15/24,Illinois ,L 74-77
2023-2024,3/19/24,Cornell,W 88-83
2023-2024,3/23/24,Virginia Tech,W 81-73
2023-2024,3/26/24,Georgia,L 77-79
2024-2025,4/11/24,Texas,W 80–72
2024-2025,4/12/24,Maryland,L 59–83
2024-2025,7/12/24,Rutgers,W 80–66
2024-2025,11/11/24,Youngstown State,W 81–47
2024-2025,2/2/25,Illinois,L 79–87
2024-2025,3/1/25,Michigan State,L 62–69
2024-2025,4/3/25,Nebraska,W 116–114 2OT
2024-2025,6/1/25,Minnesota,W 89–88 2OT
2024-2025,6/2/25,Maryland,W 73–70
2024-2025,8/3/25,Indiana,L 60–66
2024-2025,9/1/25,Oregon,L 71–73
2024-2025,9/2/25,Nebraska,L 71–79
2024-2025,12/2/25,Washington,W 93–69
2024-2025,12/3/25,Iowa,L 70–77
2024-2025,1/14/25,Wisconsin,L 68–70
2024-2025,1/17/25,Indiana,L 76–77 OT
2024-2025,1/21/25,Purdue,W 73–70
2024-2025,1/27/25,Iowa,W 82–65
2024-2025,1/30/25,Penn State,W 83–64
2024-2025,10/18/24,Cincinnati,L 62–80
2024-2025,11/15/24,Texas A&M,L 64–78
2024-2025,11/19/24,Evansville,W 80–30
2024-2025,11/22/24,Campbell,W 104–60
2024-2025,11/25/24,Green Bay,W 102–69
2024-2025,11/29/24,Pittsburgh,L 90–91 OT
2024-2025,12/14/24,Auburn,L 53–91
2024-2025,12/17/24,Valparaiso,W 95–73
2024-2025,12/21/24,Kentucky,W 85–65
2024-2025,12/29/24,Indiana State,W 103–83
2024-2025,2/16/25,Michigan,L 83–86
2024-2025,2/20/25,Northwestern,L 49–70
2024-2025,2/23/25,UCLA,L 61–69
2024-2025,2/26/25,USC,W 87–82
