Country,Date (YYYY-MM-DD),New Cases,New Deaths,Total Vaccinations,Stringency Index
Australia,2022-02-27,160402.0,24.0,53963467.0,35.33
Australia,2022-02-28,0.0,33.0,54065507.0,35.33
Australia,2022-03-01,0.0,19.0,54155508.0,35.32
Australia,2022-03-02,0.0,27.0,54241892.0,35.32
Australia,2022-03-03,0.0,25.0,54327853.0,38.09
Australia,2022-03-04,0.0,8.0,54418534.0,38.08
Australia,2022-03-05,0.0,22.0,54469705.0,38.07
Australia,2022-03-06,195717.0,17.0,54492395.0,38.07
Australia,2022-03-07,0.0,20.0,54570032.0,38.05
Australia,2022-03-08,0.0,19.0,54659334.0,38.03
Australia,2022-03-09,0.0,24.0,54749553.0,38.0
Australia,2022-03-10,0.0,14.0,54842227.0,37.98
Australia,2022-03-11,0.0,13.0,54948620.0,37.94
Australia,2022-03-12,0.0,20.0,55020466.0,37.91
Australia,2022-03-13,241848.0,30.0,55054842.0,37.89
Australia,2022-03-14,0.0,17.0,55128376.0,37.87
Australia,2022-03-15,0.0,21.0,55224388.0,37.83
Australia,2022-03-16,0.0,17.0,55316946.0,37.8
Australia,2022-03-17,0.0,27.0,55408135.0,37.77
Australia,2022-03-18,0.0,20.0,55507339.0,37.73
Australia,2022-03-19,0.0,15.0,55577748.0,37.69
Australia,2022-03-20,327240.0,22.0,55613993.0,37.67
Australia,2022-03-21,0.0,18.0,55700491.0,37.64
Australia,2022-03-22,0.0,19.0,55783094.0,37.61
Australia,2022-03-23,0.0,22.0,55854308.0,37.59
Australia,2022-03-24,0.0,26.0,55932910.0,37.56
Australia,2022-03-25,0.0,20.0,56017618.0,37.53
Australia,2022-03-26,0.0,24.0,56077605.0,37.51
Australia,2022-03-27,385762.0,20.0,56107787.0,37.49
Australia,2022-03-28,0.0,31.0,56179315.0,37.46
Australia,2022-03-29,0.0,28.0,56242913.0,37.45
Australia,2022-03-30,0.0,31.0,56303174.0,37.43
Australia,2022-03-31,0.0,25.0,56362692.0,44.17
Australia,2022-04-01,0.0,30.0,56421957.0,44.16
Australia,2022-04-02,0.0,28.0,56461823.0,44.14
Australia,2022-04-03,395982.0,27.0,56481559.0,44.14
Australia,2022-04-04,0.0,29.0,56532490.0,44.13
Australia,2022-04-05,0.0,33.0,56579444.0,44.12
Australia,2022-04-06,0.0,23.0,56624383.0,44.11
Australia,2022-04-07,0.0,28.0,56668400.0,44.1
Australia,2022-04-08,0.0,36.0,56715194.0,44.09
Australia,2022-04-09,0.0,23.0,56738523.0,44.09
Australia,2022-04-10,359765.0,26.0,56902635.0,44.09
Australia,2022-04-11,0.0,36.0,56956090.0,44.07
Australia,2022-04-12,0.0,43.0,56999362.0,44.07
Australia,2022-04-13,0.0,37.0,57038091.0,44.06
Australia,2022-04-14,0.0,44.0,57077786.0,41.28
Australia,2022-04-15,0.0,27.0,57081480.0,41.28
Australia,2022-04-16,0.0,39.0,57090843.0,41.28
Australia,2022-04-17,306184.0,24.0,57155581.0,41.28
Australia,2022-04-18,0.0,50.0,57162085.0,41.28
Australia,2022-04-19,0.0,39.0,57197856.0,41.27
Australia,2022-04-20,0.0,44.0,57231365.0,41.26
Australia,2022-04-21,0.0,47.0,57264495.0,41.26
Australia,2022-04-22,0.0,39.0,57298477.0,41.25
Australia,2022-04-23,0.0,50.0,57317327.0,41.25
Australia,2022-04-24,289282.0,46.0,57457036.0,41.25
Australia,2022-04-25,0.0,38.0,57460079.0,41.25
Australia,2022-04-26,0.0,34.0,57487919.0,41.24
Australia,2022-04-27,0.0,40.0,57512161.0,41.24
Australia,2022-04-28,0.0,49.0,57536051.0,41.23
Australia,2022-04-29,0.0,44.0,57561209.0,38.45
Australia,2022-04-30,0.0,53.0,57575626.0,38.45
Australia,2022-05-01,272054.0,37.0,57735950.0,38.45
Australia,2022-05-02,0.0,37.0,57753579.0,38.44
Australia,2022-05-03,0.0,39.0,57773120.0,38.44
Australia,2022-05-04,0.0,43.0,57792004.0,38.44
Australia,2022-05-05,0.0,42.0,57811614.0,38.43
Australia,2022-05-06,0.0,56.0,57831047.0,38.43
Australia,2022-05-07,0.0,53.0,57840803.0,38.43
Australia,2022-05-08,304061.0,45.0,58050262.0,38.43
Australia,2022-05-09,0.0,35.0,58067475.0,38.43
Australia,2022-05-10,0.0,46.0,58084460.0,38.42
Australia,2022-05-11,0.0,56.0,58101143.0,38.42
Australia,2022-05-12,0.0,49.0,58118259.0,38.42
Australia,2022-05-13,0.0,50.0,58135809.0,38.42
Australia,2022-05-14,0.0,50.0,58141095.0,38.42
Australia,2022-05-15,350375.0,53.0,58400788.0,38.42
Australia,2022-05-16,0.0,41.0,58416891.0,38.42
Australia,2022-05-17,0.0,37.0,58432049.0,38.41
Australia,2022-05-18,0.0,54.0,58447879.0,35.63
Australia,2022-05-19,0.0,46.0,58463990.0,35.63
Australia,2022-05-20,0.0,41.0,58480010.0,35.63
Australia,2022-05-21,0.0,44.0,58487969.0,23.68
Australia,2022-05-22,311716.0,54.0,58756853.0,23.68
Australia,2022-05-23,0.0,49.0,58812010.0,23.68
Australia,2022-05-24,0.0,57.0,58874211.0,23.68
Australia,2022-05-25,0.0,60.0,58936138.0,23.68
Australia,2022-05-26,0.0,51.0,58999547.0,23.68
Australia,2022-05-27,0.0,39.0,59059590.0,23.68
Australia,2022-05-28,0.0,47.0,59072890.0,23.68
Australia,2022-05-29,240429.0,41.0,59089678.0,23.68
Australia,2022-05-30,0.0,48.0,59142893.0,23.67
Australia,2022-05-31,0.0,44.0,59202011.0,23.67
Australia,2022-06-01,0.0,99.0,59261572.0,23.67
Australia,2022-06-02,0.0,53.0,59321031.0,23.67
Australia,2022-06-03,0.0,43.0,59375533.0,23.67
Australia,2022-06-04,0.0,40.0,59386702.0,23.67
Australia,2022-06-05,199964.0,48.0,59399900.0,23.67
Australia,2022-06-06,0.0,49.0,59444066.0,23.67
Australia,2022-06-07,0.0,49.0,59499838.0,23.67
Australia,2022-06-08,0.0,46.0,59552386.0,23.67
Australia,2022-06-09,0.0,38.0,59607038.0,23.67
Australia,2022-06-10,0.0,56.0,59652982.0,23.67
Australia,2022-06-11,0.0,45.0,,23.67
Australia,2022-06-12,184472.0,48.0,59663231.0,23.67
Australia,2022-06-13,0.0,45.0,59684229.0,23.67
Australia,2022-06-14,0.0,42.0,59739431.0,23.67
Australia,2022-06-15,0.0,42.0,59788611.0,15.33
Australia,2022-06-16,0.0,54.0,59835561.0,15.33
Australia,2022-06-17,0.0,57.0,59882363.0,15.33
Australia,2022-06-18,0.0,45.0,59897091.0,15.33
Australia,2022-06-19,191043.0,59.0,59899939.0,15.33
Australia,2022-06-20,0.0,42.0,59942310.0,15.33
Australia,2022-06-21,0.0,46.0,59987771.0,15.33
Australia,2022-06-22,0.0,49.0,60030381.0,15.33
Australia,2022-06-23,0.0,60.0,60075193.0,15.33
Australia,2022-06-24,0.0,41.0,60113851.0,15.33
Australia,2022-06-25,0.0,44.0,60125909.0,15.33
Australia,2022-06-26,204308.0,42.0,60131190.0,15.33
Australia,2022-06-27,0.0,48.0,60165116.0,15.33
Australia,2022-06-28,0.0,54.0,60203805.0,15.33
Australia,2022-06-29,0.0,42.0,60240472.0,15.33
Australia,2022-06-30,0.0,48.0,60277104.0,15.33
Australia,2022-07-01,0.0,51.0,60307995.0,15.33
Australia,2022-07-02,0.0,0.0,60317275.0,15.33
Australia,2022-07-03,0.0,101.0,60319007.0,15.33
Australia,2022-07-04,243697.0,43.0,60352205.0,15.33
Australia,2022-07-05,0.0,57.0,60390456.0,15.33
Australia,2022-07-06,0.0,65.0,60430700.0,11.11
Australia,2022-07-07,0.0,61.0,60478973.0,11.11
Australia,2022-07-08,0.0,54.0,60538256.0,11.11
Australia,2022-07-09,0.0,58.0,60558799.0,11.11
Australia,2022-07-10,0.0,62.0,60566832.0,11.11
Australia,2022-07-11,271605.0,60.0,60666885.0,11.11
Australia,2022-07-12,0.0,57.0,60785581.0,11.11
Australia,2022-07-13,0.0,56.0,60901407.0,11.11
Australia,2022-07-14,0.0,62.0,61018137.0,11.11
Australia,2022-07-15,0.0,77.0,61135222.0,11.11
Australia,2022-07-16,0.0,67.0,61184744.0,11.11
Australia,2022-07-17,0.0,72.0,61205725.0,11.11
Australia,2022-07-18,303029.0,87.0,61308022.0,11.11
Australia,2022-07-19,0.0,66.0,61418398.0,11.11
Australia,2022-07-20,0.0,101.0,61524870.0,11.11
Australia,2022-07-21,0.0,96.0,61632291.0,11.11
Australia,2022-07-22,0.0,92.0,61737742.0,11.11
Australia,2022-07-23,0.0,73.0,61781182.0,11.11
Australia,2022-07-24,0.0,92.0,61796565.0,11.11
Australia,2022-07-25,319779.0,97.0,61878802.0,11.11
Australia,2022-07-26,0.0,85.0,61973263.0,11.11
Australia,2022-07-27,0.0,95.0,62057787.0,11.11
Australia,2022-07-28,0.0,86.0,62140178.0,11.11
Australia,2022-07-29,0.0,94.0,62214063.0,11.11
Australia,2022-07-30,0.0,75.0,62245285.0,11.11
Australia,2022-07-31,0.0,86.0,62255266.0,11.11
Australia,2022-08-01,259334.0,89.0,62311916.0,11.11
Australia,2022-08-02,0.0,92.0,62371340.0,11.11
Australia,2022-08-03,0.0,103.0,62426327.0,11.11
Australia,2022-08-04,0.0,81.0,62481417.0,11.11
Australia,2022-08-05,0.0,78.0,,11.11
Australia,2022-08-06,0.0,77.0,,11.11
Australia,2022-08-07,0.0,83.0,,11.11
Australia,2022-08-08,200397.0,80.0,62596404.0,11.11
Australia,2022-08-09,0.0,81.0,62637824.0,11.11
Australia,2022-08-10,0.0,77.0,62675448.0,11.11
Australia,2022-08-11,0.0,67.0,62712556.0,11.11
Australia,2022-08-12,0.0,76.0,,11.11
Australia,2022-08-13,0.0,71.0,,11.11
Australia,2022-08-14,0.0,74.0,62766146.0,11.11
Australia,2022-08-15,139178.0,61.0,62794740.0,11.11
Australia,2022-08-16,0.0,73.0,62825336.0,11.11
Australia,2022-08-17,0.0,52.0,62857791.0,11.11
Australia,2022-08-18,0.0,45.0,62885656.0,11.11
Australia,2022-08-19,0.0,60.0,,11.11
Australia,2022-08-20,0.0,49.0,,11.11
Australia,2022-08-21,0.0,35.0,62926030.0,11.11
Australia,2022-08-22,103184.0,51.0,62946742.0,11.11
Australia,2022-08-23,0.0,48.0,62969297.0,11.11
Australia,2022-08-24,0.0,41.0,62990246.0,11.11
Australia,2022-08-25,0.0,49.0,63011373.0,11.11
Australia,2022-08-26,0.0,44.0,,11.11
Australia,2022-08-27,0.0,50.0,,11.11
Australia,2022-08-28,0.0,46.0,,11.11
Australia,2022-08-29,79985.0,39.0,,11.11
Australia,2022-08-30,0.0,40.0,,11.11
Australia,2022-08-31,0.0,28.0,,11.11
Australia,2022-09-01,0.0,31.0,,11.11
Australia,2022-09-02,0.0,40.0,,11.11
Australia,2022-09-03,0.0,29.0,,11.11
Australia,2022-09-04,0.0,33.0,,11.11
Australia,2022-09-05,63392.0,35.0,,11.11
Australia,2022-09-06,0.0,30.0,,11.11
Australia,2022-09-07,0.0,32.0,,11.11
Australia,2022-09-08,0.0,33.0,,11.11
Australia,2022-09-09,0.0,35.0,,11.11
Australia,2022-09-10,0.0,28.0,,11.11
Australia,2022-09-11,0.0,21.0,,11.11
Australia,2022-09-12,51273.0,24.0,,11.11
Australia,2022-09-13,0.0,28.0,,11.11
Australia,2022-09-14,0.0,26.0,,11.11
Australia,2022-09-15,0.0,24.0,,11.11
Australia,2022-09-16,0.0,30.0,,11.11
Australia,2022-09-17,0.0,19.0,,11.11
Australia,2022-09-18,0.0,33.0,,11.11
Australia,2022-09-19,43401.0,0.0,,11.11
Australia,2022-09-20,0.0,0.0,,11.11
Australia,2022-09-21,0.0,0.0,,11.11
Australia,2022-09-22,0.0,0.0,,11.11
Australia,2022-09-23,0.0,0.0,,11.11
Australia,2022-09-24,0.0,0.0,,11.11
Australia,2022-09-25,0.0,147.0,,11.11
Australia,2022-09-26,37578.0,0.0,,11.11
Australia,2022-09-27,0.0,0.0,,11.11
Australia,2022-09-28,0.0,0.0,,11.11
Australia,2022-09-29,0.0,0.0,,11.11
Australia,2022-09-30,0.0,0.0,,11.11
Australia,2022-10-01,0.0,0.0,,11.11
Australia,2022-10-02,0.0,113.0,,11.11
Australia,2022-10-03,38674.0,0.0,,11.11
Australia,2022-10-04,0.0,0.0,,11.11
Australia,2022-10-05,0.0,0.0,,11.11
Australia,2022-10-06,0.0,0.0,,11.11
Australia,2022-10-07,0.0,0.0,,11.11
Australia,2022-10-08,0.0,0.0,,11.11
Australia,2022-10-09,0.0,102.0,,11.11
Australia,2022-10-10,31327.0,0.0,,11.11
Australia,2022-10-11,0.0,0.0,,11.11
Australia,2022-10-12,0.0,0.0,,11.11
Australia,2022-10-13,0.0,0.0,,11.11
Australia,2022-10-14,0.0,0.0,,11.11
Australia,2022-10-15,0.0,0.0,,11.11
Australia,2022-10-16,0.0,74.0,,11.11
Australia,2022-10-17,29620.0,0.0,,11.11
Australia,2022-10-18,0.0,0.0,,11.11
Australia,2022-10-19,0.0,0.0,,11.11
Australia,2022-10-20,0.0,0.0,,11.11
Australia,2022-10-21,0.0,0.0,,11.11
Australia,2022-10-22,0.0,0.0,,11.11
Australia,2022-10-23,0.0,103.0,,11.11
Australia,2022-10-24,30363.0,0.0,,11.11
Australia,2022-10-25,0.0,0.0,,11.11
Australia,2022-10-26,0.0,0.0,,11.11
Australia,2022-10-27,0.0,0.0,,11.11
Australia,2022-10-28,0.0,0.0,,11.11
Australia,2022-10-29,0.0,0.0,,11.11
Australia,2022-10-30,0.0,85.0,,11.11
Australia,2022-10-31,35763.0,0.0,,11.11
Australia,2022-11-01,0.0,0.0,,11.11
Australia,2022-11-02,0.0,0.0,,11.11
Australia,2022-11-03,0.0,0.0,63179861.0,11.11
Australia,2022-11-04,0.0,0.0,,11.11
Australia,2022-11-05,0.0,0.0,,11.11
Australia,2022-11-06,0.0,111.0,,11.11
Australia,2022-11-07,52310.0,0.0,,11.11
Australia,2022-11-08,0.0,0.0,,11.11
Australia,2022-11-09,0.0,0.0,,11.11
Australia,2022-11-10,0.0,0.0,63236277.0,11.11
Australia,2022-11-11,0.0,0.0,,11.11
Australia,2022-11-12,0.0,0.0,,11.11
Australia,2022-11-13,0.0,116.0,,11.11
Australia,2022-11-14,73573.0,0.0,,11.11
Australia,2022-11-15,0.0,0.0,,11.11
Australia,2022-11-16,0.0,0.0,,11.11
Australia,2022-11-17,0.0,0.0,63332108.0,11.11
Australia,2022-11-18,0.0,0.0,,11.11
Australia,2022-11-19,0.0,0.0,,11.11
Australia,2022-11-20,0.0,154.0,,11.11
Australia,2022-11-21,83407.0,0.0,,11.11
Australia,2022-11-22,0.0,0.0,,11.11
Australia,2022-11-23,0.0,0.0,,11.11
Australia,2022-11-24,0.0,0.0,63406631.0,11.11
Australia,2022-11-25,0.0,0.0,,11.11
Australia,2022-11-26,0.0,0.0,,11.11
Australia,2022-11-27,0.0,178.0,,11.11
Australia,2022-11-28,97897.0,0.0,,11.11
Australia,2022-11-29,0.0,0.0,,11.11
Australia,2022-11-30,0.0,0.0,,11.11
Australia,2022-12-01,0.0,0.0,63460368.0,11.11
Australia,2022-12-02,0.0,0.0,,11.11
Australia,2022-12-03,0.0,0.0,,11.11
Australia,2022-12-04,0.0,259.0,,11.11
Australia,2022-12-05,107902.0,0.0,,11.11
Australia,2022-12-06,0.0,0.0,,11.11
Australia,2022-12-07,0.0,0.0,,11.11
Australia,2022-12-08,0.0,0.0,63505559.0,11.11
Australia,2022-12-09,0.0,0.0,,11.11
Australia,2022-12-10,0.0,0.0,,11.11
Australia,2022-12-11,0.0,272.0,,11.11
Australia,2022-12-12,112016.0,0.0,,11.11
Australia,2022-12-13,0.0,0.0,,11.11
Australia,2022-12-14,0.0,0.0,,11.11
Australia,2022-12-15,0.0,0.0,63548762.0,11.11
Australia,2022-12-16,0.0,0.0,,11.11
Australia,2022-12-17,0.0,0.0,,11.11
Australia,2022-12-18,0.0,299.0,,11.11
Australia,2022-12-19,108322.0,0.0,,11.11
Australia,2022-12-20,0.0,0.0,,11.11
Australia,2022-12-21,0.0,0.0,,11.11
Australia,2022-12-22,0.0,0.0,63583562.0,11.11
Australia,2022-12-23,0.0,0.0,,11.11
Australia,2022-12-24,0.0,0.0,,11.11
Australia,2022-12-25,0.0,334.0,,11.11
Australia,2022-12-26,91518.0,0.0,,11.11
Australia,2022-12-27,0.0,0.0,,11.11
Australia,2022-12-28,0.0,0.0,,11.11
Australia,2022-12-29,0.0,0.0,,11.11
Australia,2022-12-30,0.0,0.0,,11.11
Australia,2022-12-31,0.0,1094.0,,11.11
Australia,2023-01-01,0.0,0.0,,
Australia,2023-01-02,64519.0,0.0,,
Australia,2023-01-03,0.0,0.0,,
Australia,2023-01-04,0.0,0.0,,
Australia,2023-01-05,0.0,0.0,63611887.0,
Australia,2023-01-06,22470.0,0.0,,
Australia,2023-01-07,0.0,0.0,,
Australia,2023-01-08,0.0,0.0,,
Australia,2023-01-09,46003.0,0.0,,
Australia,2023-01-10,0.0,0.0,,
Australia,2023-01-11,0.0,0.0,,
Australia,2023-01-12,0.0,0.0,63634307.0,
Australia,2023-01-13,0.0,0.0,,
Australia,2023-01-14,0.0,0.0,,
Australia,2023-01-15,0.0,0.0,,
Australia,2023-01-16,30909.0,0.0,,
Australia,2023-01-17,0.0,0.0,,
Australia,2023-01-18,0.0,0.0,,
Australia,2023-01-19,0.0,0.0,63654606.0,
Australia,2023-01-20,0.0,0.0,,
Australia,2023-01-21,0.0,0.0,,
Australia,2023-01-22,0.0,0.0,,
Australia,2023-01-23,22041.0,0.0,,
Australia,2023-01-24,0.0,0.0,,
Australia,2023-01-25,0.0,0.0,,
Australia,2023-01-26,0.0,0.0,63668170.0,
Australia,2023-01-27,0.0,0.0,,
Australia,2023-01-28,0.0,0.0,,
Australia,2023-01-29,0.0,0.0,,
Australia,2023-01-30,18922.0,0.0,,
Australia,2023-01-31,0.0,0.0,,
Australia,2023-02-01,0.0,1040.0,,
Australia,2023-02-02,0.0,0.0,63681652.0,
Australia,2023-02-03,0.0,0.0,,
Australia,2023-02-04,0.0,0.0,,
Australia,2023-02-05,0.0,121.0,,
Australia,2023-02-06,17067.0,0.0,,
Australia,2023-02-07,0.0,0.0,,
Australia,2023-02-08,0.0,0.0,,
Australia,2023-02-09,0.0,0.0,,
Australia,2023-02-10,0.0,0.0,,
Australia,2023-02-11,0.0,0.0,,
Australia,2023-02-12,0.0,96.0,,
Australia,2023-02-13,17927.0,0.0,,
Australia,2023-02-14,0.0,0.0,,
Australia,2023-02-15,0.0,0.0,,
Australia,2023-02-16,0.0,0.0,,
Australia,2023-02-17,0.0,0.0,,
Australia,2023-02-18,0.0,0.0,,
Australia,2023-02-19,0.0,89.0,,
Australia,2023-02-20,17814.0,0.0,,
Australia,2023-02-21,0.0,0.0,,
Australia,2023-02-22,0.0,0.0,,
Australia,2023-02-23,0.0,0.0,,
Australia,2023-02-24,0.0,0.0,,
Australia,2023-02-25,0.0,0.0,,
Australia,2023-02-26,0.0,90.0,,
Australia,2023-02-27,18262.0,0.0,,
Australia,2023-02-28,0.0,0.0,,
Australia,2023-03-01,0.0,0.0,,
Australia,2023-03-02,0.0,0.0,,
Australia,2023-03-03,0.0,0.0,,
Australia,2023-03-04,0.0,0.0,,
Australia,2023-03-05,0.0,78.0,,
Australia,2023-03-06,19780.0,0.0,,
Australia,2023-03-07,0.0,0.0,,
Australia,2023-03-08,0.0,0.0,,
Australia,2023-03-09,0.0,0.0,,
Australia,2023-03-10,0.0,0.0,,
Australia,2023-03-11,0.0,0.0,,
Australia,2023-03-12,0.0,78.0,,
Australia,2023-03-13,21681.0,0.0,,
Australia,2023-03-14,0.0,0.0,,
Australia,2023-03-15,0.0,0.0,,
Australia,2023-03-16,0.0,0.0,,
Australia,2023-03-17,0.0,0.0,,
Australia,2023-03-18,0.0,0.0,,
Australia,2023-03-19,0.0,88.0,,
Australia,2023-03-20,23014.0,0.0,,
Australia,2023-03-21,0.0,0.0,,
Australia,2023-03-22,0.0,0.0,,
Australia,2023-03-23,0.0,0.0,,
Australia,2023-03-24,0.0,0.0,65492360.0,
Australia,2023-03-25,0.0,0.0,,
Australia,2023-03-26,0.0,93.0,,
Australia,2023-03-27,25521.0,0.0,,
Australia,2023-03-28,0.0,0.0,,
Australia,2023-03-29,0.0,0.0,,
Australia,2023-03-30,0.0,0.0,,
Australia,2023-03-31,0.0,0.0,,
Australia,2023-04-01,0.0,0.0,,
Australia,2023-04-02,0.0,103.0,,
Australia,2023-04-03,27650.0,0.0,,
Australia,2023-04-04,0.0,0.0,,
Australia,2023-04-05,0.0,0.0,,
Australia,2023-04-06,0.0,0.0,,
Australia,2023-04-07,0.0,0.0,,
Australia,2023-04-08,0.0,0.0,,
Australia,2023-04-09,0.0,123.0,,
Australia,2023-04-10,27055.0,0.0,,
Australia,2023-04-11,0.0,0.0,,
Australia,2023-04-12,0.0,0.0,,
Australia,2023-04-13,0.0,0.0,,
Australia,2023-04-14,0.0,0.0,,
Australia,2023-04-15,0.0,0.0,,
Australia,2023-04-16,0.0,131.0,,
Australia,2023-04-17,29966.0,0.0,,
Australia,2023-04-18,0.0,0.0,,
Australia,2023-04-19,0.0,0.0,,
Australia,2023-04-20,0.0,0.0,,
Australia,2023-04-21,0.0,0.0,,
Australia,2023-04-22,0.0,0.0,,
Australia,2023-04-23,0.0,146.0,,
Australia,2023-04-24,29431.0,0.0,,
Australia,2023-04-25,0.0,0.0,,
Australia,2023-04-26,0.0,0.0,,
Australia,2023-04-27,0.0,0.0,,
Australia,2023-04-28,0.0,0.0,,
Australia,2023-04-29,0.0,0.0,,
Australia,2023-04-30,0.0,155.0,,
Australia,2023-05-01,29663.0,0.0,,
Australia,2023-05-02,0.0,0.0,,
Australia,2023-05-03,0.0,0.0,,
Australia,2023-05-04,0.0,0.0,,
Australia,2023-05-05,0.0,0.0,,
Australia,2023-05-06,0.0,0.0,,
Australia,2023-05-07,0.0,173.0,,
Australia,2023-05-08,31859.0,0.0,,
Australia,2023-05-09,0.0,0.0,,
Australia,2023-05-10,0.0,0.0,,
Australia,2023-05-11,0.0,0.0,,
Australia,2023-05-12,0.0,0.0,,
Australia,2023-05-13,0.0,0.0,,
Australia,2023-05-14,0.0,173.0,,
Australia,2023-05-15,37720.0,0.0,,
Australia,2023-05-16,0.0,0.0,,
Australia,2023-05-17,0.0,0.0,,
Australia,2023-05-18,0.0,0.0,,
Australia,2023-05-19,0.0,0.0,,
Australia,2023-05-20,0.0,0.0,,
Australia,2023-05-21,0.0,170.0,,
Australia,2023-05-22,41012.0,0.0,,
Australia,2023-05-23,0.0,0.0,,
Australia,2023-05-24,0.0,0.0,,
Australia,2023-05-25,0.0,0.0,,
Australia,2023-05-26,0.0,0.0,,
Australia,2023-05-27,0.0,0.0,,
Australia,2023-05-28,0.0,213.0,,
Australia,2023-05-29,39051.0,0.0,,
Australia,2023-05-30,0.0,0.0,,
Australia,2023-05-31,0.0,0.0,,
Australia,2023-06-01,0.0,0.0,,
Australia,2023-06-02,0.0,0.0,,
Australia,2023-06-03,0.0,0.0,,
Australia,2023-06-04,0.0,232.0,,
Australia,2023-06-05,33125.0,0.0,,
Australia,2023-06-06,0.0,0.0,,
Australia,2023-06-07,0.0,0.0,,
Australia,2023-06-08,0.0,0.0,,
Australia,2023-06-09,0.0,0.0,,
Australia,2023-06-10,0.0,0.0,,
Australia,2023-06-11,0.0,226.0,,
Australia,2023-06-12,22769.0,0.0,,
Australia,2023-06-13,0.0,0.0,,
Australia,2023-06-14,0.0,0.0,,
Australia,2023-06-15,0.0,0.0,,
Australia,2023-06-16,0.0,0.0,,
Australia,2023-06-17,0.0,0.0,,
Australia,2023-06-18,0.0,183.0,,
Australia,2023-06-19,16822.0,0.0,,
Australia,2023-06-20,0.0,0.0,,
Australia,2023-06-21,0.0,0.0,,
Australia,2023-06-22,0.0,0.0,,
Australia,2023-06-23,0.0,0.0,,
Australia,2023-06-24,0.0,0.0,,
Australia,2023-06-25,0.0,59.0,,
Australia,2023-06-26,13551.0,0.0,,
Australia,2023-06-27,0.0,0.0,,
Australia,2023-06-28,0.0,0.0,,
Australia,2023-06-29,0.0,0.0,,
Australia,2023-06-30,0.0,0.0,,
Australia,2023-07-01,0.0,0.0,,
Australia,2023-07-02,0.0,0.0,,
