Restaurant Name,Address,Google Maps URL,Distance (km),Website Link,Direct Link to Menu,Listed on Glovo / Uber Eats?,Glovo URL,Uber Eats URL,"Price for Salmon California Roll

(EUR)","Price for Salmon Philadelphia Roll

(EUR)",Average Google Map Rating,Review Summary
Go! Sushing Pacifico,"97, Avenida de la Ciudad de Barcelona, Adelfas, Retiro, Madrid, Community of Madrid, 28007, Spain",https://maps.app.goo.gl/jushDuubdJxBxtX67,1.122,https://gosushing.com/,https://www.gosushing.com/assets/files/catalogo-2024pdf.pdf,Yes/No,https://glovoapp.com/es/en/madrid/go-sushing-madrid/,Not Available,€9.95 (8 pieces),€9.25 (8 pieces),4.6/5,"• Fun high quality sushi
• Fresh and varied. Great for families
• Quick service and affordable."
Hoki Sushi,"Calle de Ferrocarril, 22 Arganzuela, 28045 Madrid, Spain",https://maps.app.goo.gl/pgLhyHBFuX6jcyBh8,2.541,Not Available,https://drive.google.com/file/d/1vn8DqE6VHj2rdhP0tObN0pPyuKoS5lsk/view?usp=sharing,No/Yes,Not Available,https://www.ubereats.com/es-en/store/restaurante-hoki-sushi/RjcMzyarRramXau6_PjzYA,€3.95 (4 pieces),Not Available,3.8/5,"• Good quality and cheap price for sushi. 
• Poor service noted and ambiance not so great."
Hotaru Madrid,"7, Calle de Lagasca, Recoletos, Salamanca, Madrid, Community of Madrid, 28001, Spain",https://maps.app.goo.gl/eSe2nzt17bw82PWG7,1.84,http://hotarumadrid.com/,"https://www.google.com/maps/place/Hotaru+Madrid/@40.4214976,-3.6861735,17z/data=!3m1!5s0xd42289866963795:0xe0df672a93e2ab91!4m7!3m6!1s0xd4229ae3870ee55:0x1a4526ee3cceb74e!8m2!3d40.4214935!4d-3.6835986!10e9!16s%2Fg%2F11sbgqj8fw?entry=ttu&g_ep=EgoyMDI1MTAxMi4wIKXMDSoASAFQAw%3D%3D",No/No,Not Available,Not Available,Not Available,Not Available,4.8/5,"• Top-tier sushi with fresh tuna
• Relaxing ambiance. Attentive service
• Worth the price for quality."
Inari,"Calle del General Pardiñas, 43, 28001, Madrid",https://maps.app.goo.gl/kRu8DvgfXLtpzH8C6,2.329,http://www.restauranteinari.com/,https://aseuniv.com/carta-de-comida-inari-madrid.html,No/No,Not Available,Not Available,Not Available,Not Available,4.5/5,"• Proper sushi with good value
• Wagyu bao standout. 
• Friendly service
• Reliable in Salamanca."
Kabuki Madrid,"Calle de Lagasca, 38, 28001, Madrid",https://maps.app.goo.gl/2khqjM659P3V1izb6,2.175,http://www.kabukimadrid.com/,https://www.kabukimadrid.com/index.php/carta,No/Yes,Not Available,https://www.ubereats.com/es/store/kabuki-madrid/_iiFd7rcVcGhI83VbVuUsQ,Not Available,Not Available,4.2/5,"• Elegant fusion
• Fresh nigiri. 
• Higher-end pricing
• Excellent for special occasions."
Kaito,"Calle de Lagasca, 48, Madrid",https://maps.app.goo.gl/Et4mhNbVDH8rgfQm7,2.284,https://kaitohandrollbar.com/,https://kaitohandrollbar.com/carta/,No/Yes,Not Available,https://www.ubereats.com/es-en/store/kaito-sushi/dmpayIk2S92WqqUdDXMpvw,€8 (4 pieces),Not Available,4.6/5,"• Authentic hand rolls
• Fresh and affordable. Tokyo-style bar
• Popular, expect waits."
Kiyota,"Calle Lope de Rueda, 19, 28009, Madrid",https://maps.app.goo.gl/wC4XvLPBnSQBS6eb8,1.563,https://kiyotasushi.com/,https://kiyotasushi.com/menu.php,Yes/Yes,https://glovoapp.com/es/en/madrid/kiyota-sushi-salamanca-madrid,https://www.ubereats.com/es/store/kiyota-sushi-salamanca/7LnBFpwtT1COzJ0yHS7FxQ,€10 (8 pieces),Not Available,4.1/5,"• Solid sushi with variety
• Good for delivery. 
• Friendly but basic service."
Kyoshi Las Cortes,"C. de San Agustín, Madrid",https://maps.app.goo.gl/CNQQ3qqg9F1Y75gJ9,2.49,https://www.gruporicardosanz.com/,https://www.thefork.es/restaurante/kyoshi-by-ricardo-sanz-hotel-double-tree-by-hilton-prado-r468549,Yes/No,https://glovoapp.com/es/en/madrid/kyoshi-by-ricando-sanz,Not Available,Not Available,Not Available,4.5/5,"• Elegant fusion
• Fresh oysters. Michelin-selected
• Attentive service."
Mi Sushi,"C. de Valderribas, 4, Retiro, 28007 Madrid, Spain",https://maps.app.goo.gl/oPirjtY7HJqzQQs19,1.03,http://www.misushi.eu/,Not Available,No/Yes,Not Available,https://www.ubereats.com/store/mi-sushi/3SZuNYsqRZWoeA5Se6rGEQ,€9.75 (8 pieces),€9.75 (8 pieces),4.3/5,"• Decent local sushi
• Fresh salmon rolls. Affordable and calm spot."
Miss Sushi,"Miss Sussi, Calle de Eros, Legazpi, Arganzuela, Madrid, Community of Madrid, 28045, Spain",https://maps.app.goo.gl/cv1Y5neEAyeTo2qE6,2.057,https://misssushi.es/,https://misssushi.es/wp-content/uploads/Miss-Sushi-Madrid-MENDEZ-ALVARO-Bebidas-y-vinos-231224-MA.pdf,Yes/Yes,https://glovoapp.com/es/en/madrid/miss-sushi-2/,https://www.ubereats.com/es/store/miss-sushi-santa-ana/5MrreYLNRSef3S0PN39sXQ,Not Available,Not Available,3.6/5,"• Creative rolls
• Good for groups. Vegetarian options
• Low quality food, expensive too."
Monsieur Sushita,"61, Avenida del Mediterráneo, Estrella, Retiro, Madrid, Community of Madrid, 28007, Spain",https://maps.app.goo.gl/DuFsa9Yyeyq7nyVg7,2.44,https://www.sushita.com/monsieur-sushita-2/,https://www.sushita.com/wp-content/uploads/2018/04/CARTA.pdf,Yes/Yes,https://glovoapp.com/es/en/madrid/sushita-cafe-madrid/,https://www.ubereats.com/es/store/sushita-cafe-velazquez/qIQ8VKd0T1W8fu70P_bZSg,Not Available,Not Available,4.4/5,"• Chic fusion like steak tataki, shrimp tower, and spicy tuna rolls
• Fresh tempura. 
• Stylish decor
• Some service inconsistencies. 
• Also expensive with small portions."
Mytokys Atocha,"C. de Atocha, 92, Centro, 28012 Madrid, Spain",https://maps.app.goo.gl/KABFQaKZ3QmaMjoo6,2.36,https://mytokys.es/,https://mytokys.es/link/menu?location_id=5117405281625571411&generated_by_centralapp,Yes/Yes,https://glovoapp.com/es/en/madrid/mytokys-goya-madrid,https://www.ubereats.com/store/mytokys-atocha-atocha/T-iyNwY-W46a794MCoqnYQ,Not Available,Not Available,4.7/5,"• Wonderful staff. 
• Great food and quality atmosphere."
Nippon 2,"C. de los Madrazo, 18, Centro, 28014 Madrid, España",https://maps.app.goo.gl/aCgw3v9ATEFjJs5i7,2.6,Not Available,https://www.dropbox.com/scl/fi/rgbvuqdp49yqh5nrmy4cp/scan1098.pdf?rlkey=oykjyyaln0p9uzyj14gtjli7e&st=fck4m9v0&dl=0,No/Yes,Not Available,https://www.ubereats.com/es/store/restaurante-nippon/KUqk_VC-QKGxhXoKU7L44g,Not Available,Not Available,4.7/5,"• Classic sushi
• Fresh sashimi. 
• Good value but mixed service."
No.na.me Bar,"Calle de Claudio Coello, 27",https://maps.app.goo.gl/BBE9MW99ZSUr1fX59,2.199,http://www.nonamebar.es/,https://qr.gourmeatsapp.com/wr1fPKdSnPv3gQzBM60k,Yes/Yes,https://glovoapp.com/es/en/madrid/noname-bar-rest,https://www.ubereats.com/es-en/store/noname-bar/tPHjPLj9RlarhCb3Y0SpZA,Not Available,Not Available,4.1/5,"• Asian fusion with fresh vegetables and unique ingredients
• Great cocktails. Cool vibe with great ambiance
• Service can be rushed (poor service)"
Otoro Tapas Omakase,"C. del Dr. Esquerdo, 12, Salamanca, 28028 Madrid, Spain",https://maps.app.goo.gl/qCqVYdkqFNRWMYJN6,1.817,https://otoromadrid.es/,https://www.otoromadrid.es/carta,No/Yes,Not Available,https://www.ubereats.com/es/store/otoro-tapas-omakase/xwhPfmQ-TyajhOxJaFQElw,Not Available,Not Available,4.9/5,"• Innovative omakase
• fresh nigiri. Intimate and worth the experience."
Red Project,"C/ de Villalar, 7, Salamanca, 28001 Madrid, Spain",https://maps.app.goo.gl/AtV1hux3afAHJnZE6,2.212,https://redprojectsushi.com/,https://redprojectsushi.com/menu-english,Yes/Yes,https://glovoapp.com/es/en/madrid/red-proyect-sushi-madrid/,https://www.ubereats.com/es/store/red-project-sushi/Da3sf_mmST6pl9XQ3ZBlgg,Not Available,€14.50 (9 pieces),4.6/5,"• Creative sushi
• Affordable and fresh. Cool atmosphere
• Small portions and expensive though."
Restaurante Kujira,"Calle de la Antracita, 10, 28045, Madrid",https://maps.app.goo.gl/G7rxCwbJKDJRDJds8,2.87,http://restaurantekujira.es/,Not Available,No/No,Not Available,Not Available,Not Available,Not Available,4.8/5,"• Dishes are fresh with authentic flavors. 
• Atmosphere is cozy and elegant."
Restaurante Shintaku Cocina Japonesa,"C. de Bolívar, 11 Arganzuela 28045 Madrid España",https://maps.app.goo.gl/51sN8rmeNo1nF2zB7,2.84,http://www.shintakumadrid.com/,Not Available,No/No,Not Available,Not Available,Not Available,Not Available,4.5/5,"• Vegan-friendly Japanese
• Fresh sushi. Attentive to allergies
• High value though expensive."
Running Sushi In Osaka,"Calle de Hermosilla, 103, 28006, Madrid",https://maps.app.goo.gl/uwtsKD9QoPKNmbiE6,1.855,https://runningsushi.es/,https://www.runningsushi.es/carta-qr/osaka/carta_osaka.pdf,No/No,Not Available,Not Available,Not Available,Not Available,4.5/5,"• Fun conveyor belt
• Varied and affordable. Great for groups
• Lively vibe."
Santoku La Mesa,"68, Calle de Jorge Juan, Goya, Salamanca, Madrid, Community of Madrid, 28009, Spain",https://maps.app.goo.gl/3VcGhbTuwLrFbs6Z6,1.716,https://san-toku.es/,https://san-toku.es/,No/No,Not Available,Not Available,Not Available,Not Available,4.7/5,"• Upscale fusion spot. 
• Great quality for affordable pricing. 
• Excellent food and veggie options."
Sibuya Urban Sushi Bar,"Sibuya, Calle de Ibiza, Ibiza, Retiro, Madrid, Community of Madrid, 28009, Spain",https://maps.app.goo.gl/sFb3AU5vY6GrWFtBA,1.03,https://sibuyaurbansushibar.com/,https://sibuyaurbansushibar.com/carta/,Yes/Yes,https://glovoapp.com/es/en/madrid/-sibuya-madrid-/,https://www.ubereats.com/es/store/sibuya-urban-sushi-bar-madrid-c-orense/DfPHN59tTuip6ygo6TJ8Nw,€10.91 (8 pieces),Not Available,4.7/5,"• Urban creative sushi
• Flambe rolls standout. Trendy
• Excellent service."
Sky Sushi & Ramen,"C. de Recoletos, 11, Salamanca, 28001 Madrid, Spain",https://maps.app.goo.gl/2aUuhxtTXo21Dc2j7,2.27,https://www.skysushi.es/,Not Available,No/Yes,Not Available,https://www.ubereats.com/store/sky-sushi/sFZ-pQ02R3WJ-42SjCIItw,Not Available,Not Available,4.3/5,"• Great sushi/ramen spot. Nice tempura fish. 
• Great cozy ambiance and management is friendly."
Sr. Ito,"C. de Pelayo, 60, Centro, 28004 Madrid, Spain",https://maps.app.goo.gl/syErV5TJsBcGQLUh6,2.922,https://srito.es/reserva-srito/,Not Available,No/No,Not Available,Not Available,Not Available,Not Available,4.5/5,"• Central casual sushi. 
• Food is deleicious, ambiance great. 
• Pricy but overall, great dining experience."
Su Sushi,"C. de Bustamante, 41, Arganzuela, 28045 Madrid, Spain",https://maps.app.goo.gl/NrZWdXQejMnmtCbi6,1.88,https://www.susushi.es/,https://www.susushi.es/pedido-online/,Yes/Yes,https://glovoapp.com/es/en/madrid/su-sushi-madrid/,https://www.ubereats.com/store/su-sushi/NqEBJRMoS4-TLnc_bThqOw,€5.90 (9 pieces),Not Available,4.5/5,"• Fresh rolls
• Allergy-friendly. Great value
• Calm neighborhood gem."
Sumo Fusión,"Gran Vía, 1, 28013, Madrid",https://maps.app.goo.gl/DBk8AhWZUXXpTLos6,2.73,http://sumorestaurante.com/,https://sumorestaurante.com/carta/#buffet,Yes/Yes,https://glovoapp.com/es/en/madrid/sumo-fusion,http://ubereats.com/es-en/store/sumo-gran-via/Yhq1GZiBTWGAxRhki7vBAQ,Not Available,€7.00 (4 pieces),4.0/5,"• Central fusion
• Varied menu. 
• Convenient but mixed quality
• Good for tourists."
Sushi 8,"C. de Sor María de Ágreda, 17, Cdad. Lineal, 28017 Madrid, España",https://maps.app.goo.gl/R89Jm2821m3JzMHv9,2.74,Not Available,Not Available,No/Yes,Not Available,https://www.ubereats.com/store/sushi-8/tgBoSiBgT6SsdM9u8mrNZQ,Not Available,Not Available,4.6/5,"• Authentic sushi
• Fresh and affordable. 
• Friendly staff
• Local favorite."
Sushi de Maksim,"C. de Barrilero, 20, Retiro, 28007 Madrid, Spain",https://maps.app.goo.gl/Cksr54EWQbeFADxC6,1.47,https://sushidemaksim.com/,https://www.thefork.es/restaurante/sushi-de-maksim-r753228/menu,Yes/Yes,https://glovoapp.com/es/en/madrid/sushi-de-maksim-madrid,https://www.ubereats.com/store/sushi-de-maksim/wxNbZJzMV1u1km5iamoCkQ,Not Available,€16.90 (Grande),4.8/5,"• Neighborhood sushi
• Quality and creative rolls. 
• Affordable
• Relaxing terrace."
Sushi Gin,"C. de José Ortega y Gasset, 67, Salamanca, 28006 Madrid, Spain",https://maps.app.goo.gl/zRoDwha2Bu4SGHcy5,2.298,http://sushiginmadrid.com/,https://www.sushiginmadrid.com/_files/ugd/6372d1_1b2136ed2ae042d58d037ded086f38f4.pdf,No/No,Not Available,Not Available,Not Available,€5.50 (4 pieces),4.7/5,"• Buffet variety
• Fresh fish. 
• Great value
• Lively but some over crowding."
Sushi Mix Arganzuela,"C. del Plomo, 17, Arganzuela, 28045 Madrid, Spain",https://maps.app.goo.gl/DTZnr89uNZngZF3E6,2.65,https://www.sushimixoficial.com/,https://www.sushimixoficial.com/men%C3%BA,Yes/Yes,https://glovoapp.com/es/en/madrid/sushi-mix-madrid,https://www.ubereats.com/store/sushi-mix-atocha/a6VSt9mjQW2D3uYL-fdP5g,€8.50 (8 pieces),€8.50 (8 pieces),4.2/5,"• Fresh mixes of sushi
• Great delivery. 
• Affordable
• Mango rolls praised."
Sushiaoi,"Calle de Núñez de Balboa, 37, Salamanca, 28001 Madrid, Spain",https://maps.app.goo.gl/UHr12wBdynids3kQ9,2.14,https://www.sushiaoimadrid.com/,https://www.sushiaoimadrid.com/_files/ugd/508484_cac651ed2e7046d38355fc8f1012cc80.pdf,No/No,Not Available,Not Available,Not Available,€5.50 (4 pieces),4.6/5,"• Very good food, friendly staff and affordable prices. Good services. 
• High-quality sushi."
Sushitokyo,"C. de las Infantas, 6, Centro, 28004 Madrid, Spain",https://maps.app.goo.gl/FrFhkUcffGTPifdV9,2.97,https://www.sushitokyochueca.com/,Not Available,No/No,Not Available,Not Available,Not Available,Not Available,4.3/5,"• Cozy atmosphere with quality food. 
• Portion-sized sushi and expensive."
Tora Restaurante,"Acera Bici Serrano, Castellana, Salamanca, Madrid, Community of Madrid, 28001, Spain",https://maps.app.goo.gl/3puMbR6yFw3C36Rz8,2.825,https://toraexperience.com/,https://toraexperience.com/wp-content/uploads/2023/12/CARTA-TORA-.pdf,No/No,Not Available,Not Available,Not Available,Not Available,4.7/5,"• Fusion Japanese-Mediterranean
• Michelin-recommended. 
• Fresh nigiri."
UDON Chueva,"Calle del Clavel, 6, 28004, Madrid",https://maps.app.goo.gl/2ph5jd5h8fXabARG6,2.852,https://www.udon.com/restaurante/udon-chueca,https://order.udon.com/es/food,Yes/Yes,https://glovoapp.com/es/en/madrid/udon-madrid/,https://www.ubereats.com/store/udon-narvaez/zjSG0FZxW7qJ_7b0pGU4xw,Not Available,Not Available,4.4/5,"• High quality and tasty food. Good service. 
• Small sized portions and expensive."
Umiko Restaurante Japonés Fusión,"Calle Reyes Magos, Niño Jesús, Retiro, Madrid, Community of Madrid, 28009, Spain",https://maps.app.goo.gl/osENjTfYTE6k1LXBA,2.64,https://umiko.es/,https://umiko.es/wp-content/uploads/Comidaumiko.pdf,No/No,Not Available,Not Available,Not Available,Not Available,4.3/5,"• Great food. Neighborhood favourite. 
• Nigri and Red vinegar flavored sushi rice highly recommended. 
• Some dishes are tagged as overpriced."
Yakitoro Reina,"Calle de la Reina, 41, 28004, Madrid",https://maps.app.goo.gl/smqJ7BE2yyArpCud8,2.664,http://www.yakitoro.com/,https://yakitoro.com/carta/,Yes/Yes,https://glovoapp.com/es/en/madrid/yakitoro-madrid,https://www.ubereats.com/es/store/yakitoro-reina/d5RQEPMXQV6ahgJno0UqWw,Not Available,Not Available,4.3/5,"• High quality food with great services. 
• Small portion sizes and expensive. 
• Overall, great ambiance."
Yoka Loka,"C. de Sta. Isabel, 5, Centro, 28012 Madrid, Spain",https://maps.app.goo.gl/novKGJwZvsS8h1bV8,2.548,https://yokaloka.com/mercado?utm_source=google&utm_medium=GMB,https://yokaloka.com/mercado/carta?utm_source=google&utm_medium=GMB,Yes/Yes,https://glovoapp.com/es/en/madrid/yakaloka-madrid,https://www.ubereats.com/store/yokaloka/mBQifA6MUuG7yrPtiFPOEA,Not Available,Not Available,4.5/5,"• Fresh sushi. Great ambiance and affordable food. 
• Varieties of sake and beers offered."
Yoshi Hokkaido,"Avenida de Menéndez Pelayo, 9 Retiro, 28009 Madrid, Spain",https://maps.app.goo.gl/TAsFHmJnPeLDarXV8,1.604,http://yoshi.es/,https://yoshi.es/carta_yoshi_web.pdf,No/No,Not Available,Not Available,Not Available,Not Available,4.4/5,"• Neighborhood favorite. 
• Nice decor and service. 
• Variety of vegan food offered."
Yugo The Bunker,"2, Calle de San Blas, Barrio de las Letras, Cortes, Centro, Madrid, Community of Madrid, 28014, Spain",https://maps.app.goo.gl/eQ4TTvnUfuFg51mm6,2.214,http://www.yugothebunker.com/,https://yugothebunker.com/yugo/carta-japones-alta-cocina/,No/No,Not Available,Not Available,Not Available,Not Available,4.4/5,"• Michelin-starred Japanese
• Innovative tasting menus. Unique bunker ambiance
• Exceptional service."
Zen Bamboo,"Zen Bamboo, Calle del Doctor Esquerdo, Niño Jesús, Retiro, Madrid, Community of Madrid, 28007, Spain",https://maps.app.goo.gl/WbYbc72QeRS2DG89A,0.491,https://zenbamboo.es/,https://zenbamboo.es/carta,Yes/No,https://glovoapp.com/es/en/madrid/zen-bamboo-madrid,Not Available,Not Available,Not Available,3.9/5,"• Good and quality sushi at affordable prices. 
• Cozy ambiance. 
• Mixed views about management and service."
Zuma,"Paseo de la Castellana, 2 Salamanca, 28046 Madrid, Spain",https://maps.app.goo.gl/mZKkjbTAdMBzWbE79,2.565,https://www.zumarestaurant.com/en/madrid,https://www.zumarestaurant.com/en/madrid/menu,No/No,Not Available,Not Available,Not Available,Not Available,4.4/5,"• Great quality Japanese food. 
• Creative dishes and Good service. 
• Good ambiance with mixed reviews about sogginess."
