
Company name,Location,Phone number,Generic business email
Ballumbie Court Care Home,Dundee,0333 999 8699,careline@hc-one.co.uk
Balnacarron Care Home,"St Andrews, Fife",0333 999 8699,careline@hc-one.co.uk
Bankhouse Care Home,"Poulton-le-Fylde, Lancashire",0333 999 8699,careline@hc-one.co.uk
Bankwood Care Home,"Duffield, Belper, Derbyshire",0333 999 8699,careline@hc-one.co.uk
Barleystone Care Home,"Falkirk, Stirlingshire",0333 999 8699,careline@hc-one.co.uk
Beaconsfield Court Care Home,"Barnard Castle, County Durham",0333 999 8699,careline@hc-one.co.uk
Beauvale Care Home,"Nottingham, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
Beeches Care Home,"Nottingham, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
Bellefield Care Home,"Liverpool, Merseyside",0333 999 8699,careline@hc-one.co.uk
Berry Hill Park Care Home,"Mansfield, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
Blakelands Lodge Care Home,"Marston Moretaine, Bedfordshire",0333 999 8699,careline@hc-one.co.uk
Bluebell View Care Home,"Oswestry, Shropshire",0333 999 8699,careline@hc-one.co.uk
Bowbridge Court Care Home,"Newark, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
Bradley Hall Care Home,Leicester,0333 999 8699,careline@hc-one.co.uk
Brandon House Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Branston Court Care Home,"Burton-On-Trent, Staffordshire",0333 999 8699,careline@hc-one.co.uk
Brierton Lodge Care Home,"Hartlepool, Cleveland",0333 999 8699,careline@hc-one.co.uk
Brindley Court Care Home,"Stoke-on-Trent, Staffordshire",0333 999 8699,careline@hc-one.co.uk
Brinnington Hall Care Home,"Stockport, Manchester",0333 999 8699,careline@hc-one.co.uk
Brize Meadow Lodge Care Home,Brize Norton,0333 999 8699,careline@hc-one.co.uk
Broadoak Manor Care Home,"St Helens, Merseyside",0333 999 8699,careline@hc-one.co.uk
Brompton House Care Home,"Broadway, Worcestershire",0333 999 8699,careline@hc-one.co.uk
Brookdale View Care Home,Manchester,0333 999 8699,careline@hc-one.co.uk
Cadley Hill View Care Home,"Swadlincote, Derbyshire",0333 999 8699,careline@hc-one.co.uk
Cairnie Lodge Care Home,"Arbroath, Angus",0333 999 8699,careline@hc-one.co.uk
Callands Care Home,"Warrington, Cheshire",0333 999 8699,careline@hc-one.co.uk
Capwell Grange Care Home,"Luton, Bedfordshire",0333 999 8699,careline@hc-one.co.uk
Carrington Court Care Home,"Wigan, Manchester",0333 999 8699,careline@hc-one.co.uk
Castle View Care Home,"Dumbarton, West Dunbartonshire",0333 999 8699,careline@hc-one.co.uk
Catmoor House Care Home,"Perth, Perthshire",0333 999 8699,careline@hc-one.co.uk
Cedar Court Care Home,"Wigston, Leicestershire",0333 999 8699,careline@hc-one.co.uk
Cedar House Care Home,"Uxbridge, Middlesex",0333 999 8699,careline@hc-one.co.uk
Chandlers Ford Care Home,"Eastleigh, Hampshire",0333 999 8699,careline@hc-one.co.uk
Chapel Level Care Home,"Kirkcaldy, Fife",0333 999 8699,careline@hc-one.co.uk
Charters Court Care Home,"East Grinstead, West Sussex",0333 999 8699,careline@hc-one.co.uk
Chaseview Care Home,"Burntwood, Staffordshire",0333 999 8699,careline@hc-one.co.uk
Chorlton Place Care Home,"Chorlton, Manchester",0333 999 8699,careline@hc-one.co.uk
Church View Care Home,Caerphilly,0333 999 8699,careline@hc-one.co.uk
Claremont Care Home,"Ayr, Ayrshire",0333 999 8699,careline@hc-one.co.uk
Clarendon Hall Care Home,"Grimsby, North East Lincolnshire",0333 999 8699,careline@hc-one.co.uk
Cold Springs Park Care Home,"Penrith, Cumbria",0333 999 8699,careline@hc-one.co.uk
Colton Lodges Care Home,"Leeds, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Coopers Croft Care Home,Stoke-on-Trent,0333 999 8699,careline@hc-one.co.uk
Coppice Court Care Home,"Eastbourne, East Sussex",0333 999 8699,careline@hc-one.co.uk
Coppice Lodge Care Home,Nottingham,0333 999 8699,careline@hc-one.co.uk
County Homes Care Home,"Wirral, Merseyside",0333 999 8699,careline@hc-one.co.uk
Cradlehall Care Home,Inverness,0333 999 8699,careline@hc-one.co.uk
Crofton Springs Care Home,Cheltenham,0333 999 8699,careline@hc-one.co.uk
Cwrt-Clwydi-Gwyn Care Home,Neath,0333 999 8699,careline@hc-one.co.uk
Daisy Nook House Care Home,"Ashton-under-Lyne, Tameside",0333 999 8699,careline@hc-one.co.uk
Dale Park Care Home,"Southport, Merseyside",0333 999 8699,careline@hc-one.co.uk
Daneside Court Care Home,"Northwich, Cheshire",0333 999 8699,careline@hc-one.co.uk
Daneside Mews Care Home,"Northwich, Cheshire",0333 999 8699,careline@hc-one.co.uk
Darnley Court Care Home,Glasgow,0333 999 8699,careline@hc-one.co.uk
De Brook Lodge Care Home,"Flixton, Manchester",0333 999 8699,careline@hc-one.co.uk
Defoe Court Care Home,"Newton Aycliffe, County Durham",0333 999 8699,careline@hc-one.co.uk
Dingle Meadow Care Home,"Oldbury, West Midlands",0333 999 8699,careline@hc-one.co.uk
Douglas View Care Home,"Hamilton, Lanarkshire",0333 999 8699,careline@hc-one.co.uk
Dove Court Care Home,"Burnley, Lancashire",0333 999 8699,careline@hc-one.co.uk
Dovedale Court Care Home,"Wednesbury, West Midlands",0333 999 8699,careline@hc-one.co.uk
Drummohr Care Home,"Musselburgh, East Lothian",0333 999 8699,careline@hc-one.co.uk
Eastbank Care Home,"Shettleston, Glasgow",0333 999 8699,careline@hc-one.co.uk
Eastbourne House Care Home,"Whitley Bay, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Ebor Court Care Home,York,0333 999 8699,careline@hc-one.co.uk
Eden House Care Home,County Durham,0333 999 8699,careline@hc-one.co.uk
Elmwood House Care Home,"Boston, Lincolnshire",0333 999 8699,careline@hc-one.co.uk
Elstree Court Care Home,"Eastbourne, East Sussex",0333 999 8699,careline@hc-one.co.uk
Elworth Grange Care Home,Sandbach,0333 999 8699,careline@hc-one.co.uk
Fairview Care Home,Stirling,0333 999 8699,careline@hc-one.co.uk
Fairway View Care home,Nottingham,0333 999 8699,careline@hc-one.co.uk
Falstone Court Care Home,"Sunderland, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Falstone Manor Care Home,"Sunderland, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Fazakerley House Care Home,"Prescot, Merseyside",0333 999 8699,careline@hc-one.co.uk
Ferndale Court Care Home,"Widnes, Cheshire",0333 999 8699,careline@hc-one.co.uk
Ferndale Mews Care Home,"Widnes, Cheshire",0333 999 8699,careline@hc-one.co.uk
Fieldway Care Home,"Mitcham, Surrey",0333 999 8699,careline@hc-one.co.uk
Finavon Court Care Home,"Forfar, Angus",0333 999 8699,careline@hc-one.co.uk
Fir Trees Care Home,"Dukinfield, Tameside",0333 999 8699,careline@hc-one.co.uk
Fleming Court Care Home,"Newcastle, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Foley Grange Care Home,Kidderminster,0333 999 8699,careline@hc-one.co.uk
Forthbank Care Home,Stirling,0333 999 8699,careline@hc-one.co.uk
Fosse Way View Care Home,"Bingham, Nottingham",0333 999 8699,careline@hc-one.co.uk
Foxton Court Care Home,"Morpeth, Northumberland",0333 999 8699,careline@hc-one.co.uk
Fullarton Care Home,"Irvine, Ayrshire",0333 999 8699,careline@hc-one.co.uk
Gittisham Hill House Care Home,"Honiton, Devon",0333 999 8699,careline@hc-one.co.uk
Glanffrwd Care Home,Bridgend,0333 999 8699,careline@hc-one.co.uk
Godden Lodge Care Home,"Thundersley, Benfleet",0333 999 8699,careline@hc-one.co.uk
Grampian Court Care Home,"Peterlee, County Durham",0333 999 8699,careline@hc-one.co.uk
Greatwood House Care Home,"Denton, Tameside",0333 999 8699,careline@hc-one.co.uk
Greenacres Care Home,"Meltham, Holmfirth",0333 999 8699,careline@hc-one.co.uk
Greenfield Park Care Home,Glasgow,0333 999 8699,careline@hc-one.co.uk
Greenways Court Care Home,County Durham,0333 999 8699,careline@hc-one.co.uk
Grosvenor Park Care Home,"Bexhill-on-Sea, Sussex",0333 999 8699,careline@hc-one.co.uk
Guide Lane Care Home,Manchester,0333 999 8699,careline@hc-one.co.uk
Hambleton Grange Care Home,"Thirsk, North Yorkshire",0333 999 8699,careline@hc-one.co.uk
Hamewith Lodge Care Home,"Aberdeen, Aberdeenshire",0333 999 8699,careline@hc-one.co.uk
Handley House Care Home,York,0333 999 8699,careline@hc-one.co.uk
Harley Grange Care Home,"Leicester, Leicestersire",0333 999 8699,careline@hc-one.co.uk
Hartford Court Care Home,"Cramlington, Northumberland",0333 999 8699,careline@hc-one.co.uk
Hatton Lea Care Home,"Bellshill, Lanarkshire",0333 999 8699,careline@hc-one.co.uk
Haven Care Home,"Peacehaven, East Sussex",0333 999 8699,careline@hc-one.co.uk
Hawthorn Court Care Home,"Hebburn, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Haywood Lodge Care Home,"Mappleborough Green, Studley",0333 999 8699,careline@hc-one.co.uk
Hepworth House Care Home,Wakefield,0333 999 8699,careline@hc-one.co.uk
Herald Lodge Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Highclere Care Home,"Milton Keynes, Buckinghamshire",0333 999 8699,careline@hc-one.co.uk
Highfield Care Home,"Yarm, Stockton-on-Tees",0333 999 8699,careline@hc-one.co.uk
Highgate Care Home,"Uddingston, Glasgow",0333 999 8699,careline@hc-one.co.uk
Hillside View Care Home,"Paisley, Renfrewshire",0333 999 8699,careline@hc-one.co.uk
Himley Mill Care Home,"Dudley, West Midlands",0333 999 8699,careline@hc-one.co.uk
Hinckley Park Care Home,"Hinckley, Leicestershire",0333 999 8699,careline@hc-one.co.uk
Hodge Hill Grange Care Home,"Birmingham, West Midlands",0333 999 8699,careline@hc-one.co.uk
Hollymere House Care Home,"Crewe, Cheshire",0333 999 8699,careline@hc-one.co.uk
Holme Lea Care Home,"Stalybridge, Tameside",0333 999 8699,careline@hc-one.co.uk
Holmwood Care Home,"Sheffield, South Yorkshire",0333 999 8699,careline@hc-one.co.uk
Hurst Hall,"Ashton-under-Lyne, Tameside",0333 999 8699,careline@hc-one.co.uk
Jack Dormand Care Home,"Peterlee, County Durham",0333 999 8699,careline@hc-one.co.uk
Kesteven Grange Care Home,"Hull, East Yorkshire",0333 999 8699,careline@hc-one.co.uk
Kings Court Care Home,Newark,0333 999 8699,careline@hc-one.co.uk
Kings Park Care Home,"Ashton-under-Lyne, Tameside",0333 999 8699,careline@hc-one.co.uk
Kinnaird Manor Care Home,"Falkirk, Stirlingshire",0333 999 8699,careline@hc-one.co.uk
Kirkby House Care Home,"Knowsley, Merseyside",0333 999 8699,careline@hc-one.co.uk
Kirknowe Care Home,"Wishaw, Lanarkshire",0333 999 8699,careline@hc-one.co.uk
Kirkwood Court Care Home,"Newcastle, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Kyle Court Care Home,"Paisley, Renfrewshire",0333 999 8699,careline@hc-one.co.uk
Larchwood Care Home,"Braintree, Essex",0333 999 8699,careline@hc-one.co.uk
Larkhill Hall Care Home,"West Derby, Liverpool",0333 999 8699,careline@hc-one.co.uk
Launton Grange Care Home,Bicester,0333 999 8699,careline@hc-one.co.uk
Lauren Court Care Home,"Chester, Cheshire",0333 999 8699,careline@hc-one.co.uk
Leighton Court Care Home,"Wallasey, Merseyside",0333 999 8699,careline@hc-one.co.uk
Lime Trees Care Home,Shrewsbury,0333 999 8699,careline@hc-one.co.uk
Linlithgow Care Home,"Linlithgow, West Lothian",0333 999 8699,careline@hc-one.co.uk
Littleton Lodge Care Home,Cannock,0333 999 8699,careline@hc-one.co.uk
Llys Newydd Care Home,"Ammanford, Carmarthenshire",0333 999 8699,careline@hc-one.co.uk
Lomond Court Care Home,"Glenrothes, Fife",0333 999 8699,careline@hc-one.co.uk
Lothian House Care Home,"Spennymoor, County Durham",0333 999 8699,careline@hc-one.co.uk
Lunan Court Care Home,"Arbroath, Angus",0333 999 8699,careline@hc-one.co.uk
Lydgate Lodge Care Home,"Batley, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Lyndon Hall Care Home,"Birmingham, West Bromwich",0333 999 8699,careline@hc-one.co.uk
Magna Care Home,"Wigston, Leicestershire",0333 999 8699,careline@hc-one.co.uk
Market Lavington Care Home,"Nr Devizes, Wiltshire",0333 999 8699,careline@hc-one.co.uk
Mavisbank Care Home,"East Dunbartonshire, Glasgow",0333 999 8699,careline@hc-one.co.uk
Meadow Bank Care Home,"Preston, Lancashire",0333 999 8699,careline@hc-one.co.uk
Meadow Bank House Care Home,"Bolton, Manchester",0333 999 8699,careline@hc-one.co.uk
Meadowlands Care Home,"Aberdare, Rhondda Cyon Taf",0333 999 8699,careline@hc-one.co.uk
Melbury Court Care Home,County Durham,0333 999 8699,careline@hc-one.co.uk
Merino Court Care Home,"Greenock, Inverclyde",0333 999 8699,careline@hc-one.co.uk
Mersey Parks Care Home,"Liverpool, Merseyside",0333 999 8699,careline@hc-one.co.uk
Millbrook Care Home,"Stalybridge, Tameside",0333 999 8699,careline@hc-one.co.uk
Millcroft Care Home,"Redditch, Worcestershire",0333 999 8699,careline@hc-one.co.uk
Milliner House Care Home,"Luton, Bedfordshire",0333 999 8699,careline@hc-one.co.uk
Moss View Care Home,"Liverpool, Merseyside",0333 999 8699,careline@hc-one.co.uk
Mossdale Residence Care Home,York,0333 999 8699,careline@hc-one.co.uk
Mountview Care Home,Leicester,0333 999 8699,careline@hc-one.co.uk
Mugdock House Care Home,"Glasgow, Lanarkshire",0333 999 8699,careline@hc-one.co.uk
Murrayfield House Care Home,Edinburgh,0333 999 8699,careline@hc-one.co.uk
Needham Court Care Home,"Jarrow, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Newfield Lodge Care Home,"Castleford, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Newlands Care Home,"Stockport, Cheshire",0333 999 8699,careline@hc-one.co.uk
Northview Lodge Care Home,"Castletown, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Oakhill House Care Home,"Horsham, Sussex",0333 999 8699,careline@hc-one.co.uk
Oakland Care Home,"Rochdale, Greater Manchester",0333 999 8699,careline@hc-one.co.uk
Oaklands Care Home,"Laindon, Essex",0333 999 8699,careline@hc-one.co.uk
Orchard Mews Care Home,"Newcastle, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Overdene House Care Home,"Winsford, Cheshire",0333 999 8699,careline@hc-one.co.uk
Park House Care Home,Redcar and Cleveland,0333 999 8699,careline@hc-one.co.uk
Parklands Care Home,Caerphilly,0333 999 8699,careline@hc-one.co.uk
Pendleton Court Care Home,"Salford, Manchester",0333 999 8699,careline@hc-one.co.uk
Peniel Green Care Home,Swansea,0333 999 8699,careline@hc-one.co.uk
Perry Locks Care Home,"Birmingham, West Midlands",0333 999 8699,careline@hc-one.co.uk
Plas Cwm Carw Care Home,Port Talbot,0333 999 8699,careline@hc-one.co.uk
Primrose House Care Home,"Crewe, Cheshire",0333 999 8699,careline@hc-one.co.uk
Priorslee House Care Home,"Telford, Shropshire",0333 999 8699,careline@hc-one.co.uk
Priory Gardens Care Home,"Pontefract, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Pytchley Court Care Home,"Northampton, Northamptonshire",0333 999 8699,careline@hc-one.co.uk
Quarry Hall Care Home,Cardiff,0333 999 8699,careline@hc-one.co.uk
Quayside Care Home,"Yoker, Glasgow",0333 999 8699,careline@hc-one.co.uk
Redesdale Court Care Home,"North Shields, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Redmill Care Home,"East Whitburn, West Lothian",0333 999 8699,careline@hc-one.co.uk
Richmond House Care Home,"Leigh, Greater Manchester",0333 999 8699,careline@hc-one.co.uk
Ridgeway Lodge Care Home,"Dunstable, Bedfordshire",0333 999 8699,careline@hc-one.co.uk
Rievaulx House Care Home,"Leeds, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Ringway Mews Care Home,"Wythenshawe, Manchester",0333 999 8699,careline@hc-one.co.uk
Rivendell View Care Home,Nottingham,0333 999 8699,careline@hc-one.co.uk
River Court Care Home,"Watford, Hertfordshire",0333 999 8699,careline@hc-one.co.uk
Riverside View Care Home,Dundee,0333 999 8699,careline@hc-one.co.uk
Roby House Care Home,"Liverpool, Merseyside",0333 999 8699,careline@hc-one.co.uk
Roby Lodge Care Home,"Liverpool, Merseyside",0333 999 8699,careline@hc-one.co.uk
Rose Court Care Home,Manchester,0333 999 8699,careline@hc-one.co.uk
Roseberry Court Care Home,Redcar and Cleveland,0333 999 8699,careline@hc-one.co.uk
Rosebridge Court Care Home,"Wigan, Manchester",0333 999 8699,careline@hc-one.co.uk
Roxburgh House Care Home,"Cradley Heath, West Midlands",0333 999 8699,careline@hc-one.co.uk
Sandon House Care Home,"Mossley, Tameside",0333 999 8699,careline@hc-one.co.uk
Sedgley Court Care Home,Dudley,0333 999 8699,careline@hc-one.co.uk
Shelton Lock Care Home,"Derby, Derbyshire",0333 999 8699,careline@hc-one.co.uk
Sheraton Court Care Home,"Hartlepool, County Durham",0333 999 8699,careline@hc-one.co.uk
Silverwood Care Home,"Nottingham, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
Snapethorpe Hall Care Home,"Wakefield, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
Springfield Bank Care Home,"Bonnyrigg, Midlothian",0333 999 8699,careline@hc-one.co.uk
Springfield House Care Home,"Gateshead, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Springwater Lodge Care Home,"Nottingham, Nottinghamshire",0333 999 8699,careline@hc-one.co.uk
St Christopher's Care Home,"Hatfield, Hertfordshire",0333 999 8699,careline@hc-one.co.uk
St Clare's Court Care Home,"Newton Aycliffe, County Durham",0333 999 8699,careline@hc-one.co.uk
St James' Park Care Home,"Bridport, Dorset",0333 999 8699,careline@hc-one.co.uk
St Margaret's Care Home,County Durham,0333 999 8699,careline@hc-one.co.uk
St Martin's Court Care Home,Swansea,0333 999 8699,careline@hc-one.co.uk
St Peter's Court Care Home,Redcar and Cleveland,0333 999 8699,careline@hc-one.co.uk
Stamford Court Care Home,"Stalybridge, Tameside",0333 999 8699,careline@hc-one.co.uk
Stoneleigh Care Home,"Stanley, County Durham",0333 999 8699,careline@hc-one.co.uk
Strathtay House Care Home,"Perth, Perthshire",0333 999 8699,careline@hc-one.co.uk
Summerhill Care Home,"Kendal, Cumbria",0333 999 8699,careline@hc-one.co.uk
Summerville Care Home,"Warrington, Cheshire",0333 999 8699,careline@hc-one.co.uk
Sunnyside Care Home,"Droylsden, Tameside",0333 999 8699,careline@hc-one.co.uk
Sutherland Court Care Home,"Newcastle, Tyne and Wear",0333 999 8699,careline@hc-one.co.uk
Swallownest Care Home,"Sheffield, South Yorkshire",0333 999 8699,careline@hc-one.co.uk
The Applewood Care Home,"Milton Keynes, Buckinghamshire",0333 999 8699,careline@hc-one.co.uk
The Beeches Care Home,"Dukinfield, Tameside",0333 999 8699,careline@hc-one.co.uk
The Birches Care Home,"Crieff, Perthshire",0333 999 8699,careline@hc-one.co.uk
The Cambridge Care Home,"Cambridge, Cambridgeshire",0333 999 8699,careline@hc-one.co.uk
The Daffodils Care Home,Merthyr Tydfil,0333 999 8699,careline@hc-one.co.uk
The Denby Care Home,"Huddersfield, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
The Gardens Care Home,"Boston, Lincolnshire",0333 999 8699,careline@hc-one.co.uk
The Harefield Care Home,"Uxbridge, Middlesex",0333 999 8699,careline@hc-one.co.uk
The Hornchurch Care Home,"Hornchurch, Essex",0333 999 8699,careline@hc-one.co.uk
The Hyde Care Home,"Bridport, Dorset",0333 999 8699,careline@hc-one.co.uk
The Oakes Care Home,"Huddersfield, West Yorkshire",0333 999 8699,careline@hc-one.co.uk
The Orchard Care Home,"Alloa, Clackmannanshire",0333 999 8699,careline@hc-one.co.uk
The Orchards Care Home,"Birmingham, West Midlands",0333 999 8699,careline@hc-one.co.uk
The Polegate Care Home,"Polegate, East Sussex",0333 999 8699,careline@hc-one.co.uk
The Rowans Care Home,"Coalville, Leicestershire",0333 999 8699,careline@hc-one.co.uk
The Sycamores Care Home,"Hyde, Tameside",0333 999 8699,careline@hc-one.co.uk
The Village Care Home,Glasgow,0333 999 8699,careline@hc-one.co.uk
The Willows Care Home,"Hinckley, Leicestershire",0333 999 8699,careline@hc-one.co.uk
Thorn Springs Care Home,"Dunstable, Bedfordshire",0333 999 8699,careline@hc-one.co.uk
Trafalgar Park Care Home,"Nelson, Caerphilly",0333 999 8699,careline@hc-one.co.uk
Tranent Care Home,"Tranent, East Lothian",0333 999 8699,careline@hc-one.co.uk
Victoria Gardens Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Victoria House Care Home,Stockton-On-Tees,0333 999 8699,careline@hc-one.co.uk
Victoria Manor Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Victoria Mews Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Victoria Park Care Home,"Coventry, West Midlands",0333 999 8699,careline@hc-one.co.uk
Waterside Care Home,"Tipton, West Midlands",0333 999 8699,careline@hc-one.co.uk
Westleigh Lodge Care Home,"Leigh, Lancashire",0333 999 8699,careline@hc-one.co.uk
Westwood Lodge Care Home,"Wigan, Greater Manchester",0333 999 8699,careline@hc-one.co.uk
White Gables Care Home,"Lincoln, Lincolnshire",0333 999 8699,careline@hc-one.co.uk
Willow Court Care Home,"Lincoln, Lincolnshire",0333 999 8699,careline@hc-one.co.uk
Windsor Court Care Home,"Goole, East Yorkshire",0333 999 8699,careline@hc-one.co.uk
Winters Park Care Home,"Penrith, Cumbria",0333 999 8699,careline@hc-one.co.uk
Woodland View Care Home,Droitwich,0333 999 8699,careline@hc-one.co.uk
Woodlands View,"Stevenage, Hertfordshire",0333 999 8699,careline@hc-one.co.uk
Woodside Court,"Glenrothes, Fife",0333 999 8699,careline@hc-one.co.uk
Woodthorpe Lodge Care Home,Loughborough,0333 999 8699,careline@hc-one.co.uk
Worsley Lodge,Manchester,0333 999 8699,careline@hc-one.co.uk
Wyndford Locks,"Maryhill, Glasgow",0333 999 8699,careline@hc-one.co.uk
Yew Trees Care Home,"Dukinfield, Tameside",0333 999 8699,careline@hc-one.co.uk
Alexander House (Holmes Care Group),"Crossgates, Fife",01383 518 080,alexander.manager@holmes-care.co.uk
Almond Court (Holmes Care Group),"Drumchapel, Glasgow",0141 944 6889,manager@almondcourt-carehome.co.uk
Almond View (Holmes Care Group),"Drumchapel, Glasgow",0141 944 8893,manager@almondview-carehome.co.uk
Bankview (Holmes Care Group),"Banknock, Stirlingshire",01324 841090,manager@bankview-carehome.co.uk
Bankview Health and Wellbeing Centre (Holmes Care Group),"Banknock, Stirlingshire",01324 841831,manager@bankview-daycare.co.uk
Barrogil House (Holmes Care Group),"Cluny, Fife",01592 720 386,barrogil.manager@holmes-care.co.uk
Baytree Court (Holmes Care Group),"Scunthorpe, Lincolnshire",01724 855410,manager@baytreecourt-carehome.co.uk
Beechwood (Holmes Care Group),"Wishaw, Lanarkshire",01698 374698,manager@beechwood-carehome.co.uk
Camilla House (Holmes Care Group),"Auchtertool, Fife",01592 780 590,camilla.manager@holmes-care.co.uk
