OrderID,Date,CustomerID,CustomerType,CustomerAgeGroup,Region,ProductCategory,ProductID,ProductName,UnitsSold,UnitPrice,TotalRevenue,IsPromotionApplied,PaymentMethod
10066,2025-01-16,C002,New,45-54,East,Clothing,P0012,Sportswear Set,3,193.02,579.06,FALSE,Credit Card
10067,2025-01-09,C005,New,35-44,West,Electronics,P0001,Wireless Charger,1,47.94,47.94,FALSE,Credit Card
10068,2025-01-15,C014,Returning,35-44,South,Home & Kitchen,P0007,Air Fryer,5,192.29,961.45,FALSE,PayPal
10069,2025-01-03,C036,New,25-34,North,Electronics,P0002,Smartwatch X,4,133.74,534.96,TRUE,PayPal
10070,2025-01-07,C021,New,45-54,North,Clothing,P0004,Running Shoes,3,167.01,501.03,FALSE,PayPal
10071,2025-01-08,C040,New,55+,South,Clothing,P0015,Winter Jacket,3,104.46,313.38,FALSE,Credit Card
10072,2025-01-04,C010,New,25-34,North,Electronics,P0002,Smartwatch X,4,151.05,604.2,FALSE,PayPal
10073,2025-01-30,C013,Returning,25-34,West,Clothing,P0004,Running Shoes,1,207.81,207.81,FALSE,PayPal
10074,2025-01-29,C015,New,45-54,South,Electronics,P0014,Headphones Pro,1,108.98,108.98,TRUE,PayPal
10075,2025-01-02,C003,New,25-34,East,Electronics,P0014,Headphones Pro,1,44.67,44.67,FALSE,Credit Card
10076,2025-01-05,C010,New,25-34,North,Clothing,P0004,Running Shoes,4,182.45,729.8,FALSE,Bank Transfer
10077,2025-01-19,C008,Returning,55+,South,Electronics,P0006,Bluetooth Speaker,4,142.27,569.08,FALSE,PayPal
10078,2025-01-04,C016,New,55+,West,Clothing,P0011,Denim Jeans,5,38.48,192.4,FALSE,PayPal
10079,2025-01-16,C019,New,45-54,North,Home & Kitchen,P0013,Coffee Maker,1,267.4,267.4,FALSE,Credit Card
10080,2025-01-24,C021,New,45-54,North,Home & Kitchen,P0007,Air Fryer,5,104.58,522.9,FALSE,Credit Card
10081,2025-01-26,C039,New,25-34,North,Home & Kitchen,P0013,Coffee Maker,5,41.85,209.25,TRUE,PayPal
10082,2025-01-25,C010,New,25-34,North,Electronics,P0006,Bluetooth Speaker,4,113.7,454.8,TRUE,Bank Transfer
10083,2025-01-15,C014,Returning,35-44,South,Home & Kitchen,P0007,Air Fryer,2,160.02,320.04,FALSE,Bank Transfer
10084,2025-01-01,C023,Returning,45-54,North,Home & Kitchen,P0008,Blender Plus,2,186.62,373.24,FALSE,PayPal
10085,2025-01-18,C024,Returning,55+,East,Clothing,P0003,T-shirt Pack,5,125.2,626,FALSE,PayPal
10086,2025-01-04,C014,Returning,35-44,South,Home & Kitchen,P0013,Coffee Maker,5,295.91,1479.55,FALSE,PayPal
10087,2025-01-27,C019,New,45-54,North,Home & Kitchen,P0008,Blender Plus,1,38.33,38.33,TRUE,Credit Card
10088,2025-01-31,C030,Returning,45-54,East,Home & Kitchen,P0007,Air Fryer,2,166.29,332.58,FALSE,Bank Transfer
10089,2025-01-15,C011,New,18-24,East,Clothing,P0011,Denim Jeans,3,197.75,593.25,FALSE,Bank Transfer
10090,2025-01-20,C016,New,55+,West,Electronics,P0010,Tablet Mini,3,187.19,561.57,TRUE,Credit Card
10091,2025-01-18,C031,Returning,25-34,East,Clothing,P0015,Winter Jacket,3,30.54,91.62,TRUE,Credit Card
10092,2025-01-11,C023,Returning,45-54,North,Clothing,P0012,Sportswear Set,4,276.93,1107.72,FALSE,Credit Card
10093,2025-01-10,C030,Returning,45-54,East,Clothing,P0012,Sportswear Set,5,252.21,1261.05,FALSE,Credit Card
10094,2025-01-03,C016,New,55+,West,Electronics,P0001,Wireless Charger,4,140.06,560.24,FALSE,PayPal
10095,2025-01-12,C031,Returning,25-34,East,Electronics,P0001,Wireless Charger,1,113.1,113.1,FALSE,Bank Transfer
10096,2025-01-20,C011,New,18-24,East,Home & Kitchen,P0008,Blender Plus,5,176.17,880.85,FALSE,Credit Card
10097,2025-01-21,C031,Returning,25-34,East,Electronics,P0002,Smartwatch X,4,61.65,246.6,FALSE,PayPal
10098,2025-01-17,C004,Returning,25-34,North,Clothing,P0011,Denim Jeans,2,268.29,536.58,FALSE,PayPal
10099,2025-01-25,C001,New,35-44,South,Home & Kitchen,P0009,Microwave Oven,5,208.65,1043.25,FALSE,Credit Card
10100,2025-01-02,C011,New,18-24,East,Clothing,P0011,Denim Jeans,2,264.53,529.06,FALSE,Bank Transfer
