store,plz,served,error
REWE,03222,True,
Flink,03222,True,
Knuspr,03222,True,
Picnic,03222,True,
REWE,03226,True,
Flink,03226,True,
Knuspr,03226,True,
Picnic,03226,True,
REWE,03229,False,
Flink,03229,False,
Knuspr,03229,False,
Picnic,03229,False,
REWE,03238,True,
Flink,03238,True,
Knuspr,03238,True,
Picnic,03238,True,
REWE,03246,True,
Flink,03246,True,
Knuspr,03246,True,
Picnic,03246,True,
REWE,03249,False,
Flink,03249,False,
Knuspr,03249,False,
Picnic,03249,False,
REWE,03253,False,
Flink,03253,False,
Knuspr,03253,False,
Picnic,03253,False,
REWE,04895,False,
Flink,04895,False,
Knuspr,04895,False,
Picnic,04895,False,
REWE,04910,True,
Flink,04910,True,
Knuspr,04910,True,
Picnic,04910,True,
REWE,04916,True,
Flink,04916,True,
Knuspr,04916,True,
Picnic,04916,True,
REWE,04924,True,
Flink,04924,True,
Knuspr,04924,True,
Picnic,04924,True,
REWE,04928,True,
Flink,04928,True,
Knuspr,04928,True,
Picnic,04928,True,
REWE,04931,False,
Flink,04931,False,
Knuspr,04931,False,
Picnic,04931,False,
REWE,04932,True,
Flink,04932,True,
Knuspr,04932,True,
Picnic,04932,True,
REWE,04934,True,
Flink,04934,True,
Knuspr,04934,True,
Picnic,04934,True,
REWE,04936,True,
Flink,04936,True,
Knuspr,04936,True,
Picnic,04936,True,
REWE,04938,True,
Flink,04938,True,
Knuspr,04938,True,
Picnic,04938,True,
REWE,12529,False,
Flink,12529,False,
Knuspr,12529,False,
Picnic,12529,False,
REWE,14461,False,
Flink,14461,False,
Knuspr,14461,False,
Picnic,14461,False,
REWE,14467,False,
Flink,14467,False,
Knuspr,14467,False,
Picnic,14467,False,
REWE,14469,False,
Flink,14469,False,
Knuspr,14469,False,
Picnic,14469,False,
REWE,14471,False,
Flink,14471,False,
Knuspr,14471,False,
Picnic,14471,False,
REWE,14473,False,
Flink,14473,False,
Knuspr,14473,False,
Picnic,14473,False,
REWE,14476,True,
Flink,14476,True,
Knuspr,14476,True,
Picnic,14476,True,
REWE,14478,True,
Flink,14478,True,
Knuspr,14478,True,
Picnic,14478,True,
REWE,14480,True,
Flink,14480,True,
Knuspr,14480,True,
Picnic,14480,True,
REWE,14482,True,
Flink,14482,True,
Knuspr,14482,True,
Picnic,14482,True,
REWE,14513,False,
Flink,14513,False,
Knuspr,14513,False,
Picnic,14513,False,
REWE,14532,True,
Flink,14532,True,
Knuspr,14532,True,
Picnic,14532,True,
REWE,14542,True,
Flink,14542,True,
Knuspr,14542,True,
Picnic,14542,True,
REWE,14547,False,
Flink,14547,False,
Knuspr,14547,False,
Picnic,14547,False,
REWE,14548,True,
Flink,14548,True,
Knuspr,14548,True,
Picnic,14548,True,
REWE,14550,True,
Flink,14550,True,
Knuspr,14550,True,
Picnic,14550,True,
REWE,14552,True,
Flink,14552,True,
Knuspr,14552,True,
Picnic,14552,True,
REWE,14554,True,
Flink,14554,True,
Knuspr,14554,True,
Picnic,14554,True,
REWE,14557,False,
Flink,14557,False,
Knuspr,14557,False,
Picnic,14557,False,
REWE,14558,True,
Flink,14558,True,
Knuspr,14558,True,
Picnic,14558,True,
REWE,14612,True,
Flink,14612,True,
Knuspr,14612,True,
Picnic,14612,True,
REWE,14621,False,
Flink,14621,False,
Knuspr,14621,False,
Picnic,14621,False,
REWE,14624,True,
Flink,14624,True,
Knuspr,14624,True,
Picnic,14624,True,
REWE,14627,False,
Flink,14627,False,
Knuspr,14627,False,
Picnic,14627,False,
REWE,14641,False,
Flink,14641,False,
Knuspr,14641,False,
Picnic,14641,False,
REWE,14656,True,
Flink,14656,True,
Knuspr,14656,True,
Picnic,14656,True,
REWE,14662,True,
Flink,14662,True,
Knuspr,14662,True,
Picnic,14662,True,
REWE,14669,False,
Flink,14669,False,
Knuspr,14669,False,
Picnic,14669,False,
REWE,14712,True,
Flink,14712,True,
Knuspr,14712,True,
Picnic,14712,True,
REWE,14715,False,
Flink,14715,False,
Knuspr,14715,False,
Picnic,14715,False,
REWE,14727,False,
Flink,14727,False,
Knuspr,14727,False,
Picnic,14727,False,
REWE,14728,True,
Flink,14728,True,
Knuspr,14728,True,
Picnic,14728,True,
REWE,14770,True,
Flink,14770,True,
Knuspr,14770,True,
Picnic,14770,True,
REWE,14772,True,
Flink,14772,True,
Knuspr,14772,True,
Picnic,14772,True,
REWE,14774,True,
Flink,14774,True,
Knuspr,14774,True,
Picnic,14774,True,
REWE,14776,True,
Flink,14776,True,
Knuspr,14776,True,
Picnic,14776,True,
REWE,14778,True,
Flink,14778,True,
Knuspr,14778,True,
Picnic,14778,True,
REWE,14789,False,
Flink,14789,False,
Knuspr,14789,False,
Picnic,14789,False,
REWE,14793,False,
Flink,14793,False,
Knuspr,14793,False,
Picnic,14793,False,
REWE,14797,False,
Flink,14797,False,
Knuspr,14797,False,
Picnic,14797,False,
REWE,14798,True,
Flink,14798,True,
Knuspr,14798,True,
Picnic,14798,True,
REWE,14806,True,
Flink,14806,True,
Knuspr,14806,True,
Picnic,14806,True,
REWE,14822,True,
Flink,14822,True,
Knuspr,14822,True,
Picnic,14822,True,
REWE,14823,False,
Flink,14823,False,
Knuspr,14823,False,
Picnic,14823,False,
REWE,14827,False,
Flink,14827,False,
Knuspr,14827,False,
Picnic,14827,False,
REWE,14828,True,
Flink,14828,True,
Knuspr,14828,True,
Picnic,14828,True,
REWE,14913,False,
Flink,14913,False,
Knuspr,14913,False,
Picnic,14913,False,
REWE,14929,False,
Flink,14929,False,
Knuspr,14929,False,
Picnic,14929,False,
REWE,14943,False,
Flink,14943,False,
Knuspr,14943,False,
Picnic,14943,False,
REWE,14947,False,
Flink,14947,False,
Knuspr,14947,False,
Picnic,14947,False,
REWE,14959,False,
Flink,14959,False,
Knuspr,14959,False,
Picnic,14959,False,
REWE,14974,True,
Flink,14974,True,
Knuspr,14974,True,
Picnic,14974,True,
REWE,14979,False,
Flink,14979,False,
Knuspr,14979,False,
Picnic,14979,False,
REWE,15230,True,
Flink,15230,True,
Knuspr,15230,True,
Picnic,15230,True,
REWE,15232,True,
Flink,15232,True,
Knuspr,15232,True,
Picnic,15232,True,
REWE,15234,True,
Flink,15234,True,
Knuspr,15234,True,
Picnic,15234,True,
REWE,15236,True,
Flink,15236,True,
Knuspr,15236,True,
Picnic,15236,True,
REWE,15295,False,
Flink,15295,False,
Knuspr,15295,False,
Picnic,15295,False,
REWE,15299,False,
Flink,15299,False,
Knuspr,15299,False,
Picnic,15299,False,
REWE,15306,True,
Flink,15306,True,
Knuspr,15306,True,
Picnic,15306,True,
REWE,15320,True,
Flink,15320,True,
Knuspr,15320,True,
Picnic,15320,True,
REWE,15324,True,
Flink,15324,True,
Knuspr,15324,True,
Picnic,15324,True,
REWE,15326,True,
Flink,15326,True,
Knuspr,15326,True,
Picnic,15326,True,
REWE,15328,True,
Flink,15328,True,
Knuspr,15328,True,
Picnic,15328,True,
REWE,15344,True,
Flink,15344,True,
Knuspr,15344,True,
Picnic,15344,True,
REWE,15345,False,
Flink,15345,False,
Knuspr,15345,False,
Picnic,15345,False,
REWE,15366,True,
Flink,15366,True,
Knuspr,15366,True,
Picnic,15366,True,
REWE,15370,True,
Flink,15370,True,
Knuspr,15370,True,
Picnic,15370,True,
REWE,15372,True,
Flink,15372,True,
Knuspr,15372,True,
Picnic,15372,True,
REWE,15374,True,
Flink,15374,True,
Knuspr,15374,True,
Picnic,15374,True,
REWE,15377,False,
Flink,15377,False,
Knuspr,15377,False,
Picnic,15377,False,
REWE,15378,True,
Flink,15378,True,
Knuspr,15378,True,
Picnic,15378,True,
REWE,15517,False,
Flink,15517,False,
Knuspr,15517,False,
Picnic,15517,False,
REWE,15518,True,
Flink,15518,True,
Knuspr,15518,True,
Picnic,15518,True,
REWE,15526,True,
Flink,15526,True,
Knuspr,15526,True,
Picnic,15526,True,
REWE,15528,True,
Flink,15528,True,
Knuspr,15528,True,
Picnic,15528,True,
REWE,15537,False,
Flink,15537,False,
Knuspr,15537,False,
Picnic,15537,False,
REWE,15562,True,
Flink,15562,True,
Knuspr,15562,True,
Picnic,15562,True,
REWE,15566,True,
Flink,15566,True,
Knuspr,15566,True,
Picnic,15566,True,
REWE,15569,False,
Flink,15569,False,
Knuspr,15569,False,
Picnic,15569,False,
REWE,15711,False,
Flink,15711,False,
Knuspr,15711,False,
Picnic,15711,False,
REWE,15712,True,
Flink,15712,True,
Knuspr,15712,True,
Picnic,15712,True,
REWE,15713,False,
Flink,15713,False,
Knuspr,15713,False,
Picnic,15713,False,
REWE,15732,True,
Flink,15732,True,
Knuspr,15732,True,
Picnic,15732,True,
REWE,15738,True,
Flink,15738,True,
Knuspr,15738,True,
Picnic,15738,True,
REWE,15741,False,
Flink,15741,False,
Knuspr,15741,False,
Picnic,15741,False,
REWE,15745,False,
Flink,15745,False,
Knuspr,15745,False,
Picnic,15745,False,
REWE,15746,True,
Flink,15746,True,
Knuspr,15746,True,
Picnic,15746,True,
REWE,15748,True,
Flink,15748,True,
Knuspr,15748,True,
Picnic,15748,True,
REWE,15749,False,
Flink,15749,False,
Knuspr,15749,False,
Picnic,15749,False,
REWE,15752,True,
Flink,15752,True,
Knuspr,15752,True,
Picnic,15752,True,
REWE,15754,True,
Flink,15754,True,
Knuspr,15754,True,
Picnic,15754,True,
REWE,15755,False,
Flink,15755,False,
Knuspr,15755,False,
Picnic,15755,False,
REWE,15757,False,
Flink,15757,False,
Knuspr,15757,False,
Picnic,15757,False,
REWE,15806,True,
Flink,15806,True,
Knuspr,15806,True,
Picnic,15806,True,
REWE,15827,False,
Flink,15827,False,
Knuspr,15827,False,
Picnic,15827,False,
REWE,15831,False,
Flink,15831,False,
Knuspr,15831,False,
Picnic,15831,False,
REWE,15834,True,
Flink,15834,True,
Knuspr,15834,True,
Picnic,15834,True,
REWE,15837,False,
Flink,15837,False,
Knuspr,15837,False,
Picnic,15837,False,
REWE,15838,True,
Flink,15838,True,
Knuspr,15838,True,
Picnic,15838,True,
REWE,15848,True,
Flink,15848,True,
Knuspr,15848,True,
Picnic,15848,True,
REWE,15859,False,
Flink,15859,False,
Knuspr,15859,False,
Picnic,15859,False,
REWE,15864,True,
Flink,15864,True,
Knuspr,15864,True,
Picnic,15864,True,
REWE,15868,True,
Flink,15868,True,
Knuspr,15868,True,
Picnic,15868,True,
REWE,15890,True,
Flink,15890,True,
Knuspr,15890,True,
Picnic,15890,True,
REWE,15898,True,
Flink,15898,True,
Knuspr,15898,True,
Picnic,15898,True,
REWE,15907,False,
Flink,15907,False,
Knuspr,15907,False,
Picnic,15907,False,
REWE,15910,True,
Flink,15910,True,
Knuspr,15910,True,
Picnic,15910,True,
REWE,15913,False,
Flink,15913,False,
Knuspr,15913,False,
Picnic,15913,False,
REWE,15926,True,
Flink,15926,True,
Knuspr,15926,True,
Picnic,15926,True,
REWE,15936,True,
Flink,15936,True,
Knuspr,15936,True,
Picnic,15936,True,
REWE,15938,True,
Flink,15938,True,
Knuspr,15938,True,
Picnic,15938,True,
REWE,16225,False,
Flink,16225,False,
Knuspr,16225,False,
Picnic,16225,False,
REWE,16227,False,
Flink,16227,False,
Knuspr,16227,False,
Picnic,16227,False,
REWE,16230,True,
Flink,16230,True,
Knuspr,16230,True,
Picnic,16230,True,
REWE,16244,True,
Flink,16244,True,
Knuspr,16244,True,
Picnic,16244,True,
REWE,16247,False,
Flink,16247,False,
Knuspr,16247,False,
Picnic,16247,False,
REWE,16248,True,
Flink,16248,True,
Knuspr,16248,True,
Picnic,16248,True,
REWE,16259,False,
Flink,16259,False,
Knuspr,16259,False,
Picnic,16259,False,
REWE,16269,False,
Flink,16269,False,
Knuspr,16269,False,
Picnic,16269,False,
REWE,16278,True,
Flink,16278,True,
Knuspr,16278,True,
Picnic,16278,True,
REWE,16303,False,
Flink,16303,False,
Knuspr,16303,False,
Picnic,16303,False,
REWE,16306,True,
Flink,16306,True,
Knuspr,16306,True,
Picnic,16306,True,
REWE,16307,False,
Flink,16307,False,
Knuspr,16307,False,
Picnic,16307,False,
REWE,16321,False,
Flink,16321,False,
Knuspr,16321,False,
Picnic,16321,False,
REWE,16341,False,
Flink,16341,False,
Knuspr,16341,False,
Picnic,16341,False,
REWE,16348,True,
Flink,16348,True,
Knuspr,16348,True,
Picnic,16348,True,
REWE,16352,True,
Flink,16352,True,
Knuspr,16352,True,
Picnic,16352,True,
REWE,16356,True,
Flink,16356,True,
Knuspr,16356,True,
Picnic,16356,True,
REWE,16359,False,
Flink,16359,False,
Knuspr,16359,False,
Picnic,16359,False,
REWE,16515,False,
Flink,16515,False,
Knuspr,16515,False,
Picnic,16515,False,
REWE,16540,True,
Flink,16540,True,
Knuspr,16540,True,
Picnic,16540,True,
REWE,16547,False,
Flink,16547,False,
Knuspr,16547,False,
Picnic,16547,False,
REWE,16548,True,
Flink,16548,True,
Knuspr,16548,True,
Picnic,16548,True,
REWE,16552,True,
Flink,16552,True,
Knuspr,16552,True,
Picnic,16552,True,
REWE,16556,True,
Flink,16556,True,
Knuspr,16556,True,
Picnic,16556,True,
REWE,16559,False,
Flink,16559,False,
Knuspr,16559,False,
Picnic,16559,False,
REWE,16562,True,
Flink,16562,True,
Knuspr,16562,True,
Picnic,16562,True,
REWE,16565,False,
Flink,16565,False,
Knuspr,16565,False,
Picnic,16565,False,
REWE,16567,False,
Flink,16567,False,
Knuspr,16567,False,
Picnic,16567,False,
REWE,16727,False,
Flink,16727,False,
Knuspr,16727,False,
Picnic,16727,False,
REWE,16761,False,
Flink,16761,False,
Knuspr,16761,False,
Picnic,16761,False,
REWE,16766,True,
Flink,16766,True,
Knuspr,16766,True,
Picnic,16766,True,
REWE,16767,False,
Flink,16767,False,
Knuspr,16767,False,
Picnic,16767,False,
REWE,16775,False,
Flink,16775,False,
Knuspr,16775,False,
Picnic,16775,False,
REWE,16792,True,
Flink,16792,True,
Knuspr,16792,True,
Picnic,16792,True,
REWE,16798,True,
Flink,16798,True,
Knuspr,16798,True,
Picnic,16798,True,
REWE,16816,True,
Flink,16816,True,
Knuspr,16816,True,
Picnic,16816,True,
REWE,16818,True,
Flink,16818,True,
Knuspr,16818,True,
Picnic,16818,True,
REWE,16827,False,
Flink,16827,False,
Knuspr,16827,False,
Picnic,16827,False,
REWE,16831,False,
Flink,16831,False,
Knuspr,16831,False,
Picnic,16831,False,
REWE,16833,False,
Flink,16833,False,
Knuspr,16833,False,
Picnic,16833,False,
REWE,16835,False,
Flink,16835,False,
Knuspr,16835,False,
Picnic,16835,False,
REWE,16837,False,
Flink,16837,False,
Knuspr,16837,False,
Picnic,16837,False,
REWE,16845,False,
Flink,16845,False,
Knuspr,16845,False,
Picnic,16845,False,
REWE,16866,True,
Flink,16866,True,
Knuspr,16866,True,
Picnic,16866,True,
REWE,16868,True,
Flink,16868,True,
Knuspr,16868,True,
Picnic,16868,True,
REWE,16909,False,
Flink,16909,False,
Knuspr,16909,False,
Picnic,16909,False,
REWE,16918,True,
Flink,16918,True,
Knuspr,16918,True,
Picnic,16918,True,
REWE,16921,False,
Flink,16921,False,
Knuspr,16921,False,
Picnic,16921,False,
REWE,16928,True,
Flink,16928,True,
Knuspr,16928,True,
Picnic,16928,True,
REWE,16945,False,
Flink,16945,False,
Knuspr,16945,False,
Picnic,16945,False,
REWE,16949,False,
Flink,16949,False,
Knuspr,16949,False,
Picnic,16949,False,
REWE,17268,True,
Flink,17268,True,
Knuspr,17268,True,
Picnic,17268,True,
REWE,17279,False,
Flink,17279,False,
Knuspr,17279,False,
Picnic,17279,False,
REWE,17291,False,
Flink,17291,False,
Knuspr,17291,False,
Picnic,17291,False,
REWE,17326,True,
Flink,17326,True,
Knuspr,17326,True,
Picnic,17326,True,
REWE,17337,False,
Flink,17337,False,
Knuspr,17337,False,
Picnic,17337,False,
REWE,19309,False,
Flink,19309,False,
Knuspr,19309,False,
Picnic,19309,False,
REWE,19322,True,
Flink,19322,True,
Knuspr,19322,True,
Picnic,19322,True,
REWE,19336,True,
Flink,19336,True,
Knuspr,19336,True,
Picnic,19336,True,
REWE,19339,False,
Flink,19339,False,
Knuspr,19339,False,
Picnic,19339,False,
REWE,19348,True,
Flink,19348,True,
Knuspr,19348,True,
Picnic,19348,True,
REWE,19357,False,
Flink,19357,False,
Knuspr,19357,False,
Picnic,19357,False,
REWE,10115,False,
Flink,10115,False,
Knuspr,10115,False,
Picnic,10115,False,
REWE,10117,False,
Flink,10117,False,
Knuspr,10117,False,
Picnic,10117,False,
REWE,10119,False,
Flink,10119,False,
Knuspr,10119,False,
Picnic,10119,False,
REWE,10178,True,
Flink,10178,True,
Knuspr,10178,True,
Picnic,10178,True,
REWE,10179,False,
Flink,10179,False,
Knuspr,10179,False,
Picnic,10179,False,
REWE,10243,False,
Flink,10243,False,
Knuspr,10243,False,
Picnic,10243,False,
REWE,10245,False,
Flink,10245,False,
Knuspr,10245,False,
Picnic,10245,False,
REWE,10247,False,
Flink,10247,False,
Knuspr,10247,False,
Picnic,10247,False,
REWE,10249,False,
Flink,10249,False,
Knuspr,10249,False,
Picnic,10249,False,
REWE,10315,False,
Flink,10315,False,
Knuspr,10315,False,
Picnic,10315,False,
REWE,10317,False,
Flink,10317,False,
Knuspr,10317,False,
Picnic,10317,False,
REWE,10318,True,
Flink,10318,True,
Knuspr,10318,True,
Picnic,10318,True,
REWE,10319,False,
Flink,10319,False,
Knuspr,10319,False,
Picnic,10319,False,
REWE,10365,False,
Flink,10365,False,
Knuspr,10365,False,
Picnic,10365,False,
REWE,10367,False,
Flink,10367,False,
Knuspr,10367,False,
Picnic,10367,False,
REWE,10369,False,
Flink,10369,False,
Knuspr,10369,False,
Picnic,10369,False,
REWE,10405,False,
Flink,10405,False,
Knuspr,10405,False,
Picnic,10405,False,
REWE,10407,False,
Flink,10407,False,
Knuspr,10407,False,
Picnic,10407,False,
REWE,10409,False,
Flink,10409,False,
Knuspr,10409,False,
Picnic,10409,False,
REWE,10435,False,
Flink,10435,False,
Knuspr,10435,False,
Picnic,10435,False,
REWE,10437,False,
Flink,10437,False,
Knuspr,10437,False,
Picnic,10437,False,
REWE,10439,False,
Flink,10439,False,
Knuspr,10439,False,
Picnic,10439,False,
REWE,10551,False,
Flink,10551,False,
Knuspr,10551,False,
Picnic,10551,False,
REWE,10553,False,
Flink,10553,False,
Knuspr,10553,False,
Picnic,10553,False,
REWE,10555,False,
Flink,10555,False,
Knuspr,10555,False,
Picnic,10555,False,
REWE,10557,False,
Flink,10557,False,
Knuspr,10557,False,
Picnic,10557,False,
REWE,10559,False,
Flink,10559,False,
Knuspr,10559,False,
Picnic,10559,False,
REWE,10585,False,
Flink,10585,False,
Knuspr,10585,False,
Picnic,10585,False,
REWE,10587,False,
Flink,10587,False,
Knuspr,10587,False,
Picnic,10587,False,
REWE,10589,False,
Flink,10589,False,
Knuspr,10589,False,
Picnic,10589,False,
REWE,10623,False,
Flink,10623,False,
Knuspr,10623,False,
Picnic,10623,False,
REWE,10625,False,
Flink,10625,False,
Knuspr,10625,False,
Picnic,10625,False,
REWE,10627,False,
Flink,10627,False,
Knuspr,10627,False,
Picnic,10627,False,
REWE,10629,False,
Flink,10629,False,
Knuspr,10629,False,
Picnic,10629,False,
REWE,10707,False,
Flink,10707,False,
Knuspr,10707,False,
Picnic,10707,False,
REWE,10709,False,
Flink,10709,False,
Knuspr,10709,False,
Picnic,10709,False,
REWE,10711,False,
Flink,10711,False,
Knuspr,10711,False,
Picnic,10711,False,
REWE,10713,False,
Flink,10713,False,
Knuspr,10713,False,
Picnic,10713,False,
REWE,10715,False,
Flink,10715,False,
Knuspr,10715,False,
Picnic,10715,False,
REWE,10717,False,
Flink,10717,False,
Knuspr,10717,False,
Picnic,10717,False,
REWE,10719,False,
Flink,10719,False,
Knuspr,10719,False,
Picnic,10719,False,
REWE,10777,False,
Flink,10777,False,
Knuspr,10777,False,
Picnic,10777,False,
REWE,10779,False,
Flink,10779,False,
Knuspr,10779,False,
Picnic,10779,False,
REWE,10781,False,
Flink,10781,False,
Knuspr,10781,False,
Picnic,10781,False,
REWE,10783,False,
Flink,10783,False,
Knuspr,10783,False,
Picnic,10783,False,
REWE,10785,False,
Flink,10785,False,
Knuspr,10785,False,
Picnic,10785,False,
REWE,10787,False,
Flink,10787,False,
Knuspr,10787,False,
Picnic,10787,False,
REWE,10789,False,
Flink,10789,False,
Knuspr,10789,False,
Picnic,10789,False,
REWE,10823,False,
Flink,10823,False,
Knuspr,10823,False,
Picnic,10823,False,
REWE,10825,False,
Flink,10825,False,
Knuspr,10825,False,
Picnic,10825,False,
REWE,10827,False,
Flink,10827,False,
Knuspr,10827,False,
Picnic,10827,False,
REWE,10829,False,
Flink,10829,False,
Knuspr,10829,False,
Picnic,10829,False,
REWE,10961,False,
Flink,10961,False,
Knuspr,10961,False,
Picnic,10961,False,
REWE,10963,False,
Flink,10963,False,
Knuspr,10963,False,
Picnic,10963,False,
REWE,10965,False,
Flink,10965,False,
Knuspr,10965,False,
Picnic,10965,False,
REWE,10967,False,
Flink,10967,False,
Knuspr,10967,False,
Picnic,10967,False,
REWE,10969,False,
Flink,10969,False,
Knuspr,10969,False,
Picnic,10969,False,
REWE,10997,False,
Flink,10997,False,
Knuspr,10997,False,
Picnic,10997,False,
REWE,10999,False,
Flink,10999,False,
Knuspr,10999,False,
Picnic,10999,False,
REWE,11011,False,
Flink,11011,False,
Knuspr,11011,False,
Picnic,11011,False,
REWE,12043,False,
Flink,12043,False,
Knuspr,12043,False,
Picnic,12043,False,
REWE,12045,False,
Flink,12045,False,
Knuspr,12045,False,
Picnic,12045,False,
REWE,12047,False,
Flink,12047,False,
Knuspr,12047,False,
Picnic,12047,False,
REWE,12049,False,
Flink,12049,False,
Knuspr,12049,False,
Picnic,12049,False,
REWE,12051,False,
Flink,12051,False,
Knuspr,12051,False,
Picnic,12051,False,
REWE,12053,False,
Flink,12053,False,
Knuspr,12053,False,
Picnic,12053,False,
REWE,12055,False,
Flink,12055,False,
Knuspr,12055,False,
Picnic,12055,False,
REWE,12057,False,
Flink,12057,False,
Knuspr,12057,False,
Picnic,12057,False,
REWE,12059,False,
Flink,12059,False,
Knuspr,12059,False,
Picnic,12059,False,
REWE,12099,False,
Flink,12099,False,
Knuspr,12099,False,
Picnic,12099,False,
REWE,12101,False,
Flink,12101,False,
Knuspr,12101,False,
Picnic,12101,False,
REWE,12103,False,
Flink,12103,False,
Knuspr,12103,False,
Picnic,12103,False,
REWE,12105,False,
Flink,12105,False,
Knuspr,12105,False,
Picnic,12105,False,
REWE,12107,False,
Flink,12107,False,
Knuspr,12107,False,
Picnic,12107,False,
REWE,12109,False,
Flink,12109,False,
Knuspr,12109,False,
Picnic,12109,False,
REWE,12157,False,
Flink,12157,False,
Knuspr,12157,False,
Picnic,12157,False,
REWE,12159,False,
Flink,12159,False,
Knuspr,12159,False,
Picnic,12159,False,
REWE,12161,False,
Flink,12161,False,
Knuspr,12161,False,
Picnic,12161,False,
REWE,12163,False,
Flink,12163,False,
Knuspr,12163,False,
Picnic,12163,False,
REWE,12165,False,
Flink,12165,False,
Knuspr,12165,False,
Picnic,12165,False,
REWE,12167,False,
Flink,12167,False,
Knuspr,12167,False,
Picnic,12167,False,
REWE,12169,False,
Flink,12169,False,
Knuspr,12169,False,
Picnic,12169,False,
REWE,12203,False,
Flink,12203,False,
Knuspr,12203,False,
Picnic,12203,False,
REWE,12205,False,
Flink,12205,False,
Knuspr,12205,False,
Picnic,12205,False,
REWE,12207,False,
Flink,12207,False,
Knuspr,12207,False,
Picnic,12207,False,
REWE,12209,False,
Flink,12209,False,
Knuspr,12209,False,
Picnic,12209,False,
REWE,12247,False,
Flink,12247,False,
Knuspr,12247,False,
Picnic,12247,False,
REWE,12249,False,
Flink,12249,False,
Knuspr,12249,False,
Picnic,12249,False,
REWE,12277,False,
Flink,12277,False,
Knuspr,12277,False,
Picnic,12277,False,
REWE,12279,False,
Flink,12279,False,
Knuspr,12279,False,
Picnic,12279,False,
REWE,12305,False,
Flink,12305,False,
Knuspr,12305,False,
Picnic,12305,False,
REWE,12307,False,
Flink,12307,False,
Knuspr,12307,False,
Picnic,12307,False,
REWE,12309,False,
Flink,12309,False,
Knuspr,12309,False,
Picnic,12309,False,
REWE,12347,False,
Flink,12347,False,
Knuspr,12347,False,
Picnic,12347,False,
REWE,12349,False,
Flink,12349,False,
Knuspr,12349,False,
Picnic,12349,False,
REWE,12351,False,
Flink,12351,False,
Knuspr,12351,False,
Picnic,12351,False,
REWE,12353,False,
Flink,12353,False,
Knuspr,12353,False,
Picnic,12353,False,
REWE,12355,False,
Flink,12355,False,
Knuspr,12355,False,
Picnic,12355,False,
REWE,12357,False,
Flink,12357,False,
Knuspr,12357,False,
Picnic,12357,False,
