Business Name	Website / Source	City/Area within Los Angeles	Service Focus
Diamond Turf	https://diamondturf.com	Los Angeles	Installation
Dirtless Turf	https://dirtlessturf.com	Los Angeles County	Installation
DreamScape Turf & Landscapes	https://dreamscapeturf.com/	Santa Monica	Landscaping
Eco Design Landscaping	https://ecodeignlandscaping.com	Los Angeles	Both
EcoTurf LA	https://ecoturfla.com	Los Angeles	Installation
Elevated Seasons	https://elevatedseasons.com	Los Angeles	Both
Elite Artificial Grass	https://eliteartificialgrass.com	Los Angeles	Installation
Elite Grass Installers	https://elitegrassinstallers.com	Los Angeles	Installation
Elite Lawn Services	https://elitelawnservices.com	Los Angeles	Installation
Elite Putting Greens	https://eliteputtinggreens.com/	Los Angeles	Installation
Elite Turf Supply	https://eliteturfsupply.com	Los Angeles	Installation
Emerald Lawns SoCal	https://emeraldlawnssocal.com/	Los Angeles	Installation
EnvyLawn Los Angeles	https://envylawn.com/los-angeles/	Los Angeles	Installation
ETurf Pro	https://eturfpro.com	San Fernando Valley	Installation
Evergreen Lawn Co.	https://evergreenlawnco.com	Los Angeles	Landscaping
Evergreen Turf & Design	https://evergreenturfdesign.com	Los Angeles	Both
Everlast Turf LA	https://everlastturfla.com/	Los Angeles	Installation
Fake Grass Pros	https://fakegrasspros.com/	Los Angeles	Installation
Fresh Green Turf Co.	https://freshgreenturfco.com	Hollywood	Installation
Garden State Turf	https://gardenstateturf.com	West LA	Installation
Green Acres Turf	https://greenacresturf.com/	Torrance	Both
Green Design Turf	https://greendesignturf.com	Los Angeles	Both
Green Field Forever Inc.	https://greenfieldexpert.com	Los Angeles	Both
Greenfield Synthetic Grass	https://greenfieldsyntheticgrass.com/	Los Angeles	Installation
Greenline Turf Co.	https://greenlineturfco.com/	Burbank	Installation
Green Nation Turf	https://greennationturf.com/	Los Angeles	Both
Green Pro Landscape & Turf	https://greenprolandscapeandturf.com	Sherman Oaks	Both
GreenScape Design & Turf	https://greenscapedesignandturf.com/	Glendale	Both
GreenScape Solutions	https://greenscapesolutionsla.com	Los Angeles	Both
Green Tech Turf	https://greentechturf.com	Glendale	Installation
GreenTerra LA	https://greenterrala.com	Los Angeles	Landscaping
Green Thumb Landscapers	https://greenthumbla.com	Pasadena	Landscaping
GreenTouch Landscape	https://greentouchlandscape.com	Los Angeles	Both
Green Turf Installations	https://greenturfinstallations.com/	Pasadena	Both
Green Valley Landscapers	https://greenvalleylandscapers.com	Los Angeles	Landscaping
Green Valley Turf	https://greenvalleyturf.com/	Pomona	Installation
GreenView Direct (GreenView Turf)	https://greenviewdirect.com	San Fernando Valley	Both
Greenway Turf & Garden	https://greenwayturfandgarden.com/	San Gabriel Valley	Both
Green Works Landscape	https://greenworkslandscape.com	Los Angeles	Both
Grizzly Turf LA	https://grizzlyturf.com	Hollywood Hills	Both
Halcyon Landscaping Turf	https://halcyonlandscapingandturf.com	San Gabriel Valley	Both
HaloTurf	https://haloturf.com/	Torrance	Both
Highland Turf Works	https://highlandturfworks.com	Los Angeles	Both
Hillside Turf Experts	https://hillsideturfexperts.com	Los Angeles	Installation
JR's Tree Service & Landscape	https://jrstreeserviceandlandscape.com/artificial-turf-installation-pasadena-91104/	Pasadena	Both
LA Green Turf	https://lagreenturf.com	Los Angeles	Installation
LA Outdoor Turf	https://laoutdoorturf.com	Los Angeles	Both
LA Synthetic Lawns	https://lasyntheticlawns.com	Los Angeles	Installation
LA Turf Designs	https://laturfdesigns.com	Los Angeles	Both
LA Turf Guy	https://laturfguy.com	Los Angeles	Both
Lawn Care Pros LA	https://lawncareprosla.com	Los Angeles	Landscaping
Lawn Kings Inc.	https://lawnkingsinc.com	Los Angeles	Installation
Lawn Pros USA	https://lawnprosusa.com	Pasadena	Installation
LuxeTurf LA	https://luxeturfla.com/	Los Angeles	Both
Metro Lawncare	https://metrolawncare.com	Los Angeles	Both
Metro Turf Solutions	https://metroturfsolutions.com	Los Angeles	Both
NaturaTurf LA	https://naturaturfla.com/	Glendale	Installation
NatureScape Turf	https://naturescapeturf.com	Hollywood Hills	Landscaping
NexGen Lawns	https://nexgenlawns.com/artificial-grass-pasadena/	Pasadena	Both
Oasis Turf & Landscape	https://oasisturf.com/	LA County	Landscaping
Oasis Turf & Lawns	https://oasisturflawns.com	Los Angeles	Installation
Oasis Turf Pros	https://oasisturfpros.com	Los Angeles	Both
OC Turf and Putting Greens	https://octurfandputtinggreens.com/home/	Long Beach	Installation
Pacific Green Lawns	https://pacificgreenlawns.com	Long Beach	Installation
Pacific Turf Installers	https://pacificturfinstallers.com/	Long Beach	Installation
Parkside Green Turf	https://parksidegreenturf.com	Los Angeles	Both
Pasadena Artificial Grass	https://pasadenaartificialgrass.com	Pasadena	Installation
Perfect Greens Turf	https://perfectgreensturf.com	Van Nuys	Installation
Perfect Turf America	https://perfectturfamerica.com/	Los Angeles	Installation
Perfect Turf SoCal	https://perfectturfsocal.com	Los Angeles County	Installation
Pet Turf LA	https://peturfexteriors.com/	Los Angeles	Installation
Platinum Lawn Experts	https://platinumlawnexperts.com	Los Angeles	Both
Premier Artificial Turf LA	https://premierartificialturfla.com	Santa Clarita	Installation
Premiere Turf Systems	https://premiereturfsystems.com	Los Angeles	Installation
Premier Lawn Care	https://premierlawncare.com	West Hollywood	Both
Premium Green Turf	https://premiumgreenturf.com/	Los Angeles	Installation
Premium Turf Installers	https://premiumturfinstallers.com	Studio City	Installation
Prime Turf & Landscaping	https://primeturflandscaping.com	Los Angeles	Both
Prime Turf Solutions	https://primeturfsolutions.com	San Gabriel Valley	Installation
ProGreen Synthetic Turf (Los Angeles)	https://progreen.com/locations/los-angeles/	Los Angeles	Installation
ProGreen Lawns	https://progreenlawns.com	Los Angeles	Installation
Pro Synthetic Turf	https://prosyntheticturf.com/	Inglewood	Installation
Quality Turf & Supply	https://qualityturfandsupply.com/	Pomona	Installation
Quality Turf LA	https://qualityturfla.com	Los Angeles	Installation
RC Artificial Grass	https://rcartificialgrass.com	Los Angeles	Installation
RealGrass LA	https://realgrassla.com/	Los Angeles	Both
Royal Green Turf	https://royalgreenturf.com	Los Angeles	Installation
Serenity Turf	https://serenityturf.com	Culver City	Installation
SGS Turf	https://sgsturf.com	Pomona	Both
Signature Turf Landscapes	https://signatureturf.com	Burbank	Both
SmartGrass	https://smartgrassusa.com	Torrance	Both
SmartTurf Los Angeles Location	https://smartturf.com/locations/los-angeles	Los Angeles	Installation
Smooth Green Lawns	https://smoothgreenlawns.com	Los Angeles	Landscaping
SoCal Synthetic Lawns	https://socalsyntheticlawns.com/	Los Angeles	Installation
SoCal Turf Landscape	https://socalturfandlandscape.com	Los Angeles	Both
Solicito and Son Landscape Contracting	https://solicitoandson.com	Los Angeles	Both
SunCity Turf	https://suncityturf.com	Los Angeles	Installation
Sunset Valley Turf	https://sunsetvalleyturf.com	Los Angeles	Installation
Superior Turf Systems	https://superiorturfsystems.com/	Glendale	Both
Synthetic Grass Depot	https://syntheticgrassdepot.com	Los Angeles	Both
Synthetic Grass Warehouse	https://syntheticgrasswarehouse.com	Los Angeles	Both
SGW — Torrance service page	https://syntheticgrasswarehouse.com/service-areas/torrance-ca/	Torrance	Landscaping
Synthetic Turf International	https://synthetic-turf.com	Los Angeles	Installation
TerraView Landscaping	https://terraviewusa.com	Los Angeles	Both
The Turf Pro LA	https://theturfprola.com/	Los Angeles	Installation
The Turf Pros	https://theturfpros.com	Los Angeles	Installation
TIKTURF	https://tikturf.com	Los Angeles	Installation
TruTurf Artificial Grass	https://truturf.com	Los Angeles	Installation
Turf City Beverly Hills	https://turfcityla.com	Beverly Hills	Installation
Turf Depot	https://turfdepot.com	Los Angeles	Both
Turf Innovators	https://turfinnovators.com	Los Angeles	Installation
Turfland Group LLC	https://turfland.co	Los Angeles	Installation
Turf Master LA	https://turfmasterla.com/	Los Angeles	Installation
TurfMasters West	https://turfmasterswest.com	Los Angeles	Installation
TurfPros Direct	https://turfprosdirect.com/artificial-turf-los-angeles/	Los Angeles	Installation
Burbank Turf Pros	https://turfprossolution.com/artificial-turf-burbank-california/	Burbank	Installation
TurfFresh	https://turfresh.com	Los Angeles	Installation
TurfStore	https://turfstore.com/	Los Angeles	Supply
TurfTech Installers	https://turftechinstallers.com	Los Angeles	Installation
Turftopia	https://turftopiaturf.com	Los Angeles	Installation
Turf Works Landscape	https://turfworkslandscape.com	Van Nuys	Both
TurfZone LA	https://turfzonela.com	Los Angeles	Installation
Urban Green Spaces	https://urbangreenspacela.com	Los Angeles	Both
Urban Turf Pros	https://urbanturfpros.com	Los Angeles	Installation
Urban Turf Masters	https://urbanturfsmasters.com	Hollywood	Installation
Valley Green Turf	https://valleygreenturf.com	San Fernando Valley	Installation
Viva Turf	https://viva-turf.com	Los Angeles	Installation
West Coast Turf Design	https://westcoastturfdesign.com	Santa Monica	Both
All One Landscape	https://www.allonelandscape.com	Los Angeles	Both
GreenScape LA	https://www.angi.com/companylist/us/ca/los-angeles/green-scene-landscapes-reviews-2.htm	Los Angeles	Both
GreenEdge Landscaping	https://www.angi.com/companylisting/greenedge	Glendale	Both
Earth Design Turf	https://www.earthdesignturf.com	Los Angeles	Both
EcoGrass	https://www.ecograssus.com	Los Angeles	Installation
Flores Artscape	https://www.floresartscape.com	Los Angeles	Both
ForeverLawn Los Angeles	https://www.foreverlawn.com/los-angeles/	Los Angeles	Installation
Green-R Turf Artificial Grass	https://www.greenrturf.com/service-areas/los-angeles-county/	Los Angeles County	Installation
Greenx Turf	https://www.greenxturf.net	Los Angeles	Both
Green Horizon Landscapes	https://www.homeadvisor.com/rated.GreenHorizon.12345.html	San Gabriel Valley	Both
Metro Lawn & Turf	https://www.homeadvisor.com/rated.MetroLawn.67890.html	SE LA County	Landscaping
Garden Cities Turf	https://www.homeguide.com/ca/los-angeles/artificial-turf-installation	Garena	Installation
LA Turf Company	https://www.houzz.com/professionals/landscape-architects-and-landscape-designers/l-a-turf-company-pfvwus-pf~404933519	Los Angeles	Both
Smart Yards (Synthetic Grass Contractors)	https://www.houzz.com/professionals/landscape-contractors/smart-yards-synthetic-grass-contractors-pfvwus-pf~941859983	Los Angeles	Both
Install Artificial	https://www.installartificial.com	Los Angeles	Installation
JNR Home Improvements	https://www.jnrhomeimprovements.com	Antelope Valley	Both
Lanmark Installation	https://www.lanmarkinstallation.com	Los Angeles	Installation
LawnPop	https://www.lawnpop.com/	Los Angeles	Installation
AGA Construction	https://www.losangelesrenovations.com	Los Angeles	Both
Moda Outdoor Living	https://www.modaoutdoorliving.com	Los Angeles	Both
Ohana Artificial Turf Company	https://www.ohanaturfcompany.com/	Long Beach	Both
Purchase Green (Los Angeles)	https://www.purchasegreen.com/locations/los-angeles/	Los Angeles	Both
Revive Landscape Inc.	https://www.revivelandscapeinc.com	Los Angeles	Both
SCV Turf	https://www.scvturf.com	Santa Clarita	Installation
SGK Artificial Grass	https://www.sgkartificialgrass.com/	Los Angeles	Installation
Southwest Greens (Los Angeles)	https://www.southwestgreens.com/locations/los-angeles	Los Angeles	Installation
SYNLawn Los Angeles	https://www.synlawn.com/location/los-angeles	Los Angeles	Both
System Pavers (Los Angeles)	https://www.systempavers.com/locations/los-angeles	Los Angeles	Both
Rock N Block – Turf N Hardscapes	https://www.thumbtack.com/ca/los-angeles/landscape/rock-n-block-inc/service/261849216386424846	Los Angeles	Both
Royal Home Landscapes	https://www.thumbtack.com/ca/los-angeles/landscape-design/royal-home-landscapes/service/256347845108919289	Los Angeles	Both
Pet Turf Pros	https://www.thumbtack.com/ca/los-angeles/pet-turf/	Los Angeles	Installation
Titan Turf Supply	https://www.titanturfsupply.com/artificial-grass-burbank/	Burbank	Installation
Turf Exchange	https://www.turfexchange.com	Torrance	Installation
Turf Now!	https://www.turfnow.com	Los Angeles	Installation
US Family Turf	https://www.usfamilyturf.com	Los Angeles	Installation
Burbank Lawn Pros	https://www.yelp.com/biz/burbank-lawn-pros-burbank	Burbank	Both
Lawn Pros Synthetic	https://www.yelp.com/biz/lawn-pros-synthetic-los-angeles	Los Angeles	Installation
Mike's Synthetic Grass	https://www.yelp.com/biz/mikes-synthetic-grass-long-beach	Long Beach	Installation
South Bay Turf & Putting Greens	https://www.yelp.com/biz/south-bay-turf-and-putting-greens-torrance	Torrance	Both
Southland Turf	https://www.yelp.com/search?find_desc=Southland+Turf&find_loc=Los+Angeles%2C+CA	South LA	Installation
Turf Masters LA	https://www.yelp.com/search?find_desc=Turf+Masters+LA&find_loc=Los+Angeles%2C+CA	LA County	Installation
