Business Name,Phone Number,Email Address,City,Suburb/Locality,Metro Area,State,ZIP Code,Business Type,Website URL,LinkedIn URL,Source URL(s),Source Platform,Last Verified Date,Contact Name,Email Type,Notes
"Nathans & Nathans, P.C.",+1 713-522-1031,office@nncpa.com,Houston,,Houston,TX,77027,Accounting Firm,https://www.nncpa.net/,https://www.linkedin.com/company/nathans-&-nathans-pc-cpa,https://www.nncpa.net/contact-us,Company Website,2025-10-14,,Company/Generic,
"Brian L. Jarvis & Associates, PLLC",+1 281-646-9088,info@jarvcpa.com,Katy,Katy,Houston,TX,,CPA Firm,https://www.jarvcpa.com/,https://www.linkedin.com/company/brian-l.-jarvis-&-associates-pllc,https://www.jarvcpa.com/contact,Company Website,2025-10-14,,Company/Generic,
NU Energy Payroll HR,+1 832-918-5047,nep@nuenergypay.com,Houston,,Houston,TX,77056,Payroll Company,https://www.nuenergypayrollhr.com/,https://www.linkedin.com/company/nuenergypay,https://www.nuenergypayrollhr.com/contact,Company Website,2025-10-14,,Company/Generic,
HRO Resources,+1 832-486-9436,hello@hroresources.com,Houston,,Houston,TX,77098,Payroll Company,https://hroresources.com/,https://www.linkedin.com/company/hro-resources,https://hroresources.com/,Company Website,2025-10-14,,Company/Generic,Contact section lists email and phone
Primary Services (Payroll Department),+1 713-400-9055,payroll@primaryservices.com,Houston,,Houston,TX,77024,Payroll Company,https://www.primaryservices.com/,https://www.linkedin.com/company/primary-services,https://www.primaryservices.com/contact/,Company Website,2025-10-14,Payroll Office,Company/Generic,Main office line: (713) 850-7010
EESI PEO (Houston),+1 832-353-2181,houston@eesipeo.com,Houston,,Houston,TX,77042,Payroll Company,https://www.eesipeo.com/,https://www.linkedin.com/company/eesi,https://www.eesipeo.com/texas-peo-services/houston-peo-service/houston-payroll-service/,Company Website,2025-10-14,,Company/Generic,Local Houston page lists email and phone
Affiliated HR & Payroll,+1 281-491-1400,info@affiliatedpayroll.com,Stafford,Stafford,Houston,TX,77477,Payroll Company,https://affiliatedhrpayroll.com/,https://www.linkedin.com/company/affiliated-hr-&-payroll-services,https://affiliatedhrpayroll.com/request-a-quote/; https://affiliatedhrpayroll.com/; https://www.bbb.org/us/tx/stafford/profile/payroll-services/affiliated-hr-payroll-services-0915-90053136,Company Website,2025-10-14,,Company/Generic,Address/phone/email shown on Request a Quote page
Premier Tax Strategies,+1 346-395-1687,info@premiertaxstrategies.com,Houston,,Houston,TX,77057,Tax Preparation Service,https://www.premiertaxstrategies.com/,https://www.linkedin.com/company/premier-tax-strategies,https://www.premiertaxstrategies.com/contact.php,Company Website,2025-10-14,,Company/Generic,
Mosher Seifert + Co PC,+1 281-991-1099,info@cpa1099.com,Houston,,Houston,TX,77058,Tax Preparation Service,https://www.cpa1099.com/,https://www.linkedin.com/company/mosher-seifert-&co,https://www.cpa1099.com/taxprep.php,Company Website,2025-10-14,,Company/Generic,
Financial Planning and Tax Office,+1 281-879-7024,jonita@taxofficehouston.com,Houston,,Houston,TX,77083,Tax Preparation Service,https://www.taxofficehouston.com/,https://www.linkedin.com/company/financial-planning-tax-office-inc,https://www.taxofficehouston.com/home,Company Website,2025-10-14,Jonita,Person/Professional,
Houston Tax Defense LLC,+1 281-771-3194,info@houstontaxdefense.com,Houston,,Houston,TX,77070,Tax Resolution Company,https://www.houstontaxdefense.com/,https://www.linkedin.com/company/one-stop-business,https://www.houstontaxdefense.com/,Company Website,2025-10-14,,Company/Generic,Email appears in site footer/contact
IRS Tax Fighters,+1 281-962-0070,customercare@irstaxfighters.com,Houston,,Houston,TX,77036,Tax Resolution Company,https://www.irstaxfighters.com/,https://www.linkedin.com/company/irs-tax-fighters,https://www.irstaxfighters.com/; https://www.irstaxfighters.com/about-irs-tax-fighters-houston,Company Website,2025-10-14,,Company/Generic,
"Polk CPA Firm, PLLC",+1 713-265-8777,bryan@polkcpatx.com,Houston,,Houston,TX,77057,CPA Firm,https://www.polkcpatx.com/,https://www.linkedin.com/company/polk-cpa-firm-pllc,https://www.polkcpatx.com/contact.htm,Company Website,2025-10-14,Bryan Polk,Person/Professional,
L&H CPAs & Advisors,+1 972-421-1099,info@lhcpafirm.com,Dallas,,Dallas,TX,75231,CPA Firm,https://www.lhcpafirm.com/,https://www.linkedin.com/company/lhcpafirm.com,https://www.lhcpafirm.com/,Company Website,2025-10-14,,Company/Generic,Contact block at page bottom shows phone/email
"Grissom & Company, PLLC",+1 972-458-8864,info@grissomcpa.com,Dallas,,Dallas,TX,75248,CPA Firm,https://www.grissomcpa.com/,,https://www.grissomcpa.com/contact.php,Company Website,2025-10-14,,Company/Generic,
"Lane Gorman Trubitt, LLC (LGT)",+1 214-871-7500,askus@lgt-cpa.com,Dallas,,Dallas,TX,75204,CPA Firm,https://www.lgt-cpa.com/,https://www.linkedin.com/company/lgt-cpa,https://www.lgt-cpa.com/contactus,Company Website,2025-10-14,,Company/Generic,Dallas office contact page lists askus@lgt-cpa.com
"Gurian CPA, PLLC",+1 469-374-3150,info@gurianco.com,Dallas,,Dallas,TX,75254,CPA Firm,https://gurianco.com/,https://www.linkedin.com/company/gurian-%26-co.-pllc,https://gurianco.com/contact-us,Company Website,2025-10-14,,Company/Generic,
Beaird Harris,+1 972-503-1040,BeairdHarris@bh-co.com,Dallas,,Dallas,TX,75244,Accounting Firm,https://bh-co.com/,https://www.linkedin.com/company/beairdharris,https://bh-co.com/press-releases/beaird-harris-ranked-among-top-dallas-wealth-management-firms/,Company Website (Press Release),2025-10-14,,Company/Generic,Press release lists general contact email and phone
"Bland Garvey, PC",+1 972-231-2503,info@blandgarvey.com,Richardson,Richardson,Dallas,TX,75080,CPA Firm,https://www.blandgarvey.com/,https://www.linkedin.com/company/bland-garvey-pc,https://www.blandgarvey.com/contact-us/,Company Website,2025-10-14,,Company/Generic,
"MB Group, LLC",+1 214-730-6911,info@mbgcpa.com,Plano,Plano,Dallas,TX,75024,CPA Firm,https://www.mbgcpa.com/,https://www.linkedin.com/company/the-mb-group-llc,https://www.mbgcpa.com/contact/,Company Website,2025-10-14,,Company/Generic,
"Mike Raitt, CPA",+1 972-964-5100,info@raittcpa.com,Plano,Plano,Dallas,TX,75093,CPA Firm,http://www.raittcpa.com/,,https://www.raittcpa.com/contact.php,Company Website,2025-10-14,Mike Raitt,Company/Generic,
"K. Evans & Associates, CPAs",+1 972-335-9754,info@kevanscpas.com,Frisco,Frisco,Dallas,TX,75033,CPA Firm,https://www.kevanscpas.com/,https://www.linkedin.com/company/kevanscpas,https://www.kevanscpas.com/contact.php,Company Website,2025-10-14,,Company/Generic,
"Tracy Burr, CPA",+1 214-938-8312,tracy.burr@att.net,Frisco,Frisco,Dallas,TX,75034,CPA Firm,https://www.tracyburrcpa.com/,,https://www.tracyburrcpa.com/contact.php,Company Website,2025-10-14,Tracy Burr,Person/Professional,
Petrick & Co CPAs,+1 972-257-1800,terry@petrickcpas.com,Irving,Irving,Dallas,TX,75062,CPA Firm,https://www.petrickandcompanycpas.com/,https://www.linkedin.com/company/petrick-and-company-cpas,https://www.petrickandcompanycpas.com/contact.php,Company Website,2025-10-14,Terry Petrick,Person/Professional,
Shafiq Hasan CPA PLLC,+1 214-256-4111,info@shafiqhasancpa.com,Richardson,Richardson,Dallas,TX,75080,CPA Firm,https://www.shafiqhasancpa.com/,,https://www.shafiqhasancpa.com/contact.php,Company Website,2025-10-14,Shafiq Hasan,Company/Generic,
Donna M. Caltwedt CPA PC,+1 972-735-8500,donna@mycpataxadvisor.com,Addison,Addison,Dallas,TX,75001,CPA Firm,https://mycpataxadvisor.com/,,https://mycpataxadvisor.com/contact.php,Company Website,2025-10-14,Donna M. Caltwedt,Person/Professional,
"SSW CPA's (Snead, Smith, Williams & Co.)",+1 972-960-9035,bs@sswcpa.com,Addison,Addison,Dallas,TX,75001,CPA Firm,https://www.sneadsolutionscpa.com/,https://www.linkedin.com/company/snead-solutions-llc,https://www.sneadsolutionscpa.com/contact,Company Website,2025-10-14,,Company/Generic,
"Pegue-Dennis, CPA P.C.",+1 214-559-6900,info@peguedenniscpa.com,Dallas,,Dallas,TX,75235,CPA Firm,https://peguedenniscpa.com/,https://www.linkedin.com/company/pegue-dennis-cpa-pc,https://peguedenniscpa.com/contact.php,Company Website,2025-10-14,,Company/Generic,
"Dimple Bhatia, CPA, PC",+1 972-241-4170,dimple@dbcpadfw.com,Addison,Addison,Dallas,TX,75001,CPA Firm,https://www.dbcpadfw.com/,https://www.linkedin.com/in/dimple-bhatia-cpa,https://www.dbcpadfw.com/contact.php,Company Website,2025-10-14,Dimple Bhatia,Person/Professional,
"Anthony A. Adeyemo, CPA",+1 214-340-4431,officemanager@adeyemocpa.com,Dallas,,Dallas,TX,75251,CPA Firm,https://www.adeyemocpa.com/,https://www.linkedin.com/company/anthony-a-adeyemo,https://www.adeyemocpa.com/contact.php,Company Website,2025-10-14,Office Manager,Company/Generic,
"Vick and Grohman CPAs, PLLC",+1 972-926-3650,info@dallascpafirm.com,Garland,Garland,Dallas,TX,75041,CPA Firm,https://dallascpafirm.com/,https://www.linkedin.com/company/vick-and-grohman-cpas,https://dallascpafirm.com/taxprep.php,Company Website,2025-10-14,,Company/Generic,Tax prep page lists phone/email
Genesis Business and Tax Services,+1 469-436-3747,info@genesisbts.com,Dallas,,Dallas,TX,75243,Accounting Firm,https://genesisbts.com/,https://www.linkedin.com/company/the-genesis-financial-group,https://genesisbts.com/,Company Website,2025-10-14,,Company/Generic,Contact section lists phone/email
"Burds Reed & Mercer, P.C.",+1 214-219-2600,tehrenberg@brmdallas.com,Dallas,,Dallas,TX,75204,Accounting Firm,https://www.brmdallas.com/,https://www.linkedin.com/company/burds-reed-mercer-pc,https://www.brmdallas.com/taxprep.php,Company Website,2025-10-14,Tom Ehrenberg,Person/Professional,
Dallas Payroll,+1 214-553-0700,submit@dallaspayroll.com,Plano,Plano,Dallas,TX,75093,Payroll Company,https://dallaspayroll.com/,https://www.linkedin.com/company/dallas-payroll,https://dallaspayroll.com/contact/,Company Website,2025-10-14,,Company/Generic,
Your Payroll Department LLC,+1 972-509-4767,info@yourpayroll.com,Plano,Plano,Dallas,TX,75074,Payroll Company,https://yourpayroll.com/,https://www.linkedin.com/company/your-payroll-department,https://yourpayroll.com/contact-us/; https://www.yourpayroll.com/get-started.htm,Company Website,2025-10-14,,Company/Generic,
NexGen Payroll,+1 214-396-2200,info@ngpayroll.com,Carrollton,Carrollton,Dallas,TX,75006,Payroll Company,https://www.ngpayroll.com/,https://www.linkedin.com/company/next-generation-payroll,https://www.ngpayroll.com/,Company Website,2025-10-14,,Company/Generic,Footer lists phone/email
Accountex Payroll & HR,+1 214-600-8084,info@accountexpayroll.com,Plano,Plano,Dallas,TX,75093,Payroll Company,https://accountexpayroll.com/,,https://accountexpayroll.com/contact-us/,Company Website,2025-10-14,,Company/Generic,
Lemus Business Services (Payroll),+1 214-390-0017,Daniel@LBSDallas.com,Dallas,,Dallas,TX,,Payroll Company,https://www.lbsdallas.com/,,https://www.lbsdallas.com/payroll-services,Company Website,2025-10-14,Daniel,Person/Professional,
Plano Tax Prep,+1 972-277-4618,info@planotaxprep.com,Plano,Plano,Dallas,TX,75093,Tax Preparation Service,https://planotaxprep.com/,,https://planotaxprep.com/contact/,Company Website,2025-10-14,,Company/Generic,
Frisco Tax Prep,+1 469-698-3322,info@friscotaxprep.com,Frisco,Frisco,Dallas,TX,75036,Tax Preparation Service,https://friscotaxprep.com/,,https://friscotaxprep.com/contact-us/,Company Website,2025-10-14,,Company/Generic,
"Dan Jefferson Tax and Financial Consulting, Inc.",+1 214-941-6657,info@danjeffersonpc.com,Dallas,,Dallas,TX,75208,Tax Preparation Service,https://www.danjeffersonpc.com/,,https://www.danjeffersonpc.com/,Company Website,2025-10-14,Dan Jefferson,Company/Generic,
Tax Plus Etc.,+1 214-428-4387,taxplusetc@taxplusetc.net,Dallas,,Dallas,TX,,Tax Preparation Service,https://taxplusetc.net/,https://www.linkedin.com/company/tax-plus-etc1,https://taxplusetc.net/,Company Website,2025-10-14,,Company/Generic,
"Clopton & Company, LLC",+1 972-272-6478,admin@cloptoncpa.com,Garland,Garland,Dallas,TX,75040,Tax Preparation Service,https://www.cloptoncpa.com/,,https://www.cloptoncpa.com/taxservices.php,Company Website,2025-10-14,,Company/Generic,
"Law Offices of Nick Nemeth, PLLC",+1 972-484-0829,info@myirsteam.com,Dallas,,Dallas,TX,75244,Tax Resolution Company,https://www.myirsteam.com/,https://www.linkedin.com/company/law-offices-of-nick-nemeth-1,https://www.myirsteam.com/contact-us/,Company Website,2025-10-14,,Company/Generic,Dallas office page lists phone and email
All Tax Resolution,+1 214-247-7100,info@alltaxresolution.com,Plano,Plano,Dallas,TX,75024,Tax Resolution Company,https://www.alltaxresolution.com/,,https://www.alltaxresolution.com/tax-services-contact-us,Company Website,2025-10-14,,Company/Generic,
TaxResolve LLC,+1 888-706-6076,info@TaxResolveHelp.com,Frisco,Frisco,Dallas,TX,75034,Tax Resolution Company,https://taxresolvehelp.com/,https://www.linkedin.com/company/taxresolvehelp,https://taxresolvehelp.com/contact,Company Website,2025-10-14,,Company/Generic,
MeredithCPAs,+1 214-492-1986,cpa@meredithcpas.com,Irving,Irving,Dallas,TX,75039,CPA Firm,https://www.meredithcpas.com/,https://www.linkedin.com/company/meredithvantage,https://www.meredithcpas.com/,Company Website,2025-10-14,,Company/Generic,
