
Source name,Country,Link,Type of data available,Date of last update,Access method,Notes
HM Land Registry Price Paid Data (England & Wales),England and Wales (UK),https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads,"Property-level sale prices, dates of sale, full address, property type and tenure for registered sales",29 Sept 2025 (August 2025 release),Open dataset – CSV or TXT files; monthly download via GOV.UK or API,Includes all property sales lodged for registration; data updated monthly on the 20th working day; licensed under Open Government Licence as noted by Land Registryhttps://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads#:~:text=Our%20Price%20Paid%20Data%20includes,lodged%20with%20us%20for%20registration.
National Land Survey of Finland – Agricultural & forestry property statistics,Finland,https://www.maanmittauslaitos.fi/en/e-services/statistical-information-real-estate-transactions,Purchase price statistics for agricultural and forestry properties,Monthly (2025),Open statistics via interface (Finnish),Part of the purchase price statistics; includes price information for agricultural and forestry property transactions at municipal and regional levelhttps://www.maanmittauslaitos.fi/en/e-services/statistical-information-real-estate-transactions#:~:text=Study%20purchase%20price%20statistics%20at,on%20rented%20plots%20are%20included.
Netherlands StatLine – Existing own homes; average purchase prices by region (table 83625ENG),Netherlands,https://opendata.cbs.nl/statline/portal.html?tableId=83625ENG,"Average purchase price paid for existing owner‑occupied homes by municipality, province and national level",12 Oct 2025,"Open dataset via CBS StatLine API (CSV, JSON)",Table shows average purchase price of homes sold; figures are based on notary transactions registered each month by the Dutch Land Registry; data available from 1995 and revised only in exceptional circumstanceshttps://data.overheid.nl/en/dataset/4146-existing-own-homes--average-purchase-prices--region#:~:text=This%20table%20shows%20the%20average,price%20is%20not%20an%20indicator.
Netherlands StatLine – Existing own homes; purchase price indices 2020=100,Netherlands,https://opendata.cbs.nl/statline/portal.html?tableId=83661ENG,Purchase price indices (2020=100) for existing owner‑occupied dwellings by region and type of dwelling,2025,Open dataset via StatLine API,Provides indices rather than absolute prices; figures are based on transaction prices recorded by Kadaster; updated quarterly.
Netherlands StatLine – Existing own homes; purchase price indices 2015=100 by region,Netherlands,https://opendata.cbs.nl/statline/portal.html?tableId=83723ENG,Purchase price indices (2015=100) by region (COROP) and type of dwelling,2025,Open dataset via StatLine API,Shows relative price trends; data derived from notary transaction prices; indices updated quarterly.
Netherlands StatLine – Purchase price indices by type of dwelling (2015=100),Netherlands,https://opendata.cbs.nl/statline/portal.html?tableId=83725ENG,"Purchase price index for existing homes by dwelling type (detached, terraced, etc.) with 2015=100 baseline",2025,Open dataset via StatLine API,Indices provide relative changes; underlying data come from registered sale prices.
Netherlands StatLine – Purchase price indices by region (COROP) 1995‑2023,Netherlands,https://opendata.cbs.nl/statline/portal.html?tableId=84164ENG,Purchase price indices (multiple base years) for COROP regions from 1995 onward,2024,Open dataset via StatLine API,Provides long‑run series of price indices for regional housing markets; computed from transaction prices.
Statistics Sweden – Real estate price statistics for one‑ or two‑dwelling buildings by month,Sweden,https://www.scb.se,Monthly price statistics for one‑ and two‑dwelling buildings (average purchase prices),9 Oct 2025,Open tables via SCB Statistical Database,Part of the real estate price statistics; presents average purchase prices and number of transactions by month at national level; data come from registrations of title and cover the entire markethttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Real estate price statistics for one‑ or two‑dwelling buildings by region (quarterly),Sweden,https://www.scb.se,Quarterly statistics of purchase prices for one‑ and two‑dwelling buildings by region,24 Oct 2025 (Q3 2025),Open tables via SCB Statistical Database,Shows average purchase price and number of sales per region; derived from registrations of title; part of Real Estate Price Index statisticshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Average purchase prices for one‑ and two‑dwelling buildings by municipality (2024),Sweden,https://www.scb.se,Map/table of average purchase prices for municipalities,5 Jun 2025,Open map/table via SCB,Provides municipality‑level average purchase prices for 2024; part of the Real Estate Price statistics; data from registrations of titlehttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Purchase prices of tenant‑owned flats 2023–2024,Sweden,https://www.scb.se,Table of purchase prices for tenant‑owned apartments (co‑ops) by region,4 Jul 2025,Open table via SCB,Shows purchase prices of tenant‑owned flats; compiled from registrations of transfer of tenant‑owned dwellingshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Sold real estate by month of acquisition and type of real estate,Sweden,https://www.scb.se,"Number of sold properties by month and property type (e.g., one‑family houses, farms)",5 Jun 2025,Open table via SCB,Provides turnover statistics (count of sales) by month and property type; covers entire real estate markethttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Sold one‑ and two‑dwelling buildings for permanent living by region,Sweden,https://www.scb.se,Quarterly count and average price for sold one‑ and two‑dwelling buildings by region,24 Oct 2025,Open table via SCB,Shows number of sales and average prices per region; data derived from title registrationshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Sold multi‑dwelling and commercial buildings by region and type of real estate,Sweden,https://www.scb.se,Annual statistics on sales of apartment buildings and commercial properties by region,5 Jun 2025,Open table via SCB,Provides turnover and average price for multi‑dwelling/commercial properties; part of the real estate price statisticshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Real estate price index for one‑ or two‑dwelling buildings (1981=100),Sweden,https://www.scb.se,Price index time series for one‑ and two‑dwelling buildings at national level,5 Jun 2025,Open table via SCB,Index measures price level and trends; part of Real Estate Prices and Registrations of Title statisticshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Real estate price index for one‑ and two‑dwelling buildings by region (quarterly),Sweden,https://www.scb.se,Regional price index (1986Q1–2025Q3) for one‑ and two‑dwelling buildings,24 Oct 2025,Open table via SCB,Shows quarterly index values by region; data derived from property transactionshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Sweden – Sold agricultural and seasonal real estate (various tables),Sweden,https://www.scb.se,Sale prices and counts of agricultural properties and seasonal/secondary dwellings by region,24 Oct 2025,Open tables via SCB,Includes multiple tables for agricultural real estate and seasonal dwellings; provides sale price statistics and number of transactionshttps://www.scb.se/en/finding-statistics/statistics-by-subject-area/housing-construction-and-building/real-estate/real-estate-prices-and-registrations-of-title/#:~:text=The%20statistics%20present%20price%20level%2C,owned%20dwellings.
Statistics Norway – Price index for existing dwellings,Norway,https://www.ssb.no/en/priser-og-prisindekser/boligpriser-og-boligprisindekser/statistikk/prisindeks-for-brukte-boliger,Quarterly price index and average square‑metre price for existing dwellings by region,10 Oct 2025,Open tables via StatBank; API available,The statistics measure the value of the stock of existing dwellings based on current price information from dwellings sold on the free market; updated quarterlyhttps://www.ssb.no/en/priser-og-prisindekser/boligpriser-og-boligprisindekser/statistikk/prisindeks-for-brukte-boliger#:~:text=The%20statistics%20measure%20the%20value,The%20figures%20are%20seasonally%20adjusted.
Statistics Norway – Average square metre prices by county (StatBank table 07221),Norway,https://www.ssb.no/statbank/table/07221,Average price per square metre for existing dwellings by county and quarter,10 Oct 2025,Open dataset via StatBank,Provides average square‑metre prices alongside the price index; the index is based on registered purchase priceshttps://www.ssb.no/en/priser-og-prisindekser/boligpriser-og-boligprisindekser/statistikk/prisindeks-for-brukte-boliger#:~:text=Price%20is%20the%20registered%20purchase,is%20included%20in%20the%20price.
Statistics Norway – Price index for new dwellings,Norway,https://www.ssb.no/en/priser-og-prisindekser/statistikk/prisindeks-for-nye-boliger,Quarterly price index for new detached houses and multi‑dwellings,Aug 2025,Open tables via StatBank,Provides separate price indices for new dwellings; derived from developer sales and building contracts.
Statistics Denmark – Forced sales of real property,Denmark,https://www.statbank.dk/EJERSKAP,Number of forced sales of real property by type and region,2025,Open dataset via StatBank,"Provides counts of forced property sales, complementing price statistics; accessible via StatBank."
Statbel – Housing price statistics,Belgium,https://statbel.fgov.be/en/themes/housing,Median and average sale prices of houses and apartments by region and municipality,2025,Open datasets (CSV) via Statbel,"Statbel publishes quarterly housing price statistics based on notary data; includes median price of single‑family homes, semi‑detached houses and apartments."
Statistics Austria – Residential property price index (RPP),Austria,https://www.statistik.at,Quarterly residential property price index and average purchase prices,Q2 2025,Open data tables via Statistik Austria,Index covers residential property transactions including single‑family homes and new dwellings; based on transaction prices reported to the land register.
Portugal – Base de dados de preços de transações de imóveis (CasaData),Portugal,https://casadata.pt,"Property transaction prices, location, area and characteristics for residential properties",2024,Open portal (requires registration) with download options,Portuguese land registry and tax authority provide a public database of property transactions (CasaData) containing sale prices and property characteristics.
Italy – OMI real estate market observatory,Italy,https://www.agenziaentrate.gov.it/portale/web/english/omi,Real estate market values and typical price ranges by zone and property type,2025,Open web portal,The Italian Revenue Agency’s OMI provides reference values (not individual sale prices) for property transactions by micro‑zone; data used for taxation and valuations.
Switzerland – Swiss Real Estate Data (SRED) transaction database,Switzerland,https://www.swissredata.ch,Transaction‑based indices and sale prices for residential properties,2025,Subscription API with limited public summary data,SRED aggregates notarised real estate transactions to produce indices and provides transaction details to subscribers; summary indices are published publicly.
Germany – IDN Immo research price database,Germany,https://www.idn-immo.de,Sale price data for condominiums and single‑family homes collected from notary registers,2025,Subscription service with reports; some summary statistics public,Germany does not have fully open transaction data; private providers like IDN Immo collect sale prices from notary deeds and offer aggregated statistics via subscription.
Netherlands – NVM Quarterly price index,Netherlands,https://www.nvm.nl,Quarterly sale prices and transaction counts for homes sold by NVM brokers,Q3 2025,Public reports and paid API,"NVM publishes a quarterly price index of purchase prices, adjusted for the mix of dwellings sold; derived from members’ transaction data."
Sweden – Lantmäteriet Property Price Register search,Sweden,https://khr.maanmittauslaitos.fi,"Searchable records of individual property sales including sale price, sale date and property area",Real time,Search interface (Finnish/Swedish),"Through the purchase price register interface of Lantmäteriet (Kauppahintarekisteri), users can search individual transactions and obtain sale price, date and property characteristics (data in Finnish); annual and monthly statistics are also availablehttps://www.maanmittauslaitos.fi/en/e-services/statistical-information-real-estate-transactions#:~:text=Study%20purchase%20price%20statistics%20at,on%20rented%20plots%20are%20included."
