"name","restaurant_name","identifier","price_usd"
"YELLOWTAIL LUNCH","UNI SUSHI & STEAK","GRUBHUB, SURPRISE, AZ",6
"YELLOWTAIL LUNCH SPECIAL","AGODA","NEW YORK, NY",13.95
"YELLOWTAIL LUNCH SPECIAL","SAMURAI JAPANESE CUISINE","GRUBHUB, COLUMBUS, GA",12.59
"YELLOWTAIL LUNCH SPECIAL","SUMI","CHICAGO, IL",5.95
"YELLOWTAIL MAKI","BLUE GINGER","GRUBHUB, FORT LAUDERDALE, FL",14
"YELLOWTAIL MAKI","DOWIZE BISTRO","GRUBHUB, WILMETTE, IL",5
"YELLOWTAIL MAKI","KANPAI 1","GRUBHUB, SAVANNAH, GA",8.69
"YELLOWTAIL MAKI","KANPAI 2","GRUBHUB, SAVANNAH, GA",8.69
"YELLOWTAIL MAKI","KOTO SAKE JAPANESE STEAK HOUSE","GRUBHUB, COLUMBIA, MD",5.5
"YELLOWTAIL MAKI","NGUYEN SEAFOOD AND STEAKHOUSE","GRUBHUB, UNIONTOWN, PA",5
"YELLOWTAIL MAKI","NINJA THAI AND SUSHI BAR","GRUBHUB, FORT MYERS, FL",6.95
"YELLOWTAIL MAKI","OBI'S SUSHI","GRUBHUB, SAN DIEGO, CA",5
"YELLOWTAIL MAKI","PAI KIN KAO CAMBRIDGE","CAMBRIDGE, MA",6.5
"YELLOWTAIL MAKI","SATORI SUSHI & TERIYAKI GRILL","GRUBHUB, ELK GROVE, CA",4.75
"YELLOWTAIL MAKI","SHINTO JAPANESE STEAKHOUSE & SUSHI BAR","GRUBHUB, STRONGSVILLE, OH",5.5
"YELLOWTAIL MAKI","SUMI JAPANESE RESTAURANT","UBEREATS, CHICAGO, IL",5.95
"YELLOWTAIL MAKI","SUSAKI SUSHI STEAKHOUSE","GRUBHUB, LUBBOCK, TX",5.75
"YELLOWTAIL MAKI","SUSAKI SUSHI STEAKHOUSE","LUBBOCK, TX",5.75
"YELLOWTAIL MAKI","SUSHI KIM","PITTSBURGH, PA",7.28
"YELLOWTAIL MAKI","TOKYO SUSHI AND STEAKHOUSE","GRUBHUB, SMYRNA, GA",5.5
"YELLOWTAIL MAKI","WASABI RESTAURANT & BAR","GRUBHUB, DOWNERS GROVE, IL",6
"YELLOWTAIL MAKI","YELLOW TAIL SUSHI & BAR","UBEREATS, ACWORTH, GA",6.5
"YELLOWTAIL MAKI (HAMA)","KAN YA","UBEREATS, ELMHURST, IL",7.5
"YELLOWTAIL MAKI (YELLOWTAIL & SCALLION)","TOKYO SUSHI AND STEAKHOUSE","4624 CAMP HIGHLAND ROAD SOUTHEAST, DOORDASH, SMYRNA, GA",5.5
"YELLOWTAIL MAKI (YELLOWTAIL & SCALLION)","TOKYO SUSHI AND STEAKHOUSE","GRUBHUB, SMYRNA, GA",5.95
"YELLOWTAIL MAKI - REGULAR","BAGELMAN","DANBURY, CT",7
"YELLOWTAIL MAKI ROLL","BLUE FIN SUSHI AND BAR","GRUBHUB, SPRINGDALE, AR",4.95
"YELLOWTAIL MAKI ROLL","ENZO SUSHI","GRUBHUB, SUWANEE, GA",6.5
"YELLOWTAIL MAKI ROLL","FUKU ASIAN BISTRO","GRUBHUB, CUMMING, GA",4.95
"YELLOWTAIL MAKI ROLL","HANA SUSHI, CHINESE & THAI","UBEREATS, CHICAGO, IL",5.75
"YELLOWTAIL MAKI ROLL","KOI JAPANESE RESTAURANT","GRUBHUB, GALLATIN, TN",4.75
"YELLOWTAIL MAKI ROLL","LUCKY KEY CHINESE FUJIYA","GRUBHUB, TUCKER, GA",6.95
"YELLOWTAIL MAKI ROLL","MIKKO SUSHI (CARLSBAD VILLAGE DR)","GRUBHUB, CARLSBAD, CA",11.95
"YELLOWTAIL MAKI ROLL","NISHIKI JAPANESE SUSHI","GRUBHUB, RENSSELAER, NY",5.95
"YELLOWTAIL MAKI ROLL","NIWANO HANA","GRUBHUB, ROCKVILLE, MD",7.2
"YELLOWTAIL MAKI ROLL","SAMURAIDRAGON","GRUBHUB, WOODSTOCK, GA",4.5
"YELLOWTAIL MAKI ROLL","SHINTO JAPANESE STEAKHOUSE & SUSHI LOUNGE","GRUBHUB, NAPERVILLE, IL",6
"YELLOWTAIL MAKI ROLL","SHINTO SUSHI AT FREEDOM COMMONS","GRUBHUB, NAPERVILLE, IL",7
"YELLOWTAIL MAKI ROLL","SUH SUSHI KOREAN BBQ","GRUBHUB, FORT COLLINS, CO",8.75
"YELLOWTAIL MAKI ROLL","SUSHI NINE","GRUBHUB, RALEIGH, NC",8
"YELLOWTAIL MAKI ROLL","SUSHISHIMA JAPANESE RESTAURANT","UBEREATS, SAN ANTONIO, TX",7.95
"YELLOWTAIL MAKI ROLL","TOP 1 RESTAURANT","BROOKLYN, NY",3.5
"YELLOWTAIL MAKI ROLL","WARAII SUSHI","GRUBHUB, OCEANSIDE, CA",5
"YELLOWTAIL MAKI ROLL","WASABI 3","GRUBHUB, KENNETT SQUARE, PA",6.5
"YELLOWTAIL MAKI ROLL","YELLOW TAIL SUSHI","GRUBHUB, ACWORTH, GA",5.5
"YELLOWTAIL MAKI ROLL","YOI YOI JAPANESE STEAKHOUSE & SUSHI","GRUBHUB, ATLANTA, GA",6.79
"YELLOWTAIL MAKI ROLL (HAPPY HOUR)","TOP THAI RESTAURANT","GRUBHUB, ARLINGTON, VA",4
"YELLOWTAIL MAKI ROLL LUNCH","STIX SUSHI","GRUBHUB, PEACHTREE CITY, GA",5.99
"YELLOWTAIL MAKIMONO","SPICY TUNA SUSHI BAR & GRILL","GRUBHUB, HOLLAND, OH",6
"YELLOWTAIL MALBEC 750 ML.","PARK PLACE MARKET","GRUBHUB, CHICAGO, IL",8.99
"YELLOWTAIL MANGO APPETIZER","EAST TOKYO JAPANESE RESTAURANT","GRUBHUB, SOUTH BEND, IN",15
"YELLOWTAIL MANGO BOWL","FLAMIN' PHO & SUSHI BAR","550 CEDAR STREET, DOORDASH, SAN DIEGO, CA",14.99
"YELLOWTAIL MANGO ROLL","C.O.D SEAFOOD HOUSE & RAW BAR","GRUBHUB, LOS ANGELES, CA",15
"YELLOWTAIL MANGO ROLL","FUJI GRILL & SUSHI BAR","GRUBHUB, ROSEMOUNT, MN",6
"YELLOWTAIL MANGO ROLL","HOKKAIDO ASIAN BISTRO","GRUBHUB, ALBANY, NY",5.5
"YELLOWTAIL MANIA LUNCH SASHIMI","OISHI HIBACHI STEAKHOUSE","GRUBHUB, CHAMPAIGN, IL",13.5
"YELLOWTAIL MANIA LUNCH SUSHI","OISHI HIBACHI STEAKHOUSE","GRUBHUB, CHAMPAIGN, IL",13.5
"YELLOWTAIL MANIA SASHIMI","OISHI HIBACHI STEAKHOUSE","GRUBHUB, CHAMPAIGN, IL",17
"YELLOWTAIL MANIA SPECIAL ROLL","GAMI SUSHI","GRUBHUB, SAN DIEGO, CA",15.5
"YELLOWTAIL MANIA SUSHI","OISHI HIBACHI STEAKHOUSE","GRUBHUB, CHAMPAIGN, IL",17
"YELLOWTAIL MARTINI","MIYABI III","WILLISTON PARK, NY",12
"YELLOWTAIL MARTINI","OMIYA JAPANESE RESTAURANT","SEAMLESS, BROOKLYN, NY",12.95
"YELLOWTAIL MARTINI POKE","SOYA SUSHI & GRILL","GRUBHUB, CHANHASSEN, MN",12
"YELLOWTAIL MARU ROLL","HANAMARU","GRUBHUB, GARDEN GROVE, CA",10.95
"YELLOWTAIL MERLOT 750 ML","CANYON MINI MART","GRUBHUB, CANYON COUNTRY, CA",9.99
"YELLOWTAIL MERLOT 750 ML","FRIENDLY MARKET","GRUBHUB, SANTA CLARITA, CA",9.99
"YELLOWTAIL MERLOT 750 ML.","CONFETTI MARKET","GRUBHUB, VAN NUYS, CA",9.99
"YELLOWTAIL MERLOT 750ML","BOB'S LIQUOR","GRUBHUB, FULLERTON, CA",9.99
"YELLOWTAIL MERLOT 750ML","OLD GREEN MILL","GRUBHUB, GLENDALE, CA",9.99
"YELLOWTAIL MEYER NIGIRI","OMEE.J SUSHI","GRUBHUB, SANTA CLARA, CA",5.95
"YELLOWTAIL MISO SOUP","TONO SUSHI","GRUBHUB, WASHINGTON, DC",9
"YELLOWTAIL MOSCATO 750 ML","BOB'S LIQUOR","GRUBHUB, FULLERTON, CA",9.99
"YELLOWTAIL MOSCATO 750 ML","FRIENDLY MARKET","GRUBHUB, SANTA CLARITA, CA",9.99
"YELLOWTAIL MOSCATO 750 ML.","CONFETTI MARKET","GRUBHUB, VAN NUYS, CA",9.99
"YELLOWTAIL MOSCATO 750ML","OLD GREEN MILL","GRUBHUB, GLENDALE, CA",9.99
"YELLOWTAIL MOUNTAIN","SASA SUSHI HIBACHI JAPANESE RESTAURANT","SEAMLESS, FARMINGDALE, NY",13
"YELLOWTAIL NAGIRI","SUSHI KINGDOM & ASIAN FUSION","SEAMLESS, FLUSHING, NY",1.95
"YELLOWTAIL NARUTO","18-8 SUSHI","GRUBHUB, BALTIMORE, MD",15
"YELLOWTAIL NARUTO","6 ELEMENTS ASIAN CUISINE AND BAR","SEAMLESS, MERRICK, NY",14.5
"YELLOWTAIL NARUTO","GO SUSHI","UBEREATS, NEW YORK, NY",14.95
"YELLOWTAIL NARUTO","ICHIBAN SUSHI BAR & GRILL","GRUBHUB, BATON ROUGE, LA",10
"YELLOWTAIL NARUTO","ICHIRO","1694 2ND AVENUE, DOORDASH, NEW YORK, NY",13
"YELLOWTAIL NARUTO","KABUKI JAPANESE CUISINE","GRUBHUB, LINDENHURST, NY",13.5
"YELLOWTAIL NARUTO","KAZE JAPANESE SUSHI & HIBACHI INC","SEAMLESS, BETHPAGE, NY",12
"YELLOWTAIL NARUTO","KUMO SUSHI LOUNGE","SEAMLESS, SCARSDALE, NY",14
"YELLOWTAIL NARUTO","MITO ASIAN FUSION","SEAMLESS, FOREST HILLS, NY",13
"YELLOWTAIL NARUTO","MITSUI","GRUBHUB, BAY SHORE, NY",12
"YELLOWTAIL NARUTO","NEW HAZUKI SUSHI CUISINE","SEAMLESS, GLEN COVE, NY",9
"YELLOWTAIL NARUTO","NEW YU ME JAPANESE & ASIAN CAFE","EAST ROCKAWAY, NY",12
"YELLOWTAIL NARUTO","NISEN SUSHI","5032 JERICHO TURNPIKE, DOORDASH, COMMACK, NY",17.5
"YELLOWTAIL NARUTO","OCEAN SUSHI","EAST ROCKAWAY, NY",12
"YELLOWTAIL NARUTO","OOKI SUSHI","SEAMLESS, NEW YORK, NY",16
"YELLOWTAIL NARUTO","ORIENTAL SUSHI FUSION","NEW YORK, NY",11
"YELLOWTAIL NARUTO","SUKI ICHIRO SUSHI","SEAMLESS, NEW YORK, NY",13.5
"YELLOWTAIL NARUTO","SUSHI 560 INC.","BETHPAGE, NY",12
"YELLOWTAIL NARUTO","TSURU SUSHI ASIAN BISTRO","SEAMLESS, HARTSDALE, NY",15.95
"YELLOWTAIL NARUTO","YUKA JAPANESE RESTAURANT","SEAMLESS, NEW YORK, NY",12.95
"YELLOWTAIL NARUTO (SP ROLL)","NAGOYA CAFE","GRUBHUB, BATON ROUGE, LA",10.95
"YELLOWTAIL NARUTO ROLL","AIKO ASIAN BISTRO","GRUBHUB, MELVILLE, NY",12
"YELLOWTAIL NARUTO ROLL","AKI SUSHI NY","SEAMLESS, NEW YORK, NY",10.25
"YELLOWTAIL NARUTO ROLL","ALBERTS MANDARIN GOURMET","GRUBHUB, HUNTINGTON, NY",13.5
"YELLOWTAIL NARUTO ROLL","DUMONT's","40-42 EAST PARK AVENUE, DOORDASH, LONG BEACH, NY",4.5
"YELLOWTAIL NARUTO ROLL","IRON SUSHI","NEW YORK, NY",10
"YELLOWTAIL NARUTO ROLL","MOMO HIBACHI STEAKHOUSE & BAR","SEAMLESS, BROOKLYN, NY",10
"YELLOWTAIL NARUTO ROLL","SHOGUN HIBACHI AND ASIAN CUISINE","SEAMLESS, ISLAND PARK, NY",10
"YELLOWTAIL NARUTO ROLL","THAINY","SEAMLESS, NEW YORK, NY",10.5
"YELLOWTAIL NECK","ASAHI JAPANESE STEAK HOUSE","GRUBHUB, GREENSBORO, NC",12.9
"YELLOWTAIL NECK","HIKARU JAPANESE RESTAURANT","GRUBHUB, PHILADELPHIA, PA",18.95
"YELLOWTAIL NECK","NAGOYA CAFE","GRUBHUB, BATON ROUGE, LA",10.95
"YELLOWTAIL NEGI","KUMI JAPANESE RESTAURANT + BAR","LAS VEGAS, NV",14
"YELLOWTAIL NIGIRI","3 FLAVORS","GRUBHUB, MOBILE, AL",5
"YELLOWTAIL NIGIRI","AHI REVOLVING SUSHI","GRUBHUB, GILBERT, AZ",2.35
"YELLOWTAIL NIGIRI","AROMA RESTAURANT AND SUSHI","CINCINNATI, OH",3.25
"YELLOWTAIL NIGIRI","ASIAN MINT","75 & FOREST LN, UBEREATS, DALLAS, TX",6.25
"YELLOWTAIL NIGIRI","BAMBOO STEAKHOUSE & SUSHI BAR","GRUBHUB, MOBILE, AL",4.75
"YELLOWTAIL NIGIRI","BELUGA JAPANESE RESTAURANT","GRUBHUB, ROUND ROCK, TX",6
"YELLOWTAIL NIGIRI","BISTRO D'ASIA","GRUBHUB, CORONADO, CA",5.75
"YELLOWTAIL NIGIRI","BLUE FIN SUSHI AND BAR","GRUBHUB, SPRINGDALE, AR",5.5
"YELLOWTAIL NIGIRI","BLUEFIN STEAK HOUSE & SUSHI","GRUBHUB, HOWELL, MI",3.5
"YELLOWTAIL NIGIRI","CHEF LU'S ASIAN BISTRO","GRUBHUB, SPOKANE, WA",6
"YELLOWTAIL NIGIRI","CHEF SOON CONTEMPORARY SUSHI","GRUBHUB, WOODRIDGE, IL",4
"YELLOWTAIL NIGIRI","CHIANG MAI THAI AND SUSHI BAR","GRUBHUB, PFAFFTOWN, NC",5
"YELLOWTAIL NIGIRI","CRAVE SUSHI","UBEREATS, HOUSTON, TX",2.5
"YELLOWTAIL NIGIRI","DRUNKEN FISH","MARYLAND PLZ, UBEREATS, SAINT LOUIS, MO",5.75
"YELLOWTAIL NIGIRI","FUJIYA HOUSE","GRUBHUB, FREDERICKSBURG, VA",5.5
"YELLOWTAIL NIGIRI","GANBEI JAPANESE RESTAURANT & BAR","GRUBHUB, LEXINGTON, SC",5
"YELLOWTAIL NIGIRI","GO SUSHI/TASTE OF THAI","GRUBHUB, FLAGSTAFF, AZ",7.95
"YELLOWTAIL NIGIRI","GOCHI SUSHI CAFE","GRUBHUB, WINTER GARDEN, FL",5
"YELLOWTAIL NIGIRI","GOGO JAPAN - SUSHI & BENTO","GRUBHUB, OCEANSIDE, CA",5.5
"YELLOWTAIL NIGIRI","GOGO SUSHI & RAMEN","GRUBHUB, SAN DIEGO, CA",5.45
"YELLOWTAIL NIGIRI","GOLD TASTE","GRUBHUB, WILLIAMSBURG, VA",5.5
"YELLOWTAIL NIGIRI","GORILLA SUSHI","LAS VEGAS, NV",4.25
"YELLOWTAIL NIGIRI","GREEN BASIL ASIAN FUSION RESTAURANT","GRUBHUB, LILBURN, GA",5
"YELLOWTAIL NIGIRI","HARBOR SUSHI","720 W HIGHLAND AVE, UBEREATS, PHOENIX, AZ",6.5
"YELLOWTAIL NIGIRI","HIBIKI YAKITORI & SUSHI","GRUBHUB, YORBA LINDA, CA",3.5
"YELLOWTAIL NIGIRI","HIKARI JAPANESE STEAKHOUSE AND SUSHI","GRUBHUB, LAS VEGAS, NV",3.95
"YELLOWTAIL NIGIRI","HONKAKU SUSHI","GRUBHUB, GLENDALE HEIGHTS, IL",3.5
"YELLOWTAIL NIGIRI","HUGO'S SUSHI AND ASIAN CUISINE","UBEREATS, SAN ANTONIO, TX",6.99
"YELLOWTAIL NIGIRI","IMPERIAL DYNASTY CHINESE RESTAURANT AND LOUNGE","GRUBHUB, LONGWOOD, FL",5
"YELLOWTAIL NIGIRI","IZAKAYA TAKASEI","GRUBHUB, FULLERTON, CA",3.5
"YELLOWTAIL NIGIRI","IZAP THAI & SUSHI BAR","DALLAS, TX",4.95
"YELLOWTAIL NIGIRI","JADE ASIAN FUSION AND SUSHI BAR","GRUBHUB, CHARLOTTE, NC",4.95
"YELLOWTAIL NIGIRI","JAPAN EXPRESS","UBEREATS, PHOENIX, AZ",6.69
"YELLOWTAIL NIGIRI","JIMMY SUSHI BAR & JAPANESE RESTAURANT","GRUBHUB, SEMINOLE, FL",5.5
"YELLOWTAIL NIGIRI","K GRILL HOUSE","BRONX, NY",6
"YELLOWTAIL NIGIRI","KABUKI FUSION SUSHI AND GRILL JAPANESE RESTAURAN","GRUBHUB, KNOXVILLE, TN",4.5
"YELLOWTAIL NIGIRI","KABUKI SUSHI & THAI (MANCHESTER RD)","GRUBHUB, BALLWIN, MO",6.5
"YELLOWTAIL NIGIRI","KAI FAN ASIAN CUISINE AND SUSHI","SEAMLESS, BRONX, NY",3.95
"YELLOWTAIL NIGIRI","KANSAKU","GRUBHUB, EVANSTON, IL",8.4
"YELLOWTAIL NIGIRI","KAORI SUSHI & SAKE BAR","GRUBHUB, SAN MATEO, CA",8
"YELLOWTAIL NIGIRI","KAYA SUSHI","MARINA DEL REY, CA",8
"YELLOWTAIL NIGIRI","KYOTORI","GRUBHUB, GARDEN GROVE, CA",5.95
"YELLOWTAIL NIGIRI","LEMONGRASS THAI SUSHI","GRUBHUB, HOLLAND, MI",6
"YELLOWTAIL NIGIRI","LYCHEE KITCHEN","PHOENIX, AZ",10.95
"YELLOWTAIL NIGIRI","MARU SUSHI & GRILL","KALAMAZOO, MI",7
"YELLOWTAIL NIGIRI","MASA SUSHI & IZAKAYA","GRUBHUB, CHANDLER, AZ",6.25
"YELLOWTAIL NIGIRI","MIO SUSHI - ALOHA","GRUBHUB, HILLSBORO, OR",7.45
"YELLOWTAIL NIGIRI","MIO SUSHI - CAMAS","GRUBHUB, CAMAS, WA",7.85
"YELLOWTAIL NIGIRI","MIO SUSHI - VANCOUVER","GRUBHUB, VANCOUVER, WA",7.95
"YELLOWTAIL NIGIRI","MIZU JAPANESE STEAK HOUSE","GRUBHUB, COVINGTON, WA",7
"YELLOWTAIL NIGIRI","MULAN BISTRO","GRUBHUB, GERMANTOWN, TN",6.95
"YELLOWTAIL NIGIRI","NAGOYA JAPANESE STEAKHOUSE AND SUSHI","GRUBHUB, PERRYSBURG, OH",7
"YELLOWTAIL NIGIRI","NEW SAKURA JAPANESE RESTURAUNT","GRUBHUB, MEDFORD, OR",5.5
"YELLOWTAIL NIGIRI","NOMI SUSHI","720 W HIGHLAND AVE, UBEREATS, PHOENIX, AZ",5.95
"YELLOWTAIL NIGIRI","OMEE.J SUSHI","GRUBHUB, SANTA CLARA, CA",5.2
"YELLOWTAIL NIGIRI","ORENJI SUSHI & NOODLES","GRUBHUB, ISSAQUAH, WA",6.3
"YELLOWTAIL NIGIRI","ORIGAMI SUSHI - WATERS","GRUBHUB, TAMPA, FL",6
"YELLOWTAIL NIGIRI","PRIME SUSHI BAR","GRUBHUB, KANSAS CITY, MO",7
"YELLOWTAIL NIGIRI","RAW","RUSTON, LA",7
"YELLOWTAIL NIGIRI","RAYOKA JAPANESE STEAKHOUSE AND SUSHI","GRUBHUB, MAUMEE, OH",7.99
"YELLOWTAIL NIGIRI","RB SUSHI - COLLEGE AREA","GRUBHUB, SAN DIEGO, CA",5
"YELLOWTAIL NIGIRI","RB SUSHI - RANCHO BERNARDO","GRUBHUB, SAN DIEGO, CA",6
"YELLOWTAIL NIGIRI","RISHI SUSHI KITCHEN AND BAR (N 3RD ST)","GRUBHUB, COLUMBUS, OH",3.5
"YELLOWTAIL NIGIRI","SAKURA JAPANESE SUSHI BAR & GRILL","GRUBHUB, SPRINGFIELD, MO",4.5
"YELLOWTAIL NIGIRI","SAMURAI DRAGON HIBACHI SUSHI & RAMEN","GRUBHUB, SLIDELL, LA",4.5
"YELLOWTAIL NIGIRI","SAMURAI DRAGON HIBACHI SUSHI & RAMEN","UBEREATS, WOODSTOCK, GA",4.5
"YELLOWTAIL NIGIRI","SAMURAI SUSHI BAR","GRUBHUB, LAFAYETTE, LA",5.25
"YELLOWTAIL NIGIRI","SAMURAI SUSHI BAR AND GRILL","GRUBHUB, HANFORD, CA",6.5
"YELLOWTAIL NIGIRI","SHAKA SUSHI AND TERIYAKI","720 W HIGHLAND AVE, UBEREATS, PHOENIX, AZ",5.95
"YELLOWTAIL NIGIRI","SICHUAN TASTE JAPANESE & CHINESE CUISINE","GRUBHUB, COCKEYSVILLE, MD",5.45
"YELLOWTAIL NIGIRI","SILA THAI RESTAURANT","GRUBHUB, ST PETERSBURG, FL",5.99
"YELLOWTAIL NIGIRI","SOKYO","358 W 38TH ST, UBEREATS, LOS ANGELES, CA",7
"YELLOWTAIL NIGIRI","SUMMER FISH & RICE","GRUBHUB, BEVERLY HILLS, CA",7
"YELLOWTAIL NIGIRI","SUSHI 101","TEMPE, AZ",5.5
"YELLOWTAIL NIGIRI","SUSHI BOX","358 W 38TH ST, UBEREATS, LOS ANGELES, CA",7
